Gene_ID	CDS_length	chr	testis_TR.R1	testis_TR.R2	testis_TR.R3	testis_RP.R1	testis_RP.R2	testis_RP.R3	spermatocytes_TR.R1	spermatocytes_TR.R2	spermatocytes_RP.R1	spermatocytes_RP.R2	roundSpermatids_TR.R1	roundSpermatids_TR.R2	roundSpermatids_RP.R1	roundSpermatids_RP.R2	elongatingSpermatids_TR.R1	elongatingSpermatids_TR.R2	elongatingSpermatids_RP.R1	elongatingSpermatids_RP.R2	spermatozoa_TR.R1	spermatozoa_TR.R2	spermatozoa_RP.R1	spermatozoa_RP.R2
ENSMUSG00000000204	630	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000000214	1497	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000000215	333	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000000223	2874	X	2.0096	0.9681	1.1376	4.437	3.3973	4.0634	0.0633	0.0127	0.3261	0.2156	0.0489	0.1376	0.252	0.109	0.3617	0.3012	1.4138	1.011	0	0	0.0134	0.0457
ENSMUSG00000000247	1221	2	0.6443	0.3991	0.7104	0.3389	0.3803	0.3113	0.1305	0.1102	0.0882	0	0.7055	0.728	0.3849	0.3146	0.3479	0.2173	0.034	0.2122	0	0.0635	0	0
ENSMUSG00000000253	1038	13	13.3955	6.7286	7.851	37.975	17.8398	14.6358	1.3275	0.423	1.0157	0.4691	4.3779	3.9688	4.7606	2.8378	2.5871	2.3976	2.9358	1.3233	5.0994	2.9851	3.3083	3.546
ENSMUSG00000000263	1350	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000000266	2148	X	1.9841	0.7132	0.6365	4.4572	2.6431	2.721	0	0.0354	0.0566	0	0.0905	0.1592	0.1646	0.2422	0.2092	0.1742	0.2944	0	6.044	16.252	9.2453	8.552
ENSMUSG00000000275	1905	11	6.5578	4.0836	2.7281	33.9812	22.3353	20.6693	0.4504	0.3842	1.8294	1.3012	0.2951	0.4844	2.348	2.5661	0.8867	0.6248	5.0835	2.7732	22.9021	30.9045	36.3969	44.5773
ENSMUSG00000000276	1695	11	8.7838	5.4941	6.161	13.6966	12.9858	13.5509	5.2306	4.1448	6.6519	3.9172	1.3543	1.4583	2.6137	2.7732	0.9199	0.6597	1.5781	0.3428	9.747	11.9384	10.6192	17.2429
ENSMUSG00000000278	1359	11	49.2053	17.7578	17.5229	210.6535	82.6542	68.4034	21.6759	15.9935	33.2079	21.2688	3.2232	2.8373	8.6514	6.2719	1.9123	1.3801	5.7804	2.5268	59.6628	60.7236	111.3808	101.759
ENSMUSG00000000282	1776	11	11.8175	12.7364	13.2511	14.1375	17.4374	18.7269	11.7983	7.5614	8.6063	3.953	23.2781	19.6783	82.7645	96.6456	2.5187	1.9851	1.1603	0.768	1.3325	4.8593	10.177	11.3755
ENSMUSG00000000290	2313	10	3.7982	1.0463	0.7357	21.8624	5.1462	5.8857	0.7839	0.4903	1.766	0.519	1.334	0.7729	3.6391	3.9893	0.1451	0.1208	1.1343	0.5309	1.4777	3.0718	2.0035	2.6423
ENSMUSG00000000295	600	10	20.9637	12.0191	10.329	54.5702	33.9492	40.5204	1.3433	0.7318	2.9286	1.6968	2.3424	1.6478	4.8989	5.1183	4.4757	1.2023	11.3996	5.1949	32.4808	26.1377	14.855	22.2743
ENSMUSG00000000296	630	10	63.4183	38.429	34.3191	227.0208	206.178	188.3594	4.005	1.7556	8.9485	4.2475	3.0167	3.9115	8.6058	8.0716	21.5471	5.556	48.054	11.4731	244.0415	172.4626	90.8097	182.7975
ENSMUSG00000000301	711	11	21.8428	20.8444	18.9772	16.5635	7.4582	7.9945	22.4525	26.3498	6.0961	5.2295	12.2556	13.1642	5.0328	3.7904	25.9512	18.1102	5.7148	6.2414	7.4447	5.1585	4.1243	4.0059
ENSMUSG00000000303	2148	8	0.9881	1.0054	0.4884	3.7245	2.3975	2.4066	0.1001	0.1127	0.4058	0.0341	0.2344	0.2537	0.5247	0.2895	0.1334	0.1388	1.59	0	151.8173	254.649	443.9429	613.7934
ENSMUSG00000000305	2742	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000000308	1257	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000000317	1341	11	1.4994	1.194	1.0641	1.2268	0.4261	0.6841	2.4501	2.7643	1.186	1.7237	0.8939	0.9754	0.5972	0.7322	0.1687	0.0843	0.0791	0	0	0	0	0
ENSMUSG00000000318	645	11	2.3768	1.1753	1.5681	17.2819	6.0516	7.008	1.1046	1.3154	2.1693	3.2306	0.6379	0.5026	3.6195	2.0481	0.2359	0.0393	0.5902	0.633	0.4368	0.0689	0	0.1432
ENSMUSG00000000320	NA	11	3.5653	1.9669	1.7148	16.0038	13.9441	11.2581	0.1175	0.0367	0.6616	0.2222	0.1646	0.0662	1.4969	0.7551	1.4786	0.507	6.2213	1.6708	2.2949	3.6507	3.4575	3.9815
ENSMUSG00000000325	2889	16	3.9286	2.7342	3.5155	5.9079	3.5504	3.5683	0.757	0.5463	0.3607	0.2478	0.9181	0.7012	1.3993	0.9358	0.7437	0.5116	0.3413	0.2958	24.6676	38.0976	16.5341	20.8378
ENSMUSG00000000326	798	16	17.1025	10.8158	8.7446	43.0982	24.8401	21.9514	1.6942	0.9629	1.835	0.5547	0.8219	0.5369	2.7759	2.3561	3.2566	0.5876	4.7523	0.9268	885.3103	825.8755	552.6315	617.0252
ENSMUSG00000000339	1101	3	113.4665	130.0184	126.4062	68.6065	87.1532	89.7125	159.2088	178.6356	32.797	39.2385	125.5666	128.2953	30.9141	40.1314	84.1081	61.3258	41.7024	35.1236	69.346	62.7768	28.1936	27.1427
ENSMUSG00000000340	1449	3	11.8527	6.2048	4.6321	38.83	17.8377	19.5913	1.8079	1.0501	4.5254	4.2505	1.2927	1.2368	2.1628	3.3896	1.1952	0.3185	7.6241	3.1488	9.7372	12.5635	25.3609	14.0257
ENSMUSG00000000346	507	15	28.1001	23.6316	19.8755	147.95	118.4546	114.5576	21.3842	24.322	158.8483	146.9353	17.3255	16.1859	52.5132	63.5385	9.9099	6.7583	31.6562	18.6518	129.7113	133.3325	523.8189	256.1685
ENSMUSG00000000355	546	X	10.1864	2.808	3.3069	44.9926	29.3676	25.3634	0.5238	0.2681	1.5018	1.0539	0.4719	0.1207	3.3548	2.5253	0.7139	0.7266	3.2868	2.2254	73.5897	62.6572	61.1272	94.3779
ENSMUSG00000000359	894	2	2.0569	0.546	0.4692	4.5079	1.6187	1.8632	0.25	0	0.2816	0	0.1126	0.1584	2.048	0.9039	0.6247	0	0	0	0	0	0	0
ENSMUSG00000000365	NA	14	108.7436	101.2592	105.9976	77.1895	102.0643	129.0047	107.8852	100.8395	196.8927	140.7671	100.4337	92.4841	90.7614	77.8228	40.2424	24.529	16.3558	11.3106	0.1303	1.2074	0.0196	0.1602
ENSMUSG00000000374	3777	10	20.4117	15.3346	14.3088	9.4533	8.9921	8.4754	15.8737	14.0571	3.2256	1.9688	9.222	9.1009	2.9211	1.7423	4.1283	3.2277	0.762	1.063	57.0973	60.1557	19.8132	17.634
ENSMUSG00000000378	1362	11	11.9051	8.8802	8.563	7.9031	6.9216	5.7668	7.483	7.1463	3.0963	3.0224	3.904	4.7185	1.0009	1.2884	4.7701	3.5221	0.348	0.9309	74.6645	51.629	16.1335	13.8661
ENSMUSG00000000381	NA	11	0.3169	0.2804	0.6025	0.3704	0.2078	0.5104	0.0642	0.0903	0.2892	0.1093	0.4627	0.2441	1.4725	0.4642	0.3208	0.4453	0	0	0	0	0	0
ENSMUSG00000000384	1893	11	28.4542	22.6173	22.3241	15.5529	12.4279	14.0443	44.3352	46.4107	10.0249	9.9378	22.0753	22.1802	8.0337	9.502	13.3394	11.4702	4.8474	4.549	18.5141	18.2393	20.0463	14.8144
ENSMUSG00000000385	NA	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000000386	NA	16	2.5791	1.3088	2.0765	0.5985	0.6716	0.5039	0.7376	0.519	0.6231	0	3.4472	3.6229	6.1179	3.2226	0.6144	0.7035	0	0.1873	0.4266	0.897	0	0
ENSMUSG00000000392	1800	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000000399	1134	6	170.6796	167.5954	162.7906	195.5304	221.1918	169.5557	240.4155	244.0382	262.9011	290.7993	133.9757	130.2581	162.4312	212.061	40.8303	29.2617	48.2522	25.483	262.9469	209.8397	221.6729	198.4574
ENSMUSG00000000402	1653	X	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000000409	1065	4	1.9746	1.1648	0.7507	0.9617	0.2158	0.53	2.2666	3.5653	0.3004	0.454	0.961	0.676	2.1846	0	0.4442	0.3699	0	0	1.2338	2.9186	0.1979	0.8988
ENSMUSG00000000411	NA	4	204.6908	370.3217	370.5539	38.8066	79.0608	98.4481	77.902	30.334	12.1934	2.2488	391.3879	370.3257	92.6404	83.0207	1315.221	1252.1964	280.909	386.8919	1.0932	28.3662	0.1434	1.6289
ENSMUSG00000000416	4947	6	0.5623	0.6841	0.7483	1.2735	0.7836	0.9056	0.0854	0.0802	0.0642	0	0.077	0.0722	0.1866	0	0.4744	0.079	0.5563	0.2315	0	0.0693	0	0
ENSMUSG00000000420	1680	18	59.0305	26.296	27.7977	52.3512	45.0418	45.2602	4.3178	2.5701	1.3074	0.5533	2.6073	3.2957	1.9271	1.0446	8.9204	3.6068	2.9426	2.044	138.4397	173.2976	74.4357	102.5296
ENSMUSG00000000439	1251	6	74.3146	91.7336	87.806	17.6584	18.3684	14.2917	95.7681	95.9093	7.0932	6.4397	70.5905	71.5778	5.3461	4.8596	88.911	93.8465	6.0358	4.6875	53.1458	50.8519	32.2462	32.2945
ENSMUSG00000000440	1428	6	1.3782	1.5906	2.1358	1.9961	1.7978	2.6597	1.0014	0.9993	0.5742	0.31	1.3287	1.4078	1.5214	1.4922	0.8493	0.7577	0.4742	0.074	0.1685	0.0886	0	0.3069
ENSMUSG00000000441	1434	6	47.2877	37.068	35.4898	32.4776	27.733	28.265	47.3787	57.4522	17.7791	18.0511	6.7493	9.1237	4.2008	5.3435	6.6293	4.409	2.2608	1.411	66.318	57.4875	19.6093	18.2295
ENSMUSG00000000486	243	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000000489	726	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000000530	1509	15	5.3585	2.2578	2.005	12.8249	5.6338	6.8487	0.4652	0.1455	0.2717	0.0587	0.5588	0.2839	1.101	0.9137	0.2583	0.1434	0.6732	0.175	0.7972	0.7543	0.4347	0.8421
ENSMUSG00000000531	1179	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000000532	1518	15	10.879	8.9776	10.1583	10.6487	11.4225	12.0843	19.5767	17.6207	16.8615	12.8593	1.9289	2.1059	3.2272	1.8992	2.3968	2.0196	1.3607	0.8352	28.9521	41.9492	34.3396	53.2285
ENSMUSG00000000538	1524	11	6.1199	2.5709	3.3941	37.5545	32.8071	29.7528	2.1496	1.8007	5.2845	3.7177	0.6148	0.3676	3.2424	3.0843	1.1084	1.1833	8.3984	3.4318	23.0495	40.1243	91.8784	97.7573
ENSMUSG00000000552	1161	15	14.8095	8.9599	10.5393	36.2477	31.7096	30.3211	10.8716	8.2998	49.8206	47.4069	7.3691	8.2555	40.0781	38.63	6.1937	14.5482	17.097	13.0771	0.4746	0.686	0.4376	0.3889
ENSMUSG00000000555	3162	15	0.3688	0.1224	0.5784	3.0716	0.9977	1.2807	0	0.0789	0.3787	0	0.0505	0.071	0.2754	0.2701	0	0	0.073	0	0.1728	0.2726	0.1247	0.2833
ENSMUSG00000000560	1356	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000000561	1029	3	25.2115	25.8003	22.3176	46.584	37.2426	42.2921	22.8528	21.8531	41.0815	36.184	22.7734	20.598	29.4979	23.3781	7.5626	5.7967	5.3746	4.6121	23.2324	21.4552	22.9669	24.0827
ENSMUSG00000000562	960	3	6.7294	5.2643	7.0402	1.0548	1.4467	2.0723	2.0583	0.991	0.6406	0.0922	8.9792	7.8959	7.721	2.285	8.7979	9.3928	2.8217	3.2468	0.4177	0.2635	0.0603	0.0456
ENSMUSG00000000563	657	3	97.3301	80.4244	77.4699	207.7143	170.3084	160.616	100.8283	123.964	115.3961	147.7187	38.949	43.9425	39.0074	41.3757	23.7631	16.3734	21.6951	12.2652	446.2464	312.2446	309.3755	318.5493
ENSMUSG00000000567	1524	11	1.4598	1.2296	1.3448	37.3331	30.8464	30.7022	0.1024	0.048	2.7864	1.0166	0.1383	0.0649	4.2766	4.4414	0.2558	0.1657	15.0193	5.9277	0.6841	1.9502	14.5957	13.341
ENSMUSG00000000568	1068	5	25.9983	20.6291	21.7948	220.6423	232.1025	267.1962	25.537	24.9081	363.468	412.0111	16.5153	18.2682	94.0922	90.6062	9.9766	8.2065	26.2511	22.0123	21.7019	23.0327	130.2403	102.8171
ENSMUSG00000000579	342	17	0	0	0	0.2193	0.3692	0.4533	0	0	4.7097	4.4005	0	0	0	0.5498	0	0	0	0	0	0	0	0
ENSMUSG00000000581	426	11	57.0039	37.109	42.3378	87.4772	72.9092	69.0675	15.1603	13.7088	31.5132	31.2965	23.82	22.1879	21.4794	17.6544	20.3754	13.5129	20.9837	14.8815	128.5452	105.9876	53.8007	91.8333
ENSMUSG00000000594	582	11	220.0167	149.4704	116.5881	1154.5453	863.9886	799.2928	78.8921	79.7839	110.149	57.3454	62.3032	63.6487	112.4255	87.441	65.6392	41.7697	285.9494	71.71	13.78	20.5355	36.264	48.5615
ENSMUSG00000000600	2211	5	23.6652	15.7431	15.2288	26.7677	25.0688	30.3122	23.8711	23.4177	21.1001	17.3773	5.4243	4.8593	5.2406	4.7905	5.5635	4.1761	1.7918	2.1505	19.1159	31.2034	12.4863	16.5483
ENSMUSG00000000605	2244	7	19.6756	15.9418	16.451	17.5493	12.472	13.1025	24.4702	25.7639	14.2122	10.3756	6.6911	7.2405	7.4605	6.9823	2.6636	1.4466	1.3128	0.6121	52.4656	57.8821	24.7858	26.3027
ENSMUSG00000000627	2334	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000000628	1566	6	18.4673	12.1979	12.2571	63.2666	45.8268	44.5225	1.5757	0.4928	9.6042	3.5769	2.792	2.4634	12.2489	12.408	9.8876	5.8049	37.0067	8.1468	85.1681	76.4797	171.0703	137.7694
ENSMUSG00000000631	5659	11	9.1087	5.6386	5.1471	11.0998	7.6812	7.1174	10.9145	11.537	10.6901	11.9562	4.0011	3.7386	8.8341	8.5663	2.0907	2.1689	2.0801	0.953	17.9742	25.9605	16.6553	17.3407
ENSMUSG00000000632	2976	11	0.6367	0.6337	0.4902	0.6976	1.002	1.0957	1.0833	1.0073	1.8086	2.2066	0.5229	0.5395	0.8241	0.9326	0.1289	0.1879	0.1512	0.1572	0	0	0	0
ENSMUSG00000000673	420	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000000682	225	4	19.2048	3.2808	1.3013	117.0166	22.4458	8.8419	0.5778	0.3253	2.0825	0.1967	0.3123	0.1465	2.0826	1.1142	5.5826	0.6412	75.0942	1.6436	22722.8419	16520.1299	22212.4175	34829.892
ENSMUSG00000000686	1380	11	0.8681	0.3292	0.3536	1.4132	0.7624	0.6178	0.0188	0.0265	0.0212	0.0642	0	0.0239	0.0309	0.0454	0	0.0261	0.0491	0.1914	0.0581	0.4124	0.3914	0.381
ENSMUSG00000000693	2189	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000000708	2442	17	20.4455	17.7418	19.6633	14.5137	10.5818	12.8443	4.0458	2.6672	2.1227	1.4682	20.7958	20.0953	17.3919	22.0203	14.1184	13.5588	3.7715	3.9806	76.4227	67.8457	21.9624	22.6448
ENSMUSG00000000711	648	10	12.8085	11.7422	9.5262	43.1195	38.8385	36.0437	13.1603	15.6981	27.0713	28.2114	4.5547	5.3402	7.2313	4.1589	1.7379	1.1689	4.0235	3.9948	62.6249	60.0159	66.6593	91.4233
ENSMUSG00000000730	NA	10	10.6677	14.9037	12.872	3.1501	6.6277	3.0516	4.0944	2.8812	2.2291	1.8589	19.2434	14.7052	26.3866	26.484	2.8421	2.0827	0.2666	0	0	0.3319	0	0
ENSMUSG00000000732	969	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000000738	2346	8	81.1894	84.4002	85.9797	44.4277	43.9695	41.8716	116.7874	126.1664	42.0812	41.3772	64.7107	67.74	27.5457	31.3099	28.4691	18.5107	8.7176	5.4271	94.6601	92.5902	39.8261	42.7537
ENSMUSG00000000739	NA	8	1.3044	0.4328	0.8183	1.1435	1.9888	0.3545	0.9116	1.004	0.6696	0.4049	0.607	0.4019	1.1039	1.1465	0.3962	0.2749	0.4645	0.2416	10.8807	9.5433	8.4697	6.4124
ENSMUSG00000000740	636	8	187.6132	212.2225	212.1122	125.9613	58.7613	79.0536	232.0745	260.6836	40.4292	32.3628	171.8501	181.0555	32.016	30.3512	114.2072	94.3104	11.3399	7.0605	465.9391	262.0926	50.9908	46.0919
ENSMUSG00000000743	591	8	69.7125	71.0029	72.4546	73.0434	56.2568	52.7662	87.9409	93.6141	35.2322	35.5759	59.5312	61.118	50.6716	44.3273	42.6533	40.8285	27.7871	26.817	151.3071	121.6576	95.1878	79.7775
ENSMUSG00000000751	1872	11	169.0069	189.2771	200.3031	151.9046	175.8297	154.6609	292.3976	317.5343	226.6211	268.1846	152.4816	174.0799	65.3772	76.0315	38.0608	21.7527	32.7206	19.3031	85.5119	63.439	71.9747	73.8731
ENSMUSG00000000753	1254	11	14.1587	5.7508	7.2186	67.6531	36.1119	46.9551	1.555	0.3793	3.2696	0.5295	2.7085	1.8923	10.7686	5.7975	4.0066	2.1284	4.7793	1.8537	2.7501	0.4538	0.4769	2.3761
ENSMUSG00000000759	2718	8	11.5851	7.9806	8.4922	11.0805	8.0672	8.9449	4.2759	4.1195	2.9415	1.9543	3.0853	3.092	4.7175	3.8277	2.5656	1.7649	1.2582	0.6414	42.3423	28.7099	11.1934	8.2542
ENSMUSG00000000766	1197	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSG00000000776	1197	14	14.261	11.2902	9.4988	18.455	19.3728	14.7638	10.2956	10.5158	8.4897	7.2109	1.7416	2.0099	3.1317	3.7175	1.9178	1.3258	3.8754	1.1916	76.6485	66.1419	57.4897	47.2959
