Human	ChrHuman	Macaque	ChrMacaque
ENSG00000005243	17	ENSMMUG00000021934	16
ENSG00000005249	7	ENSMMUG00000015404	3
ENSG00000005302	X	ENSMMUG00000002689	X
ENSG00000005339	16	ENSMMUG00000002286	20
ENSG00000005379	17	ENSMMUG00000018087	16
ENSG00000005381	17	ENSMMUG00000002266	16
ENSG00000005421	7	ENSMMUG00000008011	3
ENSG00000005436	2	ENSMMUG00000018512	13
ENSG00000005448	2	ENSMMUG00000002719	13
ENSG00000005469	7	ENSMMUG00000010787	3
ENSG00000005471	7	ENSMMUG00000010788	3
ENSG00000005483	7	ENSMMUG00000022727	3
ENSG00000005486	7	ENSMMUG00000007362	3
ENSG00000005513	16	ENSMMUG00000029283	20
ENSG00000005700	6	ENSMMUG00000010749	4
ENSG00000005801	11	ENSMMUG00000018698	14
ENSG00000005810	13	ENSMMUG00000021459	17
ENSG00000005812	13	ENSMMUG00000021458	17
ENSG00000005844	16	ENSMMUG00000016876	20
ENSG00000005882	17	ENSMMUG00000014685	16
ENSG00000005884	17	ENSMMUG00000000153	16
ENSG00000005889	X	ENSMMUG00000009801	X
ENSG00000005893	X	ENSMMUG00000001484	X
ENSG00000005961	17	ENSMMUG00000012659	16
ENSG00000005981	7	ENSMMUG00000008016	3
ENSG00000006007	16	ENSMMUG00000013331	20
ENSG00000006015	19	ENSMMUG00000000159	19
ENSG00000006025	17	ENSMMUG00000019039	16
ENSG00000006042	17	ENSMMUG00000022356	16
ENSG00000006059	17	ENSMMUG00000042629	16
ENSG00000006062	17	ENSMMUG00000007863	16
ENSG00000006071	11	ENSMMUG00000023581	14
ENSG00000006116	16	ENSMMUG00000013560	20
ENSG00000006125	17	ENSMMUG00000006048	16
ENSG00000006128	7	ENSMMUG00000014823	3
ENSG00000006194	16	ENSMMUG00000017973	20
ENSG00000006210	16	ENSMMUG00000000426	KQ732988.1
ENSG00000006282	17	ENSMMUG00000017252	16
ENSG00000006283	17	ENSMMUG00000017256	16
ENSG00000006377	7	ENSMMUG00000040199	3
ENSG00000006432	14	ENSMMUG00000005786	7
ENSG00000006451	7	ENSMMUG00000042241	3
ENSG00000006453	7	ENSMMUG00000013276	3
ENSG00000006459	7	ENSMMUG00000008126	3
ENSG00000006468	7	ENSMMUG00000039167	3
ENSG00000006530	7	ENSMMUG00000021017	3
ENSG00000006534	11	ENSMMUG00000023188	14
ENSG00000006555	1	ENSMMUG00000021574	1
ENSG00000006576	7	ENSMMUG00000009008	3
ENSG00000006606	7	ENSMMUG00000015735	3
ENSG00000006607	2	ENSMMUG00000001313	12
ENSG00000006611	11	ENSMMUG00000023582	14
ENSG00000006634	7	ENSMMUG00000006771	3
ENSG00000006638	19	ENSMMUG00000011403	19
ENSG00000006652	7	ENSMMUG00000008033	3
ENSG00000006659	19	ENSMMUG00000048215	19
ENSG00000006695	17	ENSMMUG00000016157	16
ENSG00000006704	7	ENSMMUG00000018842	3
ENSG00000006712	19	ENSMMUG00000005552	19
ENSG00000006715	7	ENSMMUG00000010042	3
ENSG00000006740	17	ENSMMUG00000039881	16
ENSG00000006744	17	ENSMMUG00000014450	16
ENSG00000006747	7	ENSMMUG00000000880	3
ENSG00000006756	X	ENSMMUG00000003934	X
ENSG00000006757	X	ENSMMUG00000018194	X
ENSG00000006788	17	ENSMMUG00000009759	16
ENSG00000006831	12	ENSMMUG00000017262	11
ENSG00000006837	5	ENSMMUG00000016639	6
ENSG00000007001	2	ENSMMUG00000011636	12
ENSG00000007038	16	ENSMMUG00000016183	20
ENSG00000007047	19	ENSMMUG00000018672	19
ENSG00000007062	4	ENSMMUG00000008164	5
ENSG00000007080	19	ENSMMUG00000038308	19
ENSG00000007168	17	ENSMMUG00000020524	16
ENSG00000007171	17	ENSMMUG00000010083	16
ENSG00000007202	17	ENSMMUG00000023412	16
ENSG00000007216	17	ENSMMUG00000037573	16
ENSG00000007237	17	ENSMMUG00000018092	16
ENSG00000007255	19	ENSMMUG00000022932	19
ENSG00000007264	19	ENSMMUG00000001917	19
ENSG00000007306	19	ENSMMUG00000013430	19
ENSG00000007312	17	ENSMMUG00000041327	16
ENSG00000007314	17	ENSMMUG00000000580	16
ENSG00000007341	1	ENSMMUG00000007766	1
ENSG00000007350	X	ENSMMUG00000013667	X
ENSG00000007372	11	ENSMMUG00000016810	14
ENSG00000007376	16	ENSMMUG00000000842	20
ENSG00000007384	16	ENSMMUG00000000588	20
ENSG00000007392	16	ENSMMUG00000000596	20
ENSG00000007402	3	ENSMMUG00000007022	2
ENSG00000007516	16	ENSMMUG00000021415	20
ENSG00000007520	16	ENSMMUG00000006428	20
ENSG00000007541	16	ENSMMUG00000029296	20
ENSG00000007545	16	ENSMMUG00000000978	20
ENSG00000007866	6	ENSMMUG00000015909	4
ENSG00000007908	1	ENSMMUG00000016580	1
ENSG00000007923	1	ENSMMUG00000004686	1
ENSG00000007933	1	ENSMMUG00000007952	1
ENSG00000007944	6	ENSMMUG00000015474	4
ENSG00000007952	X	ENSMMUG00000004178	X
ENSG00000007968	1	ENSMMUG00000011832	1
ENSG00000008018	6	ENSMMUG00000019919	4
ENSG00000008056	X	ENSMMUG00000011420	X
ENSG00000008083	6	ENSMMUG00000015362	4
ENSG00000008086	X	ENSMMUG00000005063	X
ENSG00000008118	1	ENSMMUG00000003369	1
ENSG00000008130	1	ENSMMUG00000010879	1
ENSG00000008196	6	ENSMMUG00000002869	4
ENSG00000008197	6	ENSMMUG00000002867	4
ENSG00000008226	3	ENSMMUG00000000987	2
ENSG00000008256	7	ENSMMUG00000003167	3
ENSG00000008277	7	ENSMMUG00000022695	3
ENSG00000008282	7	ENSMMUG00000019593	3
ENSG00000008283	17	ENSMMUG00000013412	16
ENSG00000008294	17	ENSMMUG00000022528	16
ENSG00000008300	3	ENSMMUG00000014707	2
ENSG00000008311	7	ENSMMUG00000044304	3
ENSG00000008323	12	ENSMMUG00000000375	11
ENSG00000008324	3	ENSMMUG00000031677	2
ENSG00000008382	19	ENSMMUG00000028926	19
ENSG00000008394	12	ENSMMUG00000002359	11
ENSG00000008405	12	ENSMMUG00000021808	11
ENSG00000008438	19	ENSMMUG00000008742	19
ENSG00000008441	19	ENSMMUG00000019292	19
ENSG00000008513	8	ENSMMUG00000012531	8
ENSG00000008516	16	ENSMMUG00000009483	20
ENSG00000008710	16	ENSMMUG00000029263	20
ENSG00000008853	8	ENSMMUG00000007540	8
ENSG00000008869	2	ENSMMUG00000014939	13
ENSG00000008952	3	ENSMMUG00000021899	2
ENSG00000008988	8	ENSMMUG00000021314	8
ENSG00000009307	1	ENSMMUG00000001974	1
ENSG00000009335	7	ENSMMUG00000008733	3
ENSG00000009413	6	ENSMMUG00000021533	4
ENSG00000009694	X	ENSMMUG00000007587	X
ENSG00000009709	1	ENSMMUG00000017444	1
ENSG00000009724	1	ENSMMUG00000007459	1
ENSG00000009765	6	ENSMMUG00000010802	4
ENSG00000009780	1	ENSMMUG00000012243	1
ENSG00000009790	1	ENSMMUG00000022062	1
ENSG00000009830	14	ENSMMUG00000001095	7
ENSG00000009844	6	ENSMMUG00000023012	4
ENSG00000009950	7	ENSMMUG00000030377	3
ENSG00000009954	7	ENSMMUG00000014270	3
ENSG00000010017	6	ENSMMUG00000020122	4
ENSG00000010030	6	ENSMMUG00000000687	4
ENSG00000010072	1	ENSMMUG00000005244	1
ENSG00000010165	1	ENSMMUG00000007266	1
ENSG00000010219	12	ENSMMUG00000020811	11
ENSG00000010244	17	ENSMMUG00000016875	16
ENSG00000010256	3	ENSMMUG00000014705	2
ENSG00000010278	12	ENSMMUG00000004470	11
ENSG00000010282	3	ENSMMUG00000021245	2
ENSG00000010292	12	ENSMMUG00000018677	11
ENSG00000010295	12	ENSMMUG00000018681	11
ENSG00000010310	19	ENSMMUG00000006936	19
ENSG00000010318	3	ENSMMUG00000016984	2
ENSG00000010319	3	ENSMMUG00000018872	2
ENSG00000010322	3	ENSMMUG00000005619	2
ENSG00000010327	3	ENSMMUG00000017351	2
ENSG00000010361	19	ENSMMUG00000011614	19
ENSG00000010539	16	ENSMMUG00000017972	20
ENSG00000010610	12	ENSMMUG00000013202	11
ENSG00000010626	12	ENSMMUG00000001781	11
ENSG00000010671	X	ENSMMUG00000019573	X
ENSG00000010704	6	ENSMMUG00000023733	4
ENSG00000010803	1	ENSMMUG00000017104	1
ENSG00000010810	6	ENSMMUG00000017017	4
ENSG00000010818	6	ENSMMUG00000007998	4
ENSG00000010932	1	ENSMMUG00000005069	1
ENSG00000011007	1	ENSMMUG00000003173	1
ENSG00000011009	1	ENSMMUG00000019551	1
ENSG00000011021	1	ENSMMUG00000007829	1
ENSG00000011028	17	ENSMMUG00000002167	16
ENSG00000011052	17	ENSMMUG00000001940	16
ENSG00000011083	5	ENSMMUG00000011559	6
ENSG00000011105	12	ENSMMUG00000009251	11
ENSG00000011114	14	ENSMMUG00000004027	7
ENSG00000011132	19	ENSMMUG00000009672	19
ENSG00000011143	17	ENSMMUG00000011971	16
ENSG00000011198	3	ENSMMUG00000001031	2
ENSG00000011201	X	ENSMMUG00000018191	X
ENSG00000011258	17	ENSMMUG00000001942	16
ENSG00000011260	17	ENSMMUG00000007858	16
ENSG00000011275	7	ENSMMUG00000000182	3
ENSG00000011295	17	ENSMMUG00000008949	16
ENSG00000011304	19	ENSMMUG00000016450	19
ENSG00000011332	19	ENSMMUG00000003493	19
ENSG00000011347	11	ENSMMUG00000005122	14
ENSG00000011376	3	ENSMMUG00000018020	2
ENSG00000011405	11	ENSMMUG00000022548	14
ENSG00000011422	19	ENSMMUG00000004616	19
ENSG00000011426	7	ENSMMUG00000021186	3
ENSG00000011451	19	ENSMMUG00000028863	19
ENSG00000011454	9	ENSMMUG00000000670	15
ENSG00000011465	12	ENSMMUG00000016997	11
ENSG00000011478	19	ENSMMUG00000006940	19
ENSG00000011485	19	ENSMMUG00000000217	19
ENSG00000011523	2	ENSMMUG00000017019	13
ENSG00000011566	2	ENSMMUG00000013901	13
ENSG00000011590	19	ENSMMUG00000002375	19
ENSG00000011600	19	ENSMMUG00000008004	19
ENSG00000011638	16	ENSMMUG00000016758	20
ENSG00000011677	X	ENSMMUG00000001540	X
ENSG00000012048	17	ENSMMUG00000001329	16
ENSG00000012061	19	ENSMMUG00000000718	19
ENSG00000012124	19	ENSMMUG00000017621	19
ENSG00000012171	3	ENSMMUG00000020117	2
ENSG00000012174	X	ENSMMUG00000022467	X
ENSG00000012211	X	ENSMMUG00000023024	X
ENSG00000012223	3	ENSMMUG00000014261	2
ENSG00000012232	8	ENSMMUG00000017700	8
ENSG00000012504	12	ENSMMUG00000003571	11
ENSG00000012660	6	ENSMMUG00000006422	4
ENSG00000012779	10	ENSMMUG00000013434	9
ENSG00000012817	Y	ENSMMUG00000045017	Y
ENSG00000012822	12	ENSMMUG00000009457	11
ENSG00000012963	14	ENSMMUG00000004025	7
ENSG00000012983	14	ENSMMUG00000020550	7
ENSG00000013016	2	ENSMMUG00000003476	13
ENSG00000013275	19	ENSMMUG00000017188	19
ENSG00000013288	4	ENSMMUG00000005298	5
ENSG00000013293	3	ENSMMUG00000013987	2
ENSG00000013297	3	ENSMMUG00000009274	2
ENSG00000013306	17	ENSMMUG00000017944	16
ENSG00000013364	16	ENSMMUG00000016422	20
ENSG00000013374	7	ENSMMUG00000006244	3
ENSG00000013375	6	ENSMMUG00000012589	4
ENSG00000013392	6	ENSMMUG00000012590	4
ENSG00000013441	2	ENSMMUG00000006640	12
ENSG00000013503	12	ENSMMUG00000005208	11
ENSG00000013523	14	ENSMMUG00000018551	7
ENSG00000013561	5	ENSMMUG00000009768	6
ENSG00000013563	X	ENSMMUG00000041475	X
ENSG00000013573	12	ENSMMUG00000022864	11
ENSG00000013583	12	ENSMMUG00000017633	11
ENSG00000013588	12	ENSMMUG00000017631	11
ENSG00000013619	X	ENSMMUG00000022263	X
ENSG00000013725	11	ENSMMUG00000044417	14
ENSG00000013810	4	ENSMMUG00000011191	5
ENSG00000014123	6	ENSMMUG00000012616	4
ENSG00000014138	11	ENSMMUG00000022031	14
ENSG00000014216	11	ENSMMUG00000013475	14
ENSG00000014257	3	ENSMMUG00000016004	2
ENSG00000014641	2	ENSMMUG00000006163	13
ENSG00000014824	4	ENSMMUG00000022782	5
ENSG00000014914	1	ENSMMUG00000007246	1
ENSG00000014919	10	ENSMMUG00000023762	9
ENSG00000015133	14	ENSMMUG00000020687	7
ENSG00000015153	12	ENSMMUG00000010868	11
ENSG00000015171	10	ENSMMUG00000021279	9
ENSG00000015285	X	ENSMMUG00000019767	X
ENSG00000015413	16	ENSMMUG00000014910	20
ENSG00000015475	22	ENSMMUG00000020799	10
ENSG00000015520	7	ENSMMUG00000000782	3
ENSG00000015532	17	ENSMMUG00000017226	16
ENSG00000015592	8	ENSMMUG00000018670	8
ENSG00000015676	7	ENSMMUG00000000779	3
ENSG00000016082	5	ENSMMUG00000003984	6
ENSG00000016391	3	ENSMMUG00000019266	2
ENSG00000016402	6	ENSMMUG00000013566	4
ENSG00000016490	1	ENSMMUG00000006836	1
ENSG00000016602	1	ENSMMUG00000010306	1
ENSG00000016864	3	ENSMMUG00000012526	2
ENSG00000017260	3	ENSMMUG00000005137	2
ENSG00000017427	12	ENSMMUG00000002235	11
ENSG00000017483	X	ENSMMUG00000016975	X
ENSG00000017797	18	ENSMMUG00000038099	2
ENSG00000018189	4	ENSMMUG00000004465	5
ENSG00000018236	12	ENSMMUG00000021163	11
ENSG00000018280	2	ENSMMUG00000013359	12
ENSG00000018408	3	ENSMMUG00000018982	2
ENSG00000018510	2	ENSMMUG00000008502	12
ENSG00000018610	X	ENSMMUG00000022665	X
ENSG00000018699	2	ENSMMUG00000009372	13
ENSG00000018869	19	ENSMMUG00000000362	19
ENSG00000019144	11	ENSMMUG00000046655	14
ENSG00000019169	2	ENSMMUG00000002610	12
ENSG00000019186	20	ENSMMUG00000014860	10
ENSG00000019485	11	ENSMMUG00000015106	14
ENSG00000019505	11	ENSMMUG00000011449	14
ENSG00000019549	8	ENSMMUG00000016195	8
ENSG00000019582	5	ENSMMUG00000009113	6
ENSG00000019991	7	ENSMMUG00000018652	3
ENSG00000019995	10	ENSMMUG00000022028	9
ENSG00000020129	1	ENSMMUG00000019812	1
ENSG00000020181	8	ENSMMUG00000003204	8
ENSG00000020256	20	ENSMMUG00000018846	10
ENSG00000020426	14	ENSMMUG00000001642	7
ENSG00000020577	14	ENSMMUG00000010315	7
ENSG00000020633	1	ENSMMUG00000002420	1
ENSG00000020922	11	ENSMMUG00000004112	14
ENSG00000021300	11	ENSMMUG00000004791	14
ENSG00000021355	6	ENSMMUG00000042368	4
ENSG00000021461	7	ENSMMUG00000022490	3
ENSG00000021488	19	ENSMMUG00000028800	19
ENSG00000021574	2	ENSMMUG00000021691	13
ENSG00000021645	14	ENSMMUG00000013842	7
ENSG00000021762	11	ENSMMUG00000000513	14
ENSG00000021776	15	ENSMMUG00000002337	7
ENSG00000021826	2	ENSMMUG00000010508	12
ENSG00000021852	1	ENSMMUG00000022993	1
ENSG00000022267	X	ENSMMUG00000007922	X
ENSG00000022277	20	ENSMMUG00000000074	10
ENSG00000022355	5	ENSMMUG00000007296	6
ENSG00000022556	19	ENSMMUG00000003115	19
ENSG00000022567	8	ENSMMUG00000013579	8
ENSG00000022840	12	ENSMMUG00000004223	11
ENSG00000022976	14	ENSMMUG00000010493	7
ENSG00000023041	10	ENSMMUG00000001157	9
ENSG00000023171	11	ENSMMUG00000015522	14
ENSG00000023191	11	ENSMMUG00000010783	14
ENSG00000023228	2	ENSMMUG00000016788	12
ENSG00000023287	8	ENSMMUG00000009990	8
ENSG00000023318	9	ENSMMUG00000011415	15
ENSG00000023330	3	ENSMMUG00000005596	2
ENSG00000023516	13	ENSMMUG00000023083	17
ENSG00000023572	1	ENSMMUG00000022645	1
ENSG00000023608	14	ENSMMUG00000017303	7
ENSG00000023697	12	ENSMMUG00000013309	11
ENSG00000023734	12	ENSMMUG00000013307	11
ENSG00000023839	10	ENSMMUG00000023764	9
ENSG00000023892	6	ENSMMUG00000023560	4
ENSG00000023902	1	ENSMMUG00000013681	1
ENSG00000023909	1	ENSMMUG00000013857	1
ENSG00000024048	6	ENSMMUG00000005675	4
ENSG00000024422	19	ENSMMUG00000040121	19
ENSG00000024526	1	ENSMMUG00000017766	1
ENSG00000024862	6	ENSMMUG00000017643	4
ENSG00000025039	6	ENSMMUG00000015262	4
ENSG00000025156	6	ENSMMUG00000007910	4
ENSG00000025293	20	ENSMMUG00000010633	10
ENSG00000025434	11	ENSMMUG00000015598	14
ENSG00000025708	22	ENSMMUG00000001765	10
ENSG00000025770	22	ENSMMUG00000001763	10
ENSG00000025772	20	ENSMMUG00000013211	10
ENSG00000025796	6	ENSMMUG00000016598	4
ENSG00000025800	1	ENSMMUG00000008455	1
ENSG00000026025	10	ENSMMUG00000003193	9
ENSG00000026103	10	ENSMMUG00000011186	9
ENSG00000026508	11	ENSMMUG00000004327	14
ENSG00000026559	20	ENSMMUG00000000683	10
ENSG00000026652	6	ENSMMUG00000006147	4
ENSG00000026751	1	ENSMMUG00000017327	1
ENSG00000027001	13	ENSMMUG00000006942	17
ENSG00000027075	14	ENSMMUG00000002260	7
ENSG00000027697	6	ENSMMUG00000045195	4
ENSG00000027847	5	ENSMMUG00000029662	6
ENSG00000027869	1	ENSMMUG00000010917	1
ENSG00000028116	2	ENSMMUG00000002025	13
ENSG00000028137	1	ENSMMUG00000021447	1
ENSG00000028203	12	ENSMMUG00000018903	11
ENSG00000028277	19	ENSMMUG00000013376	19
ENSG00000028310	5	ENSMMUG00000014738	6
ENSG00000028528	15	ENSMMUG00000014005	7
ENSG00000028839	6	ENSMMUG00000022920	4
ENSG00000029153	12	ENSMMUG00000023249	11
ENSG00000029364	14	ENSMMUG00000021572	7
ENSG00000029534	8	ENSMMUG00000014726	8
ENSG00000029559	4	ENSMMUG00000011111	5
ENSG00000029639	6	ENSMMUG00000011171	4
ENSG00000029725	17	ENSMMUG00000010465	16
ENSG00000029993	X	ENSMMUG00000004633	X
ENSG00000030066	11	ENSMMUG00000010869	14
ENSG00000030110	6	ENSMMUG00000009104	4
ENSG00000030304	9	ENSMMUG00000007065	15
ENSG00000030419	2	ENSMMUG00000000381	12
ENSG00000030582	17	ENSMMUG00000023751	16
ENSG00000031003	5	ENSMMUG00000008009	6
ENSG00000031081	3	ENSMMUG00000012009	2
ENSG00000031691	6	ENSMMUG00000048193	4
ENSG00000031698	1	ENSMMUG00000021837	1
ENSG00000031823	19	ENSMMUG00000011964	19
ENSG00000032219	14	ENSMMUG00000003514	7
ENSG00000032389	2	ENSMMUG00000022879	13
ENSG00000032444	19	ENSMMUG00000011392	19
ENSG00000032742	13	ENSMMUG00000013367	17
ENSG00000033030	12	ENSMMUG00000013643	11
ENSG00000033050	7	ENSMMUG00000006679	3
ENSG00000033100	7	ENSMMUG00000006682	3
ENSG00000033122	1	ENSMMUG00000021917	1
ENSG00000033170	14	ENSMMUG00000013848	7
ENSG00000033178	4	ENSMMUG00000003776	5
ENSG00000033327	11	ENSMMUG00000017477	14
ENSG00000033627	17	ENSMMUG00000022644	16
ENSG00000033800	15	ENSMMUG00000011699	7
ENSG00000033867	3	ENSMMUG00000019327	2
ENSG00000034053	15	ENSMMUG00000019339	7
ENSG00000034239	8	ENSMMUG00000016822	8
ENSG00000034533	3	ENSMMUG00000005142	2
ENSG00000034677	8	ENSMMUG00000004387	8
ENSG00000034693	6	ENSMMUG00000005365	4
ENSG00000034971	1	ENSMMUG00000013649	1
ENSG00000035115	2	ENSMMUG00000017096	13
ENSG00000035403	10	ENSMMUG00000020823	9
ENSG00000035499	5	ENSMMUG00000018379	6
ENSG00000035664	15	ENSMMUG00000018177	7
ENSG00000035687	1	ENSMMUG00000000016	1
ENSG00000035720	4	ENSMMUG00000009392	5
ENSG00000035862	17	ENSMMUG00000005355	16
ENSG00000035928	4	ENSMMUG00000009324	5
ENSG00000036054	3	ENSMMUG00000020026	2
ENSG00000036257	2	ENSMMUG00000022259	12
ENSG00000036448	8	ENSMMUG00000023408	8
ENSG00000036473	X	ENSMMUG00000013493	X
ENSG00000036530	14	ENSMMUG00000000100	7
ENSG00000036549	1	ENSMMUG00000042828	1
ENSG00000036565	8	ENSMMUG00000019999	8
ENSG00000036672	11	ENSMMUG00000008921	14
ENSG00000037241	5	ENSMMUG00000041071	6
ENSG00000037280	5	ENSMMUG00000018693	6
ENSG00000037474	5	ENSMMUG00000002561	6
ENSG00000037637	1	ENSMMUG00000012733	1
ENSG00000037749	5	ENSMMUG00000011989	6
ENSG00000037757	19	ENSMMUG00000018068	19
ENSG00000038002	4	ENSMMUG00000007393	5
ENSG00000038219	4	ENSMMUG00000022027	5
ENSG00000038295	4	ENSMMUG00000015799	5
ENSG00000038358	16	ENSMMUG00000011888	20
ENSG00000038382	5	ENSMMUG00000015489	6
ENSG00000038427	5	ENSMMUG00000011513	6
ENSG00000038532	16	ENSMMUG00000006515	20
ENSG00000038945	8	ENSMMUG00000002296	8
ENSG00000039068	16	ENSMMUG00000011850	20
ENSG00000039123	5	ENSMMUG00000010379	6
ENSG00000039139	5	ENSMMUG00000011026	6
ENSG00000039319	5	ENSMMUG00000023177	6
ENSG00000039523	16	ENSMMUG00000017105	20
ENSG00000039537	5	ENSMMUG00000021034	6
ENSG00000039560	5	ENSMMUG00000013739	6
ENSG00000039600	5	ENSMMUG00000021550	6
ENSG00000039650	19	ENSMMUG00000011622	19
ENSG00000040199	16	ENSMMUG00000012007	20
ENSG00000040275	5	ENSMMUG00000009365	6
ENSG00000040341	8	ENSMMUG00000021588	8
ENSG00000040487	1	ENSMMUG00000006892	1
ENSG00000040531	17	ENSMMUG00000023389	16
ENSG00000040608	22	ENSMMUG00000011547	10
ENSG00000040633	17	ENSMMUG00000010543	16
ENSG00000040731	5	ENSMMUG00000012293	6
ENSG00000040933	2	ENSMMUG00000022903	13
ENSG00000041353	18	ENSMMUG00000040524	18
ENSG00000041357	15	ENSMMUG00000010740	7
ENSG00000041515	13	ENSMMUG00000021231	17
ENSG00000041802	3	ENSMMUG00000010708	2
ENSG00000041880	3	ENSMMUG00000022203	2
ENSG00000041982	9	ENSMMUG00000003356	15
ENSG00000041988	1	ENSMMUG00000002047	1
ENSG00000042062	20	ENSMMUG00000007883	10
ENSG00000042088	14	ENSMMUG00000004460	7
ENSG00000042286	10	ENSMMUG00000006392	9
ENSG00000042304	2	ENSMMUG00000045073	12
ENSG00000042317	14	ENSMMUG00000021011	7
ENSG00000042429	11	ENSMMUG00000013601	14
ENSG00000042445	2	ENSMMUG00000019416	13
ENSG00000042493	2	ENSMMUG00000002675	13
ENSG00000042753	19	ENSMMUG00000000833	19
ENSG00000042781	1	ENSMMUG00000022640	1
ENSG00000042832	8	ENSMMUG00000041378	8
ENSG00000042980	8	ENSMMUG00000005317	8
ENSG00000043093	3	ENSMMUG00000010552	2
ENSG00000043143	5	ENSMMUG00000000358	6
ENSG00000043355	13	ENSMMUG00000014822	17
ENSG00000043462	5	ENSMMUG00000014126	6
ENSG00000043514	1	ENSMMUG00000016220	1
ENSG00000043591	10	ENSMMUG00000044756	9
ENSG00000044012	1	ENSMMUG00000018965	1
ENSG00000044090	6	ENSMMUG00000002451	4
ENSG00000044115	5	ENSMMUG00000017985	6
ENSG00000044446	X	ENSMMUG00000020513	X
ENSG00000044459	9	ENSMMUG00000023448	15
ENSG00000044524	3	ENSMMUG00000008242	2
ENSG00000044574	9	ENSMMUG00000005217	15
ENSG00000046604	18	ENSMMUG00000021095	18
ENSG00000046647	X	ENSMMUG00000013595	X
ENSG00000046651	X	ENSMMUG00000019410	X
ENSG00000046653	X	ENSMMUG00000019415	X
ENSG00000046774	X	ENSMMUG00000016642	X
