Macaque	ChrMacaque	Chicken	ChrChicken
ENSMMUG00000000763	4	ENSGALG00000037511	3
ENSMMUG00000000765	12	ENSGALG00000012223	7
ENSMMUG00000000766	4	ENSGALG00000008536	3
ENSMMUG00000000767	3	ENSGALG00000039048	2
ENSMMUG00000000768	18	ENSGALG00000031284	2
ENSMMUG00000000769	20	ENSGALG00000001256	11
ENSMMUG00000000776	8	ENSGALG00000003470	22
ENSMMUG00000000777	4	ENSGALG00000016289	3
ENSMMUG00000000779	3	ENSGALG00000038299	22
ENSMMUG00000000783	12	ENSGALG00000034212	7
ENSMMUG00000000784	17	ENSGALG00000016931	1
ENSMMUG00000000785	12	ENSGALG00000011347	7
ENSMMUG00000000786	12	ENSGALG00000011335	7
ENSMMUG00000000787	17	ENSGALG00000016930	1
ENSMMUG00000000789	5	ENSGALG00000011626	4
ENSMMUG00000000790	5	ENSGALG00000011642	4
ENSMMUG00000000791	12	ENSGALG00000011343	7
ENSMMUG00000000795	4	ENSGALG00000016283	3
ENSMMUG00000000796	14	ENSGALG00000017158	1
ENSMMUG00000000797	14	ENSGALG00000027243	1
ENSMMUG00000000798	9	ENSGALG00000009433	6
ENSMMUG00000000802	15	ENSGALG00000010179	Z
ENSMMUG00000000803	11	ENSGALG00000030661	33
ENSMMUG00000000807	10	ENSGALG00000031922	1
ENSMMUG00000000809	X	ENSGALG00000000112	4
ENSMMUG00000000815	4	ENSGALG00000016299	3
ENSMMUG00000000822	2	ENSGALG00000003799	12
ENSMMUG00000000823	6	ENSGALG00000014692	Z
ENSMMUG00000000824	20	ENSGALG00000005347	11
ENSMMUG00000000827	5	ENSGALG00000009886	4
ENSMMUG00000000828	5	ENSGALG00000009898	4
ENSMMUG00000000829	5	ENSGALG00000009913	4
ENSMMUG00000000830	7	ENSGALG00000035626	27
ENSMMUG00000000833	19	ENSGALG00000042633	AADN04007734.1
ENSMMUG00000000835	20	ENSGALG00000005349	14
ENSMMUG00000000838	1	ENSGALG00000039193	21
ENSMMUG00000000842	20	ENSGALG00000005315	14
ENSMMUG00000000843	20	ENSGALG00000040157	14
ENSMMUG00000000845	19	ENSGALG00000036573	AADN04008284.1
ENSMMUG00000000850	2	ENSGALG00000007361	9
ENSMMUG00000000853	3	ENSGALG00000010699	2
ENSMMUG00000000857	13	ENSGALG00000038783	22
ENSMMUG00000000859	11	ENSGALG00000026553	Z
ENSMMUG00000000862	1	ENSGALG00000010986	3
ENSMMUG00000000866	5	ENSGALG00000034502	4
ENSMMUG00000000868	1	ENSGALG00000009858	3
ENSMMUG00000000870	1	ENSGALG00000009392	3
ENSMMUG00000000871	15	ENSGALG00000000950	17
ENSMMUG00000000872	4	ENSGALG00000001431	26
ENSMMUG00000000873	1	ENSGALG00000011388	8
ENSMMUG00000000874	14	ENSGALG00000008440	5
ENSMMUG00000000875	1	ENSGALG00000011392	8
ENSMMUG00000000880	3	ENSGALG00000010770	2
ENSMMUG00000000881	9	ENSGALG00000041267	2
ENSMMUG00000000882	9	ENSGALG00000007892	2
ENSMMUG00000000885	X	ENSGALG00000016686	1
ENSMMUG00000000886	8	ENSGALG00000030890	2
ENSMMUG00000000887	8	ENSGALG00000031860	2
ENSMMUG00000000892	8	ENSGALG00000037626	2
ENSMMUG00000000893	10	ENSGALG00000011992	1
ENSMMUG00000000894	2	ENSGALG00000015360	1
ENSMMUG00000000902	2	ENSGALG00000014997	1
ENSMMUG00000000905	2	ENSGALG00000014988	1
ENSMMUG00000000906	2	ENSGALG00000014981	1
ENSMMUG00000000907	2	ENSGALG00000014980	1
ENSMMUG00000000908	13	ENSGALG00000015961	4
ENSMMUG00000000911	2	ENSGALG00000015136	1
ENSMMUG00000000912	2	ENSGALG00000014362	1
ENSMMUG00000000914	5	ENSGALG00000010347	4
ENSMMUG00000000915	3	ENSGALG00000037842	1
ENSMMUG00000000916	3	ENSGALG00000038187	1
ENSMMUG00000000918	10	ENSGALG00000007912	20
ENSMMUG00000000925	11	ENSGALG00000029393	33
ENSMMUG00000000931	1	ENSGALG00000005340	8
ENSMMUG00000000932	2	ENSGALG00000034512	9
ENSMMUG00000000933	2	ENSGALG00000039294	9
ENSMMUG00000000934	15	ENSGALG00000003175	17
ENSMMUG00000000935	15	ENSGALG00000030609	17
ENSMMUG00000000937	15	ENSGALG00000033597	17
ENSMMUG00000000938	2	ENSGALG00000035099	12
ENSMMUG00000000943	8	ENSGALG00000003092	22
ENSMMUG00000000946	11	ENSGALG00000009945	1
ENSMMUG00000000947	8	ENSGALG00000037777	2
ENSMMUG00000000949	2	ENSGALG00000036971	9
ENSMMUG00000000951	3	ENSGALG00000007511	7
ENSMMUG00000000952	1	ENSGALG00000045736	23
ENSMMUG00000000953	3	ENSGALG00000007513	7
ENSMMUG00000000955	11	ENSGALG00000030024	1
ENSMMUG00000000956	11	ENSGALG00000009795	1
ENSMMUG00000000960	5	ENSGALG00000014957	4
ENSMMUG00000000963	8	ENSGALG00000031424	2
ENSMMUG00000000965	8	ENSGALG00000043164	4
ENSMMUG00000000966	10	ENSGALG00000006267	20
ENSMMUG00000000968	10	ENSGALG00000006273	20
ENSMMUG00000000969	10	ENSGALG00000043015	20
ENSMMUG00000000970	10	ENSGALG00000021017	20
ENSMMUG00000000971	10	ENSGALG00000006460	20
ENSMMUG00000000972	2	ENSGALG00000027983	9
ENSMMUG00000000973	10	ENSGALG00000035111	20
ENSMMUG00000000974	13	ENSGALG00000008962	3
ENSMMUG00000000978	20	ENSGALG00000009341	14
ENSMMUG00000000979	20	ENSGALG00000009346	14
ENSMMUG00000000981	20	ENSGALG00000006374	15
ENSMMUG00000000984	2	ENSGALG00000005763	2
ENSMMUG00000000985	2	ENSGALG00000005805	2
ENSMMUG00000000987	2	ENSGALG00000005826	2
ENSMMUG00000000990	2	ENSGALG00000005860	2
ENSMMUG00000000994	19	ENSGALG00000021601	28
ENSMMUG00000000995	2	ENSGALG00000005947	2
ENSMMUG00000000996	2	ENSGALG00000005979	2
ENSMMUG00000001002	6	ENSGALG00000037642	13
ENSMMUG00000001003	3	ENSGALG00000001174	19
ENSMMUG00000001008	7	ENSGALG00000011811	5
ENSMMUG00000001010	1	ENSGALG00000015185	1
ENSMMUG00000001012	10	ENSGALG00000008907	3
ENSMMUG00000001018	4	ENSGALG00000040084	2
ENSMMUG00000001021	1	ENSGALG00000041034	3
ENSMMUG00000001026	16	ENSGALG00000004259	19
ENSMMUG00000001029	2	ENSGALG00000042371	2
ENSMMUG00000001031	2	ENSGALG00000040363	2
ENSMMUG00000001034	1	ENSGALG00000033138	21
ENSMMUG00000001036	17	ENSGALG00000016833	1
ENSMMUG00000001038	17	ENSGALG00000026677	1
ENSMMUG00000001039	17	ENSGALG00000016832	1
ENSMMUG00000001040	8	ENSGALG00000045940	3
ENSMMUG00000001041	17	ENSGALG00000016831	1
ENSMMUG00000001043	15	ENSGALG00000015167	Z
ENSMMUG00000001044	7	ENSGALG00000011620	5
ENSMMUG00000001045	2	ENSGALG00000011655	7
ENSMMUG00000001047	7	ENSGALG00000023025	5
ENSMMUG00000001048	2	ENSGALG00000011657	7
ENSMMUG00000001049	2	ENSGALG00000011671	7
ENSMMUG00000001051	11	ENSGALG00000004370	18
ENSMMUG00000001053	12	ENSGALG00000029701	7
ENSMMUG00000001058	10	ENSGALG00000005676	15
ENSMMUG00000001060	1	ENSGALG00000010812	3
ENSMMUG00000001061	15	ENSGALG00000005249	12
ENSMMUG00000001075	2	ENSGALG00000038733	2
ENSMMUG00000001077	2	ENSGALG00000029788	2
ENSMMUG00000001078	8	ENSGALG00000034099	2
ENSMMUG00000001084	7	ENSGALG00000012025	5
ENSMMUG00000001088	X	ENSGALG00000016358	1
ENSMMUG00000001090	7	ENSGALG00000012023	5
ENSMMUG00000001091	8	ENSGALG00000003299	22
ENSMMUG00000001092	7	ENSGALG00000010406	5
ENSMMUG00000001096	2	ENSGALG00000011498	2
ENSMMUG00000001097	7	ENSGALG00000010432	5
ENSMMUG00000001099	7	ENSGALG00000010457	5
ENSMMUG00000001100	8	ENSGALG00000030585	2
ENSMMUG00000001102	12	ENSGALG00000031350	9
ENSMMUG00000001103	2	ENSGALG00000010377	9
ENSMMUG00000001105	2	ENSGALG00000036470	9
ENSMMUG00000001107	2	ENSGALG00000044293	9
ENSMMUG00000001108	10	ENSGALG00000037889	20
ENSMMUG00000001110	16	ENSGALG00000001433	18
ENSMMUG00000001111	16	ENSGALG00000028354	18
ENSMMUG00000001116	16	ENSGALG00000003277	18
ENSMMUG00000001118	9	ENSGALG00000035013	6
ENSMMUG00000001119	16	ENSGALG00000001626	18
ENSMMUG00000001120	2	ENSGALG00000004955	12
ENSMMUG00000001124	11	ENSGALG00000032130	KQ759484.1
ENSMMUG00000001125	3	ENSGALG00000016024	1
ENSMMUG00000001126	13	ENSGALG00000013879	22
ENSMMUG00000001127	2	ENSGALG00000004969	12
ENSMMUG00000001128	11	ENSGALG00000037307	15
ENSMMUG00000001130	6	ENSGALG00000038328	2
ENSMMUG00000001133	3	ENSGALG00000016127	1
ENSMMUG00000001141	15	ENSGALG00000015101	Z
ENSMMUG00000001143	3	ENSGALG00000022557	19
ENSMMUG00000001150	4	ENSGALG00000016278	3
ENSMMUG00000001151	8	ENSGALG00000017086	1
ENSMMUG00000001152	1	ENSGALG00000003438	8
ENSMMUG00000001153	8	ENSGALG00000013617	4
ENSMMUG00000001155	9	ENSGALG00000008840	6
ENSMMUG00000001156	5	ENSGALG00000015692	4
ENSMMUG00000001157	9	ENSGALG00000008870	6
ENSMMUG00000001158	5	ENSGALG00000032175	4
ENSMMUG00000001163	12	ENSGALG00000008885	7
ENSMMUG00000001169	2	ENSGALG00000012049	7
ENSMMUG00000001171	12	ENSGALG00000008896	7
ENSMMUG00000001176	17	ENSGALG00000017053	1
