Macaque	ChrMacaque	Platypus	ChrPlatypus
ENSMMUG00000000328	14	ENSOANG00000004111	Contig3294
ENSMMUG00000000329	11	ENSOANG00000013039	Contig13323
ENSMMUG00000000330	6	ENSOANG00000000850	Ultra84
ENSMMUG00000000332	6	ENSOANG00000022501	Ultra581
ENSMMUG00000000340	6	ENSOANG00000009906	Contig1838
ENSMMUG00000000342	6	ENSOANG00000008822	Contig1717
ENSMMUG00000000343	14	ENSOANG00000015192	Ultra303
ENSMMUG00000000350	17	ENSOANG00000011318	Ultra284
ENSMMUG00000000358	6	ENSOANG00000010024	Contig7090
ENSMMUG00000000359	5	ENSOANG00000007705	Contig11995
ENSMMUG00000000366	2	ENSOANG00000029508	Contig6065
ENSMMUG00000000368	14	ENSOANG00000003200	Ultra286
ENSMMUG00000000373	1	ENSOANG00000009730	Ultra412
ENSMMUG00000000376	12	ENSOANG00000030115	Contig19794
ENSMMUG00000000377	11	ENSOANG00000010631	Contig22689
ENSMMUG00000000378	X	ENSOANG00000013990	Ultra315
ENSMMUG00000000380	5	ENSOANG00000013696	Ultra362
ENSMMUG00000000381	12	ENSOANG00000009330	Ultra338
ENSMMUG00000000382	12	ENSOANG00000029131	Ultra338
ENSMMUG00000000384	12	ENSOANG00000012633	Contig13628
ENSMMUG00000000386	1	ENSOANG00000008336	Contig219
ENSMMUG00000000387	2	ENSOANG00000000486	X1
ENSMMUG00000000389	15	ENSOANG00000010217	3
ENSMMUG00000000397	20	ENSOANG00000002348	11
ENSMMUG00000000398	20	ENSOANG00000002350	11
ENSMMUG00000000399	6	ENSOANG00000014359	Ultra307
ENSMMUG00000000400	6	ENSOANG00000007259	Contig18665
ENSMMUG00000000401	20	ENSOANG00000002351	11
ENSMMUG00000000402	1	ENSOANG00000014418	Ultra135
ENSMMUG00000000404	1	ENSOANG00000014419	Ultra135
ENSMMUG00000000411	7	ENSOANG00000010724	Contig588
ENSMMUG00000000413	7	ENSOANG00000010722	Contig588
ENSMMUG00000000419	6	ENSOANG00000005744	Ultra139
ENSMMUG00000000421	6	ENSOANG00000005745	Ultra139
ENSMMUG00000000424	9	ENSOANG00000015260	3
ENSMMUG00000000426	KQ732988.1	ENSOANG00000013742	Ultra517
ENSMMUG00000000427	3	ENSOANG00000007727	2
ENSMMUG00000000430	2	ENSOANG00000015271	Contig3179
ENSMMUG00000000431	1	ENSOANG00000002511	Contig17180
ENSMMUG00000000433	9	ENSOANG00000001604	Ultra272
ENSMMUG00000000434	11	ENSOANG00000012868	Ultra196
ENSMMUG00000000443	X	ENSOANG00000004043	Ultra462
ENSMMUG00000000446	6	ENSOANG00000014526	3
ENSMMUG00000000447	4	ENSOANG00000007182	Ultra474
ENSMMUG00000000449	8	ENSOANG00000013123	Contig18028
ENSMMUG00000000452	19	ENSOANG00000009196	Ultra266
ENSMMUG00000000453	19	ENSOANG00000009197	Ultra266
ENSMMUG00000000457	18	ENSOANG00000001744	X3
ENSMMUG00000000459	8	ENSOANG00000015808	Contig3079
ENSMMUG00000000465	6	ENSOANG00000022322	Ultra532
ENSMMUG00000000469	9	ENSOANG00000000469	Ultra12
ENSMMUG00000000470	9	ENSOANG00000000465	Ultra12
ENSMMUG00000000476	1	ENSOANG00000003234	Contig3099
ENSMMUG00000000480	3	ENSOANG00000015389	Contig13
ENSMMUG00000000481	17	ENSOANG00000011304	Ultra284
ENSMMUG00000000482	14	ENSOANG00000002693	Contig5868
ENSMMUG00000000484	19	ENSOANG00000006977	Contig3986
ENSMMUG00000000485	19	ENSOANG00000006978	Contig3986
ENSMMUG00000000488	3	ENSOANG00000009769	Ultra41
ENSMMUG00000000490	7	ENSOANG00000001976	Contig34477
ENSMMUG00000000491	19	ENSOANG00000032266	Contig29506
ENSMMUG00000000492	7	ENSOANG00000009457	Contig3087
ENSMMUG00000000493	7	ENSOANG00000021006	Ultra164
ENSMMUG00000000495	15	ENSOANG00000008192	Ultra70
ENSMMUG00000000498	13	ENSOANG00000012403	Ultra56
ENSMMUG00000000500	4	ENSOANG00000014605	Ultra215
ENSMMUG00000000504	3	ENSOANG00000000286	4
ENSMMUG00000000505	3	ENSOANG00000000285	4
ENSMMUG00000000506	14	ENSOANG00000009381	Contig36844
ENSMMUG00000000507	8	ENSOANG00000015458	Contig19371
ENSMMUG00000000512	11	ENSOANG00000020906	Ultra252
ENSMMUG00000000515	20	ENSOANG00000008664	Ultra208
ENSMMUG00000000517	3	ENSOANG00000014208	Ultra65
ENSMMUG00000000519	2	ENSOANG00000031874	Ultra166
ENSMMUG00000000521	11	ENSOANG00000006613	Ultra443
ENSMMUG00000000524	20	ENSOANG00000014301	Ultra123
ENSMMUG00000000525	20	ENSOANG00000014296	Ultra123
ENSMMUG00000000526	2	ENSOANG00000006778	Ultra117
ENSMMUG00000000527	14	ENSOANG00000006239	Ultra111
ENSMMUG00000000529	17	ENSOANG00000014923	Ultra284
ENSMMUG00000000534	7	ENSOANG00000010787	Ultra130
ENSMMUG00000000537	1	ENSOANG00000004581	Contig2231
ENSMMUG00000000540	20	ENSOANG00000011338	Ultra521
ENSMMUG00000000541	1	ENSOANG00000004580	Contig2231
ENSMMUG00000000544	3	ENSOANG00000006264	Contig848
ENSMMUG00000000545	1	ENSOANG00000000933	Ultra341
ENSMMUG00000000549	11	ENSOANG00000002085	Contig11199
ENSMMUG00000000552	5	ENSOANG00000014140	Ultra328
ENSMMUG00000000553	10	ENSOANG00000003992	Ultra176
ENSMMUG00000000554	7	ENSOANG00000006381	Contig874
ENSMMUG00000000556	7	ENSOANG00000006382	Contig874
ENSMMUG00000000565	1	ENSOANG00000005488	Ultra331
ENSMMUG00000000566	20	ENSOANG00000000790	Ultra434
ENSMMUG00000000567	9	ENSOANG00000006042	Ultra274
ENSMMUG00000000568	15	ENSOANG00000000847	Ultra84
ENSMMUG00000000570	6	ENSOANG00000007799	X1
ENSMMUG00000000573	8	ENSOANG00000001414	4
ENSMMUG00000000577	4	ENSOANG00000029010	Ultra520
ENSMMUG00000000580	16	ENSOANG00000009384	Contig5546
ENSMMUG00000000582	12	ENSOANG00000002420	Contig10764
ENSMMUG00000000583	2	ENSOANG00000000497	Ultra166
ENSMMUG00000000586	20	ENSOANG00000014326	Contig89276
ENSMMUG00000000588	20	ENSOANG00000010977	Contig20346
ENSMMUG00000000590	20	ENSOANG00000011372	Contig20549
ENSMMUG00000000591	2	ENSOANG00000032165	Contig9424
ENSMMUG00000000596	20	ENSOANG00000008741	Contig17931
ENSMMUG00000000599	20	ENSOANG00000011296	Contig3885
ENSMMUG00000000602	20	ENSOANG00000011294	Contig3885
ENSMMUG00000000603	20	ENSOANG00000011293	Contig3885
ENSMMUG00000000605	20	ENSOANG00000000859	Contig12130
ENSMMUG00000000609	20	ENSOANG00000014165	Contig55952
ENSMMUG00000000613	20	ENSOANG00000004410	Contig10035
ENSMMUG00000000615	20	ENSOANG00000013008	Contig20190
ENSMMUG00000000617	7	ENSOANG00000013362	Ultra122
ENSMMUG00000000618	16	ENSOANG00000011514	Ultra9
ENSMMUG00000000620	16	ENSOANG00000011513	Ultra9
ENSMMUG00000000622	16	ENSOANG00000011512	Ultra9
ENSMMUG00000000623	2	ENSOANG00000013797	7
ENSMMUG00000000625	1	ENSOANG00000021112	Ultra107
ENSMMUG00000000629	1	ENSOANG00000000923	Ultra341
ENSMMUG00000000630	1	ENSOANG00000000924	Ultra341
ENSMMUG00000000635	6	ENSOANG00000010229	14
ENSMMUG00000000637	1	ENSOANG00000006856	18
ENSMMUG00000000639	8	ENSOANG00000009795	Ultra478
ENSMMUG00000000641	1	ENSOANG00000007145	Contig3265
ENSMMUG00000000642	13	ENSOANG00000002849	Contig5043
ENSMMUG00000000643	1	ENSOANG00000006337	Contig4890
ENSMMUG00000000644	1	ENSOANG00000006306	Contig6443
ENSMMUG00000000645	1	ENSOANG00000013319	Contig12365
ENSMMUG00000000647	1	ENSOANG00000028430	18
ENSMMUG00000000649	1	ENSOANG00000007084	Contig16668
ENSMMUG00000000651	1	ENSOANG00000007768	18
ENSMMUG00000000653	1	ENSOANG00000001728	Ultra714
ENSMMUG00000000655	1	ENSOANG00000014900	Contig2043
ENSMMUG00000000659	9	ENSOANG00000014861	Contig18930
ENSMMUG00000000660	9	ENSOANG00000013225	3
ENSMMUG00000000661	9	ENSOANG00000012634	Contig14906
ENSMMUG00000000664	14	ENSOANG00000012470	Contig3333
ENSMMUG00000000669	X	ENSOANG00000011537	Contig265603
ENSMMUG00000000677	20	ENSOANG00000000260	Contig38247
ENSMMUG00000000680	20	ENSOANG00000030886	11
ENSMMUG00000000683	10	ENSOANG00000008672	Ultra516
ENSMMUG00000000685	4	ENSOANG00000005403	Contig13855
ENSMMUG00000000687	4	ENSOANG00000006900	Contig7422
ENSMMUG00000000688	2	ENSOANG00000030920	Contig23848
ENSMMUG00000000690	15	ENSOANG00000010164	Ultra474
ENSMMUG00000000694	2	ENSOANG00000030297	Contig18319
ENSMMUG00000000696	2	ENSOANG00000007207	Contig8831
ENSMMUG00000000697	2	ENSOANG00000007208	Contig8831
ENSMMUG00000000698	19	ENSOANG00000014809	Contig21694
ENSMMUG00000000699	7	ENSOANG00000003822	Contig252
ENSMMUG00000000700	20	ENSOANG00000011411	Contig5112
ENSMMUG00000000704	6	ENSOANG00000011539	Contig2163
ENSMMUG00000000705	X	ENSOANG00000002581	Ultra390
ENSMMUG00000000706	2	ENSOANG00000021010	Contig19701
ENSMMUG00000000707	20	ENSOANG00000032172	Contig295248
ENSMMUG00000000711	16	ENSOANG00000012698	Ultra69
ENSMMUG00000000712	6	ENSOANG00000015746	X2
ENSMMUG00000000715	19	ENSOANG00000028379	Contig22119
ENSMMUG00000000718	19	ENSOANG00000004536	Contig14162
ENSMMUG00000000719	18	ENSOANG00000008124	3
ENSMMUG00000000722	12	ENSOANG00000011213	7
ENSMMUG00000000729	4	ENSOANG00000009899	Contig26778
ENSMMUG00000000736	4	ENSOANG00000008154	Contig34030
ENSMMUG00000000737	20	ENSOANG00000002919	Contig1369
ENSMMUG00000000739	20	ENSOANG00000002921	Contig1369
ENSMMUG00000000752	6	ENSOANG00000010182	Ultra474
ENSMMUG00000000754	7	ENSOANG00000011034	Contig6084
ENSMMUG00000000756	2	ENSOANG00000003056	Contig7117
ENSMMUG00000000757	10	ENSOANG00000008682	Ultra516
ENSMMUG00000000759	14	ENSOANG00000032034	Contig11697
ENSMMUG00000000761	14	ENSOANG00000006368	Contig8628
ENSMMUG00000000763	4	ENSOANG00000000534	Ultra483
ENSMMUG00000000765	12	ENSOANG00000007986	Ultra387
ENSMMUG00000000766	4	ENSOANG00000008453	Ultra67
ENSMMUG00000000767	3	ENSOANG00000015269	Contig1664
ENSMMUG00000000769	20	ENSOANG00000013748	Ultra517
ENSMMUG00000000776	8	ENSOANG00000022431	5
ENSMMUG00000000779	3	ENSOANG00000015733	Contig25943
ENSMMUG00000000782	3	ENSOANG00000006322	Contig6876
ENSMMUG00000000783	12	ENSOANG00000030968	Contig24419
ENSMMUG00000000784	17	ENSOANG00000010025	Ultra72
ENSMMUG00000000785	12	ENSOANG00000000316	Contig24673
ENSMMUG00000000786	12	ENSOANG00000028998	Contig30053
ENSMMUG00000000787	17	ENSOANG00000010027	Ultra72
ENSMMUG00000000789	5	ENSOANG00000006903	Ultra362
ENSMMUG00000000797	14	ENSOANG00000014097	Contig7791
ENSMMUG00000000798	9	ENSOANG00000009317	Ultra272
ENSMMUG00000000802	15	ENSOANG00000014996	X5
ENSMMUG00000000803	11	ENSOANG00000020401	Contig50186
ENSMMUG00000000807	10	ENSOANG00000001891	Ultra201
ENSMMUG00000000808	4	ENSOANG00000008942	Ultra542
ENSMMUG00000000809	X	ENSOANG00000004229	Ultra519
ENSMMUG00000000811	1	ENSOANG00000014269	Ultra183
ENSMMUG00000000812	1	ENSOANG00000014268	Ultra183
ENSMMUG00000000815	4	ENSOANG00000013832	Ultra546
ENSMMUG00000000822	2	ENSOANG00000013806	Ultra529
ENSMMUG00000000823	6	ENSOANG00000011225	X5
ENSMMUG00000000825	8	ENSOANG00000022557	Contig22750
ENSMMUG00000000826	9	ENSOANG00000005876	Contig4057
ENSMMUG00000000827	5	ENSOANG00000013926	Ultra33
ENSMMUG00000000828	5	ENSOANG00000013925	Ultra33
ENSMMUG00000000829	5	ENSOANG00000013921	Ultra33
ENSMMUG00000000836	19	ENSOANG00000008108	Contig24312
ENSMMUG00000000837	19	ENSOANG00000008109	Contig24312
ENSMMUG00000000838	1	ENSOANG00000008711	Contig18746
ENSMMUG00000000842	20	ENSOANG00000030625	Contig43748
ENSMMUG00000000844	14	ENSOANG00000009406	3
ENSMMUG00000000846	20	ENSOANG00000000467	Contig4392
ENSMMUG00000000850	2	ENSOANG00000000871	7
ENSMMUG00000000853	3	ENSOANG00000009841	Contig11229
ENSMMUG00000000859	11	ENSOANG00000014627	Contig36780
ENSMMUG00000000860	11	ENSOANG00000031888	Contig62451
ENSMMUG00000000863	7	ENSOANG00000008539	Ultra366
ENSMMUG00000000868	1	ENSOANG00000008479	Ultra67
ENSMMUG00000000870	1	ENSOANG00000001445	Ultra67
ENSMMUG00000000871	15	ENSOANG00000010435	Ultra39
ENSMMUG00000000872	4	ENSOANG00000002015	Ultra269
ENSMMUG00000000873	1	ENSOANG00000005636	Contig5910
ENSMMUG00000000874	14	ENSOANG00000010923	Ultra286
ENSMMUG00000000880	3	ENSOANG00000005761	Ultra80
ENSMMUG00000000881	9	ENSOANG00000005695	15
ENSMMUG00000000882	9	ENSOANG00000005697	15
ENSMMUG00000000885	X	ENSOANG00000010518	Ultra86
ENSMMUG00000000886	8	ENSOANG00000012348	Contig3446
ENSMMUG00000000887	8	ENSOANG00000002307	7
ENSMMUG00000000892	8	ENSOANG00000008100	4
ENSMMUG00000000893	10	ENSOANG00000014679	Ultra454
ENSMMUG00000000894	2	ENSOANG00000008829	Ultra145
ENSMMUG00000000895	20	ENSOANG00000002251	Contig28679
ENSMMUG00000000896	20	ENSOANG00000004544	Contig21731
ENSMMUG00000000899	20	ENSOANG00000011963	Contig32649
ENSMMUG00000000901	20	ENSOANG00000020561	Contig22665
ENSMMUG00000000902	2	ENSOANG00000029687	Contig97765
ENSMMUG00000000907	2	ENSOANG00000013869	Ultra620
ENSMMUG00000000908	13	ENSOANG00000002681	Ultra320
ENSMMUG00000000911	2	ENSOANG00000014217	Contig22663
ENSMMUG00000000912	2	ENSOANG00000009827	Contig23255
ENSMMUG00000000914	5	ENSOANG00000009391	Contig2752
ENSMMUG00000000915	3	ENSOANG00000011480	10
ENSMMUG00000000916	3	ENSOANG00000011481	10
ENSMMUG00000000918	10	ENSOANG00000008668	Ultra516
ENSMMUG00000000924	11	ENSOANG00000009522	Contig13135
ENSMMUG00000000925	11	ENSOANG00000013041	Contig14907
ENSMMUG00000000931	1	ENSOANG00000019724	Ultra496
ENSMMUG00000000932	2	ENSOANG00000021083	Ultra612
ENSMMUG00000000933	2	ENSOANG00000015150	Contig4877
ENSMMUG00000000934	15	ENSOANG00000002452	Contig2121
ENSMMUG00000000935	15	ENSOANG00000002453	Contig2121
ENSMMUG00000000937	15	ENSOANG00000002455	Contig2121
ENSMMUG00000000938	2	ENSOANG00000010239	X1
ENSMMUG00000000943	8	ENSOANG00000007861	Ultra422
ENSMMUG00000000946	11	ENSOANG00000005943	Ultra124
ENSMMUG00000000947	8	ENSOANG00000002317	7
ENSMMUG00000000949	2	ENSOANG00000004446	7
ENSMMUG00000000951	3	ENSOANG00000000415	Contig11480
ENSMMUG00000000952	1	ENSOANG00000003227	Ultra467
ENSMMUG00000000953	3	ENSOANG00000028320	Ultra489
ENSMMUG00000000955	11	ENSOANG00000030718	Contig25687
ENSMMUG00000000956	11	ENSOANG00000010807	Contig1207
ENSMMUG00000000960	5	ENSOANG00000012065	Contig4505
ENSMMUG00000000962	3	ENSOANG00000009378	Contig2998
ENSMMUG00000000963	8	ENSOANG00000003977	4
ENSMMUG00000000965	8	ENSOANG00000008567	Ultra173
ENSMMUG00000000966	10	ENSOANG00000012717	Contig14862
ENSMMUG00000000970	10	ENSOANG00000022775	Contig20836
ENSMMUG00000000971	10	ENSOANG00000022776	Contig20836
ENSMMUG00000000973	10	ENSOANG00000020250	Contig6248
ENSMMUG00000000978	20	ENSOANG00000002915	Contig1369
ENSMMUG00000000979	20	ENSOANG00000002916	Contig1369
ENSMMUG00000000981	20	ENSOANG00000006061	Contig40677
ENSMMUG00000000982	20	ENSOANG00000008136	4
ENSMMUG00000000985	2	ENSOANG00000005661	Contig19009
ENSMMUG00000000990	2	ENSOANG00000010796	Contig7609
ENSMMUG00000000995	2	ENSOANG00000001175	Contig23566
ENSMMUG00000000996	2	ENSOANG00000000384	Contig6302
ENSMMUG00000000997	4	ENSOANG00000014798	2
ENSMMUG00000001002	6	ENSOANG00000030435	Contig170081
ENSMMUG00000001008	7	ENSOANG00000009104	Contig283
ENSMMUG00000001012	10	ENSOANG00000008418	Ultra56
ENSMMUG00000001021	1	ENSOANG00000001440	Ultra67
ENSMMUG00000001024	1	ENSOANG00000002147	7
ENSMMUG00000001026	16	ENSOANG00000012661	Ultra69
ENSMMUG00000001029	2	ENSOANG00000010082	Ultra51
ENSMMUG00000001031	2	ENSOANG00000010081	Ultra51
ENSMMUG00000001034	1	ENSOANG00000009725	Ultra412
ENSMMUG00000001035	7	ENSOANG00000008909	Contig26030
ENSMMUG00000001037	5	ENSOANG00000009230	Contig25609
ENSMMUG00000001038	17	ENSOANG00000015639	Ultra336
ENSMMUG00000001039	17	ENSOANG00000015638	Ultra336
ENSMMUG00000001040	8	ENSOANG00000015837	Ultra179
ENSMMUG00000001041	17	ENSOANG00000015637	Ultra336
ENSMMUG00000001043	15	ENSOANG00000028413	Contig36806
ENSMMUG00000001044	7	ENSOANG00000031179	Contig36497
ENSMMUG00000001045	2	ENSOANG00000021484	Contig40015
ENSMMUG00000001048	2	ENSOANG00000015501	Contig14173
ENSMMUG00000001049	2	ENSOANG00000013480	Contig22968
ENSMMUG00000001051	11	ENSOANG00000008075	Ultra288
ENSMMUG00000001053	12	ENSOANG00000012965	Ultra170
ENSMMUG00000001058	10	ENSOANG00000008825	Ultra252
ENSMMUG00000001060	1	ENSOANG00000010281	Ultra67
ENSMMUG00000001061	15	ENSOANG00000006791	X1
ENSMMUG00000001063	6	ENSOANG00000001751	X3
ENSMMUG00000001075	2	ENSOANG00000015118	Ultra117
ENSMMUG00000001077	2	ENSOANG00000011995	Contig3061
ENSMMUG00000001078	8	ENSOANG00000012807	Ultra754
ENSMMUG00000001084	7	ENSOANG00000011837	Contig214
ENSMMUG00000001088	X	ENSOANG00000010652	Ultra462
ENSMMUG00000001090	7	ENSOANG00000011838	Contig214
ENSMMUG00000001091	8	ENSOANG00000003253	Ultra236
ENSMMUG00000001092	7	ENSOANG00000010595	Contig409
ENSMMUG00000001095	7	ENSOANG00000010598	Contig409
ENSMMUG00000001096	2	ENSOANG00000010079	Ultra51
ENSMMUG00000001097	7	ENSOANG00000010600	Contig409
ENSMMUG00000001099	7	ENSOANG00000010602	Contig409
ENSMMUG00000001100	8	ENSOANG00000005031	7
ENSMMUG00000001102	12	ENSOANG00000013597	Ultra232
ENSMMUG00000001103	2	ENSOANG00000005305	Contig31513
ENSMMUG00000001105	2	ENSOANG00000012173	Ultra414
ENSMMUG00000001107	2	ENSOANG00000010952	Contig3272
ENSMMUG00000001108	10	ENSOANG00000015082	Contig110
ENSMMUG00000001110	16	ENSOANG00000003298	Ultra151
ENSMMUG00000001111	16	ENSOANG00000005827	Ultra151
ENSMMUG00000001116	16	ENSOANG00000005252	Ultra288
ENSMMUG00000001118	9	ENSOANG00000002737	Ultra272
ENSMMUG00000001119	16	ENSOANG00000014173	Contig104987
ENSMMUG00000001120	2	ENSOANG00000020050	Contig26315
ENSMMUG00000001125	3	ENSOANG00000009763	Ultra41
ENSMMUG00000001126	13	ENSOANG00000029735	Contig15597
ENSMMUG00000001130	6	ENSOANG00000011598	Contig22
ENSMMUG00000001133	3	ENSOANG00000006427	Ultra222
ENSMMUG00000001141	15	ENSOANG00000012860	X5
