Opossum	ChrOpossum	Chicken	ChrChicken
ENSMODG00000000343	2	ENSGALG00000041763	18
ENSMODG00000000344	2	ENSGALG00000011353	8
ENSMODG00000000346	1	ENSGALG00000005181	6
ENSMODG00000000347	7	ENSGALG00000016721	1
ENSMODG00000000348	2	ENSGALG00000002038	26
ENSMODG00000000350	1	ENSGALG00000009919	3
ENSMODG00000000351	4	ENSGALG00000012100	7
ENSMODG00000000354	2	ENSGALG00000008696	8
ENSMODG00000000355	1	ENSGALG00000005169	6
ENSMODG00000000357	4	ENSGALG00000043027	1
ENSMODG00000000359	3	ENSGALG00000013124	2
ENSMODG00000000361	1	ENSGALG00000028809	6
ENSMODG00000000367	2	ENSGALG00000002002	26
ENSMODG00000000370	4	ENSGALG00000017217	1
ENSMODG00000000374	1	ENSGALG00000001332	20
ENSMODG00000000375	7	ENSGALG00000016724	1
ENSMODG00000000376	1	ENSGALG00000009925	3
ENSMODG00000000377	Un	ENSGALG00000024056	6
ENSMODG00000000378	2	ENSGALG00000008709	8
ENSMODG00000000380	4	ENSGALG00000012106	7
ENSMODG00000000382	4	ENSGALG00000012111	7
ENSMODG00000000383	4	ENSGALG00000017218	1
ENSMODG00000000386	2	ENSGALG00000000309	26
ENSMODG00000000387	3	ENSGALG00000013149	2
ENSMODG00000000388	5	ENSGALG00000036621	4
ENSMODG00000000390	2	ENSGALG00000008722	8
ENSMODG00000000391	5	ENSGALG00000009913	4
ENSMODG00000000392	1	ENSGALG00000009926	3
ENSMODG00000000393	4	ENSGALG00000012112	7
ENSMODG00000000395	2	ENSGALG00000000313	26
ENSMODG00000000396	1	ENSGALG00000005134	6
ENSMODG00000000399	3	ENSGALG00000013129	2
ENSMODG00000000400	4	ENSGALG00000012113	7
ENSMODG00000000401	2	ENSGALG00000008733	8
ENSMODG00000000403	2	ENSGALG00000000318	26
ENSMODG00000000406	1	ENSGALG00000001420	20
ENSMODG00000000407	1	ENSGALG00000033129	3
ENSMODG00000000408	4	ENSGALG00000012117	7
ENSMODG00000000409	2	ENSGALG00000008763	8
ENSMODG00000000412	4	ENSGALG00000017219	1
ENSMODG00000000418	1	ENSGALG00000003550	20
ENSMODG00000000421	2	ENSGALG00000008780	8
ENSMODG00000000423	5	ENSGALG00000014386	4
ENSMODG00000000424	2	ENSGALG00000029023	8
ENSMODG00000000427	1	ENSGALG00000005107	6
ENSMODG00000000429	1	ENSGALG00000038919	20
ENSMODG00000000432	5	ENSGALG00000009948	4
ENSMODG00000000433	4	ENSGALG00000012119	7
ENSMODG00000000436	3	ENSGALG00000039034	2
ENSMODG00000000438	4	ENSGALG00000042389	7
ENSMODG00000000439	5	ENSGALG00000028643	4
ENSMODG00000000441	4	ENSGALG00000017197	1
ENSMODG00000000442	1	ENSGALG00000003559	20
ENSMODG00000000443	2	ENSGALG00000001976	26
ENSMODG00000000446	2	ENSGALG00000010692	8
ENSMODG00000000447	8	ENSGALG00000037310	2
ENSMODG00000000448	1	ENSGALG00000003568	20
ENSMODG00000000449	8	ENSGALG00000027234	2
ENSMODG00000000451	1	ENSGALG00000009932	3
ENSMODG00000000453	8	ENSGALG00000040021	2
ENSMODG00000000454	7	ENSGALG00000016728	1
ENSMODG00000000457	8	ENSGALG00000042020	4
ENSMODG00000000458	4	ENSGALG00000028046	7
ENSMODG00000000460	5	ENSGALG00000043283	4
ENSMODG00000000462	2	ENSGALG00000010689	8
ENSMODG00000000463	8	ENSGALG00000026631	2
ENSMODG00000000464	1	ENSGALG00000039576	5
ENSMODG00000000465	5	ENSGALG00000009961	4
ENSMODG00000000469	8	ENSGALG00000026989	2
ENSMODG00000000470	2	ENSGALG00000026516	8
ENSMODG00000000471	5	ENSGALG00000014391	4
ENSMODG00000000472	8	ENSGALG00000028908	2
ENSMODG00000000474	5	ENSGALG00000018557	4
ENSMODG00000000475	1	ENSGALG00000031266	5
ENSMODG00000000476	3	ENSGALG00000013209	2
ENSMODG00000000479	7	ENSGALG00000016734	1
ENSMODG00000000482	2	ENSGALG00000011350	8
ENSMODG00000000483	8	ENSGALG00000025929	2
ENSMODG00000000485	2	ENSGALG00000000397	26
ENSMODG00000000486	4	ENSGALG00000017196	1
ENSMODG00000000487	5	ENSGALG00000009968	4
ENSMODG00000000489	8	ENSGALG00000012422	1
ENSMODG00000000490	1	ENSGALG00000039334	5
ENSMODG00000000491	8	ENSGALG00000022622	2
ENSMODG00000000492	2	ENSGALG00000032893	26
ENSMODG00000000493	2	ENSGALG00000010673	8
ENSMODG00000000494	8	ENSGALG00000027925	2
ENSMODG00000000495	1	ENSGALG00000003658	20
ENSMODG00000000497	4	ENSGALG00000012129	7
ENSMODG00000000499	6	ENSGALG00000012629	Z
ENSMODG00000000500	5	ENSGALG00000009977	4
ENSMODG00000000501	3	ENSGALG00000013135	2
ENSMODG00000000504	2	ENSGALG00000011340	8
ENSMODG00000000505	2	ENSGALG00000028721	26
ENSMODG00000000506	3	ENSGALG00000013137	2
ENSMODG00000000508	5	ENSGALG00000009974	4
ENSMODG00000000509	4	ENSGALG00000017195	1
ENSMODG00000000512	2	ENSGALG00000011331	8
ENSMODG00000000513	2	ENSGALG00000028790	8
ENSMODG00000000514	6	ENSGALG00000012628	Z
ENSMODG00000000515	1	ENSGALG00000009947	3
ENSMODG00000000516	5	ENSGALG00000014395	4
ENSMODG00000000517	2	ENSGALG00000000086	26
ENSMODG00000000520	5	ENSGALG00000009982	4
ENSMODG00000000521	8	ENSGALG00000030081	2
ENSMODG00000000522	5	ENSGALG00000010006	4
ENSMODG00000000524	8	ENSGALG00000039658	1
ENSMODG00000000525	7	ENSGALG00000016735	1
ENSMODG00000000526	5	ENSGALG00000009985	4
ENSMODG00000000527	2	ENSGALG00000000374	26
ENSMODG00000000528	1	ENSGALG00000042105	5
ENSMODG00000000529	2	ENSGALG00000010652	8
ENSMODG00000000531	2	ENSGALG00000031210	8
ENSMODG00000000533	4	ENSGALG00000012147	7
ENSMODG00000000535	1	ENSGALG00000034605	5
ENSMODG00000000536	1	ENSGALG00000005088	6
ENSMODG00000000537	4	ENSGALG00000029416	1
ENSMODG00000000538	8	ENSGALG00000003213	1
ENSMODG00000000539	2	ENSGALG00000028530	8
ENSMODG00000000541	1	ENSGALG00000009954	3
ENSMODG00000000542	2	ENSGALG00000010647	8
ENSMODG00000000543	8	ENSGALG00000012446	1
ENSMODG00000000545	2	ENSGALG00000000616	26
ENSMODG00000000546	8	ENSGALG00000038556	1
ENSMODG00000000547	5	ENSGALG00000010003	4
ENSMODG00000000549	5	ENSGALG00000042851	4
ENSMODG00000000553	8	ENSGALG00000011046	2
ENSMODG00000000554	7	ENSGALG00000016736	1
ENSMODG00000000555	4	ENSGALG00000012156	7
ENSMODG00000000556	3	ENSGALG00000033960	2
ENSMODG00000000558	4	ENSGALG00000017190	1
ENSMODG00000000559	2	ENSGALG00000011305	8
ENSMODG00000000560	5	ENSGALG00000040208	4
ENSMODG00000000561	1	ENSGALG00000009955	3
ENSMODG00000000562	2	ENSGALG00000000606	26
ENSMODG00000000563	1	ENSGALG00000030086	33
ENSMODG00000000564	1	ENSGALG00000005086	6
ENSMODG00000000565	7	ENSGALG00000016737	1
ENSMODG00000000566	6	ENSGALG00000013634	Z
ENSMODG00000000567	4	ENSGALG00000017189	1
ENSMODG00000000568	1	ENSGALG00000036892	5
ENSMODG00000000569	2	ENSGALG00000010643	8
ENSMODG00000000572	8	ENSGALG00000034249	AADN04014913.1
ENSMODG00000000573	1	ENSGALG00000003681	20
ENSMODG00000000574	2	ENSGALG00000000607	26
ENSMODG00000000575	4	ENSGALG00000038154	1
ENSMODG00000000576	2	ENSGALG00000040910	8
ENSMODG00000000577	1	ENSGALG00000014537	5
ENSMODG00000000578	8	ENSGALG00000042365	1
ENSMODG00000000579	1	ENSGALG00000009958	3
ENSMODG00000000580	3	ENSGALG00000000748	28
ENSMODG00000000581	7	ENSGALG00000039811	1
ENSMODG00000000582	5	ENSGALG00000033470	4
ENSMODG00000000583	5	ENSGALG00000010009	4
ENSMODG00000000588	2	ENSGALG00000010633	8
ENSMODG00000000592	8	ENSGALG00000012442	1
ENSMODG00000000596	2	ENSGALG00000008850	8
ENSMODG00000000597	2	ENSGALG00000036093	26
ENSMODG00000000598	3	ENSGALG00000000740	28
ENSMODG00000000599	3	ENSGALG00000035393	2
ENSMODG00000000602	3	ENSGALG00000027611	28
ENSMODG00000000603	8	ENSGALG00000011036	2
ENSMODG00000000604	2	ENSGALG00000011301	8
ENSMODG00000000610	8	ENSGALG00000011022	2
ENSMODG00000000611	4	ENSGALG00000017185	1
ENSMODG00000000612	4	ENSGALG00000012159	7
ENSMODG00000000615	4	ENSGALG00000012166	7
ENSMODG00000000618	2	ENSGALG00000010629	8
ENSMODG00000000619	1	ENSGALG00000009611	5
ENSMODG00000000621	8	ENSGALG00000012454	1
ENSMODG00000000623	4	ENSGALG00000017184	1
ENSMODG00000000624	3	ENSGALG00000013167	2
ENSMODG00000000625	5	ENSGALG00000034621	4
ENSMODG00000000626	1	ENSGALG00000003750	20
ENSMODG00000000628	2	ENSGALG00000001968	26
ENSMODG00000000629	1	ENSGALG00000009619	5
ENSMODG00000000631	3	ENSGALG00000013400	2
ENSMODG00000000635	8	ENSGALG00000012456	1
ENSMODG00000000636	1	ENSGALG00000039155	20
ENSMODG00000000637	3	ENSGALG00000000736	28
ENSMODG00000000638	3	ENSGALG00000013402	2
ENSMODG00000000640	8	ENSGALG00000011021	2
ENSMODG00000000641	5	ENSGALG00000014406	4
ENSMODG00000000646	2	ENSGALG00000000568	26
ENSMODG00000000647	2	ENSGALG00000001956	26
ENSMODG00000000648	1	ENSGALG00000009967	3
ENSMODG00000000649	2	ENSGALG00000011284	8
ENSMODG00000000650	8	ENSGALG00000027067	1
ENSMODG00000000651	3	ENSGALG00000040969	2
ENSMODG00000000652	2	ENSGALG00000000102	26
ENSMODG00000000653	8	ENSGALG00000011020	2
ENSMODG00000000655	6	ENSGALG00000023179	Z
ENSMODG00000000657	4	ENSGALG00000012176	7
ENSMODG00000000658	5	ENSGALG00000010013	4
ENSMODG00000000660	1	ENSGALG00000005070	6
ENSMODG00000000661	3	ENSGALG00000013397	2
ENSMODG00000000663	3	ENSGALG00000034971	2
ENSMODG00000000665	2	ENSGALG00000001939	26
ENSMODG00000000666	2	ENSGALG00000010623	8
ENSMODG00000000667	8	ENSGALG00000012472	1
ENSMODG00000000669	4	ENSGALG00000019060	1
ENSMODG00000000670	5	ENSGALG00000010019	4
ENSMODG00000000672	2	ENSGALG00000028626	26
ENSMODG00000000678	1	ENSGALG00000030691	3
ENSMODG00000000679	1	ENSGALG00000009626	5
ENSMODG00000000680	3	ENSGALG00000039738	2
ENSMODG00000000682	7	ENSGALG00000016739	1
ENSMODG00000000683	1	ENSGALG00000030012	20
ENSMODG00000000684	2	ENSGALG00000026033	26
ENSMODG00000000686	2	ENSGALG00000011275	8
ENSMODG00000000689	2	ENSGALG00000040586	26
ENSMODG00000000690	4	ENSGALG00000012187	7
ENSMODG00000000691	5	ENSGALG00000010022	4
ENSMODG00000000693	8	ENSGALG00000012483	1
ENSMODG00000000696	3	ENSGALG00000001812	28
ENSMODG00000000699	2	ENSGALG00000035295	26
ENSMODG00000000700	7	ENSGALG00000016740	1
ENSMODG00000000701	3	ENSGALG00000042784	2
ENSMODG00000000704	4	ENSGALG00000012190	7
ENSMODG00000000705	1	ENSGALG00000009973	3
ENSMODG00000000707	3	ENSGALG00000031741	2
ENSMODG00000000708	8	ENSGALG00000042419	1
ENSMODG00000000709	3	ENSGALG00000025751	28
ENSMODG00000000710	2	ENSGALG00000011259	8
ENSMODG00000000713	2	ENSGALG00000036789	8
ENSMODG00000000714	4	ENSGALG00000040433	1
ENSMODG00000000715	4	ENSGALG00000012197	7
ENSMODG00000000716	8	ENSGALG00000040840	1
ENSMODG00000000718	3	ENSGALG00000037733	28
ENSMODG00000000719	2	ENSGALG00000021656	26
ENSMODG00000000720	1	ENSGALG00000032417	20
ENSMODG00000000721	2	ENSGALG00000011255	8
ENSMODG00000000723	8	ENSGALG00000011007	2
ENSMODG00000000724	8	ENSGALG00000012488	1
ENSMODG00000000725	8	ENSGALG00000012490	1
ENSMODG00000000727	4	ENSGALG00000012207	7
ENSMODG00000000728	8	ENSGALG00000010997	2
ENSMODG00000000730	2	ENSGALG00000010619	8
ENSMODG00000000731	5	ENSGALG00000041121	4
ENSMODG00000000734	4	ENSGALG00000026297	1
ENSMODG00000000735	1	ENSGALG00000009981	3
ENSMODG00000000736	1	ENSGALG00000005035	6
ENSMODG00000000740	8	ENSGALG00000010988	2
ENSMODG00000000742	2	ENSGALG00000001860	26
ENSMODG00000000744	8	ENSGALG00000025881	1
ENSMODG00000000745	8	ENSGALG00000010983	2
ENSMODG00000000746	1	ENSGALG00000005019	6
ENSMODG00000000747	1	ENSGALG00000035800	3
ENSMODG00000000748	3	ENSGALG00000040957	2
ENSMODG00000000750	3	ENSGALG00000033884	28
ENSMODG00000000753	1	ENSGALG00000032259	3
ENSMODG00000000754	2	ENSGALG00000011238	8
ENSMODG00000000755	2	ENSGALG00000038948	26
ENSMODG00000000756	3	ENSGALG00000040823	2
ENSMODG00000000757	5	ENSGALG00000014421	4
ENSMODG00000000761	1	ENSGALG00000023303	3
ENSMODG00000000762	1	ENSGALG00000005017	6
ENSMODG00000000764	3	ENSGALG00000037285	2
ENSMODG00000000765	3	ENSGALG00000034413	28
ENSMODG00000000769	8	ENSGALG00000038141	1
ENSMODG00000000771	2	ENSGALG00000026591	8
ENSMODG00000000772	5	ENSGALG00000010031	4
ENSMODG00000000777	8	ENSGALG00000010980	2
ENSMODG00000000778	3	ENSGALG00000025907	28
ENSMODG00000000781	5	ENSGALG00000014425	4
ENSMODG00000000783	8	ENSGALG00000012522	1
ENSMODG00000000785	4	ENSGALG00000028457	7
ENSMODG00000000787	8	ENSGALG00000010977	2
ENSMODG00000000788	2	ENSGALG00000025977	8
ENSMODG00000000790	8	ENSGALG00000042990	1
ENSMODG00000000792	8	ENSGALG00000010976	2
ENSMODG00000000794	4	ENSGALG00000017183	1
ENSMODG00000000799	8	ENSGALG00000031977	1
ENSMODG00000000800	3	ENSGALG00000031260	2
ENSMODG00000000802	2	ENSGALG00000011229	8
ENSMODG00000000803	2	ENSGALG00000001845	26
ENSMODG00000000804	5	ENSGALG00000041854	4
ENSMODG00000000807	8	ENSGALG00000010973	2
ENSMODG00000000809	3	ENSGALG00000001267	28
ENSMODG00000000813	5	ENSGALG00000007138	4
ENSMODG00000000817	3	ENSGALG00000001252	28
ENSMODG00000000818	3	ENSGALG00000033834	2
ENSMODG00000000821	8	ENSGALG00000012529	1
ENSMODG00000000822	1	ENSGALG00000009990	3
ENSMODG00000000824	4	ENSGALG00000017181	1
ENSMODG00000000827	3	ENSGALG00000001245	28
ENSMODG00000000830	5	ENSGALG00000010035	4
ENSMODG00000000832	3	ENSGALG00000001235	28
ENSMODG00000000833	8	ENSGALG00000012530	1
ENSMODG00000000835	4	ENSGALG00000012214	7
ENSMODG00000000839	2	ENSGALG00000010565	8
ENSMODG00000000840	7	ENSGALG00000016744	1
ENSMODG00000000841	3	ENSGALG00000041520	28
ENSMODG00000000846	6	ENSGALG00000005064	14
ENSMODG00000000848	4	ENSGALG00000012223	7
ENSMODG00000000853	1	ENSGALG00000005007	6
ENSMODG00000000855	2	ENSGALG00000000518	26
ENSMODG00000000859	2	ENSGALG00000011222	8
ENSMODG00000000861	5	ENSGALG00000006334	4
ENSMODG00000000863	7	ENSGALG00000016926	1
ENSMODG00000000866	6	ENSGALG00000004460	14
ENSMODG00000000867	5	ENSGALG00000027453	4
ENSMODG00000000868	5	ENSGALG00000032386	4
ENSMODG00000000871	3	ENSGALG00000038022	2
ENSMODG00000000873	1	ENSGALG00000005004	6
ENSMODG00000000874	2	ENSGALG00000001816	26
ENSMODG00000000876	2	ENSGALG00000000094	26
ENSMODG00000000879	5	ENSGALG00000030070	4
ENSMODG00000000883	2	ENSGALG00000011121	8
ENSMODG00000000885	3	ENSGALG00000039831	2
ENSMODG00000000891	6	ENSGALG00000040528	14
ENSMODG00000000896	1	ENSGALG00000005002	6
ENSMODG00000000898	7	ENSGALG00000029392	1
ENSMODG00000000905	3	ENSGALG00000019527	2
ENSMODG00000000906	1	ENSGALG00000005000	6
ENSMODG00000000907	3	ENSGALG00000034087	28
ENSMODG00000000908	2	ENSGALG00000001733	26
ENSMODG00000000910	5	ENSGALG00000014485	4
ENSMODG00000000911	1	ENSGALG00000041935	6
ENSMODG00000000912	2	ENSGALG00000008890	8
ENSMODG00000000915	2	ENSGALG00000000223	26
ENSMODG00000000916	5	ENSGALG00000010061	4
ENSMODG00000000919	1	ENSGALG00000032308	6
ENSMODG00000000921	3	ENSGALG00000013180	2
ENSMODG00000000922	4	ENSGALG00000044263	1
ENSMODG00000000923	4	ENSGALG00000012246	7
ENSMODG00000000926	6	ENSGALG00000004504	14
ENSMODG00000000928	1	ENSGALG00000010000	3
ENSMODG00000000929	2	ENSGALG00000001717	26
ENSMODG00000000930	5	ENSGALG00000014486	4
ENSMODG00000000931	3	ENSGALG00000001121	28
ENSMODG00000000933	6	ENSGALG00000004530	14
ENSMODG00000000934	2	ENSGALG00000010555	8
ENSMODG00000000935	7	ENSGALG00000043118	1
ENSMODG00000000937	6	ENSGALG00000005083	14
ENSMODG00000000942	4	ENSGALG00000017179	1
ENSMODG00000000944	4	ENSGALG00000012259	7
ENSMODG00000000947	6	ENSGALG00000005087	14
ENSMODG00000000950	3	ENSGALG00000001126	28
ENSMODG00000000951	2	ENSGALG00000045792	8
ENSMODG00000000953	1	ENSGALG00000010005	3
ENSMODG00000000954	1	ENSGALG00000004980	6
ENSMODG00000000957	4	ENSGALG00000017227	1
ENSMODG00000000961	6	ENSGALG00000005094	14
ENSMODG00000000962	2	ENSGALG00000007084	1
ENSMODG00000000964	7	ENSGALG00000016925	1
ENSMODG00000000965	1	ENSGALG00000010010	3
ENSMODG00000000966	3	ENSGALG00000013183	2
ENSMODG00000000968	1	ENSGALG00000020057	3
ENSMODG00000000969	5	ENSGALG00000010077	4
ENSMODG00000000972	4	ENSGALG00000012260	7
ENSMODG00000000973	1	ENSGALG00000010014	3
ENSMODG00000000974	7	ENSGALG00000034944	1
ENSMODG00000000975	3	ENSGALG00000031519	2
ENSMODG00000000976	Un	ENSGALG00000037138	5
ENSMODG00000000977	6	ENSGALG00000035919	14
ENSMODG00000000979	6	ENSGALG00000010497	14
ENSMODG00000000980	2	ENSGALG00000032278	8
ENSMODG00000000981	2	ENSGALG00000001569	26
ENSMODG00000000983	8	ENSGALG00000014749	1
ENSMODG00000000984	6	ENSGALG00000005096	14
ENSMODG00000000986	3	ENSGALG00000014691	Z
ENSMODG00000000987	5	ENSGALG00000014496	4
ENSMODG00000000988	3	ENSGALG00000027068	28
ENSMODG00000000989	4	ENSGALG00000012348	7
ENSMODG00000000990	7	ENSGALG00000016921	1
ENSMODG00000000991	3	ENSGALG00000013187	2
ENSMODG00000000994	6	ENSGALG00000040770	14
ENSMODG00000000995	2	ENSGALG00000002667	8
ENSMODG00000000996	2	ENSGALG00000000217	26
ENSMODG00000000997	5	ENSGALG00000010081	4
ENSMODG00000000999	6	ENSGALG00000004611	14
ENSMODG00000001001	3	ENSGALG00000008229	Z
ENSMODG00000001002	1	ENSGALG00000043018	6
ENSMODG00000001004	7	ENSGALG00000039826	1
ENSMODG00000001007	5	ENSGALG00000014508	4
ENSMODG00000001008	2	ENSGALG00000001558	26
ENSMODG00000001009	2	ENSGALG00000000172	26
