Opossum	ChrOpossum	Platypus	ChrPlatypus
ENSMODG00000000507	8	ENSOANG00000009163	Ultra231
ENSMODG00000000508	5	ENSOANG00000006537	Ultra44
ENSMODG00000000509	4	ENSOANG00000010494	Ultra192
ENSMODG00000000510	4	ENSOANG00000006151	Ultra274
ENSMODG00000000512	2	ENSOANG00000032293	Contig22472
ENSMODG00000000515	1	ENSOANG00000001431	Contig8840
ENSMODG00000000516	5	ENSOANG00000006682	18
ENSMODG00000000517	2	ENSOANG00000005796	Ultra171
ENSMODG00000000520	5	ENSOANG00000006534	Ultra44
ENSMODG00000000521	8	ENSOANG00000009162	Ultra231
ENSMODG00000000522	5	ENSOANG00000006896	Ultra44
ENSMODG00000000524	8	ENSOANG00000012915	Contig11763
ENSMODG00000000527	2	ENSOANG00000021673	Contig9854
ENSMODG00000000529	2	ENSOANG00000029225	Contig11072
ENSMODG00000000531	2	ENSOANG00000015530	Ultra168
ENSMODG00000000535	1	ENSOANG00000010718	Contig2787
ENSMODG00000000536	1	ENSOANG00000013313	Contig3062
ENSMODG00000000537	4	ENSOANG00000010492	Ultra192
ENSMODG00000000538	8	ENSOANG00000009773	Ultra136
ENSMODG00000000539	2	ENSOANG00000028758	Contig6422
ENSMODG00000000541	1	ENSOANG00000005986	Contig18171
ENSMODG00000000543	8	ENSOANG00000013621	Contig1209
ENSMODG00000000545	2	ENSOANG00000005784	Contig9854
ENSMODG00000000546	8	ENSOANG00000009772	Ultra136
ENSMODG00000000547	5	ENSOANG00000029775	Ultra390
ENSMODG00000000549	5	ENSOANG00000006680	18
ENSMODG00000000550	4	ENSOANG00000010491	Ultra192
ENSMODG00000000553	8	ENSOANG00000009161	Ultra231
ENSMODG00000000554	7	ENSOANG00000004122	Ultra151
ENSMODG00000000555	4	ENSOANG00000030159	Contig12843
ENSMODG00000000556	3	ENSOANG00000014079	4
ENSMODG00000000557	5	ENSOANG00000006897	Ultra44
ENSMODG00000000558	4	ENSOANG00000010490	Ultra192
ENSMODG00000000559	2	ENSOANG00000015528	Ultra168
ENSMODG00000000560	5	ENSOANG00000006679	18
ENSMODG00000000561	1	ENSOANG00000002850	Contig5043
ENSMODG00000000562	2	ENSOANG00000011534	Contig15110
ENSMODG00000000563	1	ENSOANG00000011230	Contig26519
ENSMODG00000000564	1	ENSOANG00000003924	Contig10142
ENSMODG00000000565	7	ENSOANG00000015706	Contig26159
ENSMODG00000000566	6	ENSOANG00000003510	Contig22758
ENSMODG00000000567	4	ENSOANG00000010489	Ultra192
ENSMODG00000000568	1	ENSOANG00000010717	Contig2787
ENSMODG00000000569	2	ENSOANG00000006342	Contig5517
ENSMODG00000000572	8	ENSOANG00000009160	Ultra231
ENSMODG00000000573	1	ENSOANG00000014354	Ultra337
ENSMODG00000000574	2	ENSOANG00000005065	Contig21308
ENSMODG00000000575	4	ENSOANG00000010488	Ultra192
ENSMODG00000000576	2	ENSOANG00000008291	Ultra574
ENSMODG00000000578	8	ENSOANG00000008730	Ultra136
ENSMODG00000000579	1	ENSOANG00000004114	Contig9013
ENSMODG00000000580	3	ENSOANG00000006294	Ultra355
ENSMODG00000000581	7	ENSOANG00000013091	Contig11707
ENSMODG00000000582	5	ENSOANG00000006677	18
ENSMODG00000000583	5	ENSOANG00000005261	Ultra539
ENSMODG00000000588	2	ENSOANG00000003773	Contig25461
ENSMODG00000000592	8	ENSOANG00000015105	Contig6973
ENSMODG00000000596	2	ENSOANG00000004870	Contig5476
ENSMODG00000000597	2	ENSOANG00000012567	Ultra269
ENSMODG00000000598	3	ENSOANG00000006293	Ultra355
ENSMODG00000000599	3	ENSOANG00000010172	Ultra474
ENSMODG00000000601	3	ENSOANG00000010160	Ultra474
ENSMODG00000000602	3	ENSOANG00000030650	Ultra355
ENSMODG00000000603	8	ENSOANG00000009159	Ultra231
ENSMODG00000000604	2	ENSOANG00000015526	Ultra168
ENSMODG00000000607	3	ENSOANG00000004953	Ultra497
ENSMODG00000000610	8	ENSOANG00000031573	Ultra231
ENSMODG00000000611	4	ENSOANG00000030101	Ultra192
ENSMODG00000000614	2	ENSOANG00000012568	Ultra269
ENSMODG00000000615	4	ENSOANG00000029952	Contig39958
ENSMODG00000000618	2	ENSOANG00000012864	Contig2405
ENSMODG00000000619	1	ENSOANG00000008313	Contig3315
ENSMODG00000000621	8	ENSOANG00000013619	Contig1209
ENSMODG00000000623	4	ENSOANG00000010485	Ultra192
ENSMODG00000000624	3	ENSOANG00000010157	Ultra474
ENSMODG00000000625	5	ENSOANG00000006672	18
ENSMODG00000000627	3	ENSOANG00000006709	Contig6425
ENSMODG00000000629	1	ENSOANG00000005878	Contig3562
ENSMODG00000000631	3	ENSOANG00000010156	Ultra474
ENSMODG00000000633	1	ENSOANG00000013816	Contig15429
ENSMODG00000000635	8	ENSOANG00000013618	Contig1209
ENSMODG00000000636	1	ENSOANG00000014351	Ultra337
ENSMODG00000000637	3	ENSOANG00000010674	Contig8323
ENSMODG00000000638	3	ENSOANG00000010182	Ultra474
ENSMODG00000000640	8	ENSOANG00000009157	Ultra231
ENSMODG00000000641	5	ENSOANG00000006671	18
ENSMODG00000000649	2	ENSOANG00000015522	Ultra168
ENSMODG00000000650	8	ENSOANG00000013616	Contig1209
ENSMODG00000000651	3	ENSOANG00000029465	Contig8734
ENSMODG00000000652	2	ENSOANG00000010964	Contig16444
ENSMODG00000000653	8	ENSOANG00000009156	Ultra231
ENSMODG00000000658	5	ENSOANG00000005262	Ultra539
ENSMODG00000000661	3	ENSOANG00000010181	Ultra474
ENSMODG00000000662	2	ENSOANG00000002514	Ultra269
ENSMODG00000000663	3	ENSOANG00000009761	4
ENSMODG00000000665	2	ENSOANG00000031372	Contig6095
ENSMODG00000000666	2	ENSOANG00000009540	Contig19694
ENSMODG00000000667	8	ENSOANG00000013615	Contig1209
ENSMODG00000000670	5	ENSOANG00000005263	Ultra539
ENSMODG00000000672	2	ENSOANG00000003000	7
ENSMODG00000000675	3	ENSOANG00000010675	Contig8323
ENSMODG00000000676	1	ENSOANG00000014349	Ultra337
ENSMODG00000000678	1	ENSOANG00000006156	Contig18793
ENSMODG00000000679	1	ENSOANG00000002792	Contig9847
ENSMODG00000000680	3	ENSOANG00000014871	Contig447
ENSMODG00000000682	7	ENSOANG00000014542	Ultra292
ENSMODG00000000683	1	ENSOANG00000014348	Ultra337
ENSMODG00000000684	2	ENSOANG00000002513	Ultra269
ENSMODG00000000686	2	ENSOANG00000006658	18
ENSMODG00000000690	4	ENSOANG00000007291	Contig3623
ENSMODG00000000691	5	ENSOANG00000005264	Ultra539
ENSMODG00000000692	4	ENSOANG00000010484	Ultra192
ENSMODG00000000693	8	ENSOANG00000013614	Contig1209
ENSMODG00000000694	8	ENSOANG00000008204	Contig25029
ENSMODG00000000696	3	ENSOANG00000006292	Ultra355
ENSMODG00000000697	8	ENSOANG00000005938	Contig10197
ENSMODG00000000699	2	ENSOANG00000002999	7
ENSMODG00000000700	7	ENSOANG00000031000	Contig26430
ENSMODG00000000701	3	ENSOANG00000011258	Contig1382
ENSMODG00000000704	4	ENSOANG00000007292	Contig3623
ENSMODG00000000705	1	ENSOANG00000012300	Contig14625
ENSMODG00000000707	3	ENSOANG00000007126	4
ENSMODG00000000709	3	ENSOANG00000014491	Contig53047
ENSMODG00000000710	2	ENSOANG00000006656	18
ENSMODG00000000712	4	ENSOANG00000010480	Ultra192
ENSMODG00000000713	2	ENSOANG00000004818	Ultra482
ENSMODG00000000714	4	ENSOANG00000011712	Ultra29
ENSMODG00000000715	4	ENSOANG00000012396	Contig6781
ENSMODG00000000716	8	ENSOANG00000004631	Contig22731
ENSMODG00000000718	3	ENSOANG00000003319	Contig15730
ENSMODG00000000719	2	ENSOANG00000002998	7
ENSMODG00000000720	1	ENSOANG00000031624	Contig44309
ENSMODG00000000723	8	ENSOANG00000008434	Ultra231
ENSMODG00000000724	8	ENSOANG00000004630	Contig22731
ENSMODG00000000725	8	ENSOANG00000001671	Contig14539
ENSMODG00000000727	4	ENSOANG00000002760	Contig2115
ENSMODG00000000728	8	ENSOANG00000008431	Ultra231
ENSMODG00000000736	1	ENSOANG00000005908	3
ENSMODG00000000740	8	ENSOANG00000008427	Ultra231
ENSMODG00000000742	2	ENSOANG00000002641	7
ENSMODG00000000744	8	ENSOANG00000010136	Contig24456
ENSMODG00000000745	8	ENSOANG00000013383	Ultra65
ENSMODG00000000746	1	ENSOANG00000031368	3
ENSMODG00000000747	1	ENSOANG00000021305	Contig21090
ENSMODG00000000748	3	ENSOANG00000007125	4
ENSMODG00000000750	3	ENSOANG00000014032	Contig14104
ENSMODG00000000754	2	ENSOANG00000007764	18
ENSMODG00000000755	2	ENSOANG00000002512	Ultra269
ENSMODG00000000756	3	ENSOANG00000020228	4
ENSMODG00000000757	5	ENSOANG00000006667	18
ENSMODG00000000762	1	ENSOANG00000005909	3
ENSMODG00000000764	3	ENSOANG00000007121	4
ENSMODG00000000765	3	ENSOANG00000031620	Contig13274
ENSMODG00000000767	4	ENSOANG00000010478	Ultra192
ENSMODG00000000769	8	ENSOANG00000029324	Contig6259
ENSMODG00000000772	5	ENSOANG00000005267	Ultra539
ENSMODG00000000778	3	ENSOANG00000006290	Ultra355
ENSMODG00000000781	5	ENSOANG00000006664	18
ENSMODG00000000783	8	ENSOANG00000015016	Contig2745
ENSMODG00000000785	4	ENSOANG00000002761	Contig2115
ENSMODG00000000788	2	ENSOANG00000007766	18
ENSMODG00000000790	8	ENSOANG00000015017	Contig2745
ENSMODG00000000792	8	ENSOANG00000014201	Ultra65
ENSMODG00000000794	4	ENSOANG00000010477	Ultra192
ENSMODG00000000799	8	ENSOANG00000012849	Ultra169
ENSMODG00000000800	3	ENSOANG00000006284	Contig3845
ENSMODG00000000802	2	ENSOANG00000007767	18
ENSMODG00000000803	2	ENSOANG00000002642	7
ENSMODG00000000804	5	ENSOANG00000006663	18
ENSMODG00000000805	7	ENSOANG00000005813	Ultra292
ENSMODG00000000807	8	ENSOANG00000014202	Ultra65
ENSMODG00000000809	3	ENSOANG00000009511	Contig18313
ENSMODG00000000812	7	ENSOANG00000030619	Ultra292
ENSMODG00000000813	5	ENSOANG00000006659	18
ENSMODG00000000817	3	ENSOANG00000013246	Contig24060
ENSMODG00000000821	8	ENSOANG00000007483	Ultra169
ENSMODG00000000824	4	ENSOANG00000010476	Ultra192
ENSMODG00000000827	3	ENSOANG00000008787	Contig12488
ENSMODG00000000828	3	ENSOANG00000007712	Ultra43
ENSMODG00000000830	5	ENSOANG00000005268	Ultra539
ENSMODG00000000832	3	ENSOANG00000001756	Contig18968
ENSMODG00000000833	8	ENSOANG00000007486	Ultra169
ENSMODG00000000835	4	ENSOANG00000007985	Ultra387
ENSMODG00000000839	2	ENSOANG00000007067	Contig5094
ENSMODG00000000840	7	ENSOANG00000009524	Ultra292
ENSMODG00000000841	3	ENSOANG00000008914	Contig17653
ENSMODG00000000846	6	ENSOANG00000009892	Contig12308
ENSMODG00000000848	4	ENSOANG00000007986	Ultra387
ENSMODG00000000851	7	ENSOANG00000009313	Contig4682
ENSMODG00000000858	3	ENSOANG00000014374	Contig22382
ENSMODG00000000859	2	ENSOANG00000007768	18
ENSMODG00000000861	5	ENSOANG00000006661	18
ENSMODG00000000866	6	ENSOANG00000003307	2
ENSMODG00000000867	5	ENSOANG00000006660	18
ENSMODG00000000868	5	ENSOANG00000005269	Ultra539
ENSMODG00000000871	3	ENSOANG00000007120	4
ENSMODG00000000873	1	ENSOANG00000005910	3
ENSMODG00000000874	2	ENSOANG00000002645	7
ENSMODG00000000876	2	ENSOANG00000010262	Contig6756
ENSMODG00000000879	5	ENSOANG00000013830	4
ENSMODG00000000881	3	ENSOANG00000006431	Contig13446
ENSMODG00000000883	2	ENSOANG00000013319	Contig12365
ENSMODG00000000885	3	ENSOANG00000014070	4
ENSMODG00000000894	2	ENSOANG00000002686	Contig39157
ENSMODG00000000895	3	ENSOANG00000006439	Contig13446
ENSMODG00000000896	1	ENSOANG00000005911	3
ENSMODG00000000898	7	ENSOANG00000009525	Ultra292
ENSMODG00000000901	2	ENSOANG00000009432	Contig12478
ENSMODG00000000905	3	ENSOANG00000014448	Ultra43
ENSMODG00000000906	1	ENSOANG00000005912	3
ENSMODG00000000907	3	ENSOANG00000031404	Contig143635
ENSMODG00000000908	2	ENSOANG00000002648	7
ENSMODG00000000910	5	ENSOANG00000004866	4
ENSMODG00000000912	2	ENSOANG00000014561	Ultra261
ENSMODG00000000915	2	ENSOANG00000002239	Contig9210
ENSMODG00000000919	1	ENSOANG00000029139	Ultra511
ENSMODG00000000921	3	ENSOANG00000014449	Ultra43
ENSMODG00000000922	4	ENSOANG00000011708	Ultra29
ENSMODG00000000923	4	ENSOANG00000007987	Ultra387
ENSMODG00000000925	4	ENSOANG00000010474	Ultra192
ENSMODG00000000929	2	ENSOANG00000002611	Ultra269
ENSMODG00000000931	3	ENSOANG00000012873	Contig10817
ENSMODG00000000935	7	ENSOANG00000009526	Ultra292
ENSMODG00000000942	4	ENSOANG00000010473	Ultra192
ENSMODG00000000944	4	ENSOANG00000007554	Contig5447
ENSMODG00000000945	2	ENSOANG00000000205	Contig819
ENSMODG00000000946	2	ENSOANG00000014893	Contig12042
ENSMODG00000000947	6	ENSOANG00000000310	Contig901
ENSMODG00000000950	3	ENSOANG00000030964	Contig23775
ENSMODG00000000951	2	ENSOANG00000007145	Contig3265
ENSMODG00000000953	1	ENSOANG00000015360	Contig12048
ENSMODG00000000954	1	ENSOANG00000005169	Ultra511
ENSMODG00000000957	4	ENSOANG00000011707	Ultra29
ENSMODG00000000961	6	ENSOANG00000000311	Contig901
ENSMODG00000000963	2	ENSOANG00000006855	18
ENSMODG00000000964	7	ENSOANG00000002567	2
ENSMODG00000000965	1	ENSOANG00000020399	Contig36379
ENSMODG00000000966	3	ENSOANG00000014452	Ultra43
ENSMODG00000000968	1	ENSOANG00000004856	Ultra596
ENSMODG00000000969	5	ENSOANG00000000209	Contig819
ENSMODG00000000972	4	ENSOANG00000007555	Contig5447
ENSMODG00000000973	1	ENSOANG00000002821	Contig47287
ENSMODG00000000975	3	ENSOANG00000014074	4
ENSMODG00000000976	Un	ENSOANG00000022660	Contig30847
ENSMODG00000000977	6	ENSOANG00000015814	Contig1161
