Human	ChrHuman	Mouse	ChrMouse
ENSG00000006451	7	ENSMUSG00000008859	13
ENSG00000006453	7	ENSMUSG00000038859	5
ENSG00000006459	7	ENSMUSG00000042599	6
ENSG00000006468	7	ENSMUSG00000004151	12
ENSG00000006530	7	ENSMUSG00000029916	6
ENSG00000006534	11	ENSMUSG00000024885	19
ENSG00000006555	1	ENSMUSG00000034919	4
ENSG00000006576	7	ENSMUSG00000039987	5
ENSG00000006606	7	ENSMUSG00000070464	5
ENSG00000006607	2	ENSMUSG00000034066	1
ENSG00000006611	11	ENSMUSG00000030838	7
ENSG00000006634	7	ENSMUSG00000002297	5
ENSG00000006638	19	ENSMUSG00000034881	10
ENSG00000006652	7	ENSMUSG00000001627	12
ENSG00000006695	17	ENSMUSG00000042148	11
ENSG00000006704	7	ENSMUSG00000023079	5
ENSG00000006712	19	ENSMUSG00000003437	7
ENSG00000006715	7	ENSMUSG00000041236	13
ENSG00000006740	17	ENSMUSG00000033389	11
ENSG00000006744	17	ENSMUSG00000020549	11
ENSG00000006747	7	ENSMUSG00000002565	12
ENSG00000006788	17	ENSMUSG00000060180	11
ENSG00000006831	12	ENSMUSG00000030168	6
ENSG00000006837	5	ENSMUSG00000020389	11
ENSG00000007001	2	ENSMUSG00000026839	2
ENSG00000007038	16	ENSMUSG00000024116	17
ENSG00000007047	19	ENSMUSG00000030397	7
ENSG00000007062	4	ENSMUSG00000029086	5
ENSG00000007080	19	ENSMUSG00000007721	8
ENSG00000007168	17	ENSMUSG00000020745	11
ENSG00000007171	17	ENSMUSG00000020826	11
ENSG00000007202	17	ENSMUSG00000010277	11
ENSG00000007216	17	ENSMUSG00000001095	11
ENSG00000007237	17	ENSMUSG00000033066	11
ENSG00000007255	19	ENSMUSG00000002043	7
ENSG00000007264	19	ENSMUSG00000004933	10
ENSG00000007312	17	ENSMUSG00000040592	11
ENSG00000007314	17	ENSMUSG00000001027	11
ENSG00000007341	1	ENSMUSG00000045576	3
ENSG00000007350	X	ENSMUSG00000031397	X
ENSG00000007372	11	ENSMUSG00000027168	2
ENSG00000007376	16	ENSMUSG00000041199	17
ENSG00000007384	16	ENSMUSG00000020282	11
ENSG00000007392	16	ENSMUSG00000024188	17
ENSG00000007402	3	ENSMUSG00000010066	9
ENSG00000007516	16	ENSMUSG00000047507	17
ENSG00000007520	16	ENSMUSG00000015126	17
ENSG00000007541	16	ENSMUSG00000025728	17
ENSG00000007545	16	ENSMUSG00000038002	17
ENSG00000007866	6	ENSMUSG00000002249	17
ENSG00000007908	1	ENSMUSG00000026582	1
ENSG00000007923	1	ENSMUSG00000039768	4
ENSG00000007933	1	ENSMUSG00000026691	1
ENSG00000007944	6	ENSMUSG00000038175	13
ENSG00000007952	X	ENSMUSG00000031257	X
ENSG00000007968	1	ENSMUSG00000018983	4
ENSG00000008018	6	ENSMUSG00000014769	17
ENSG00000008056	X	ENSMUSG00000037217	X
ENSG00000008083	6	ENSMUSG00000038518	13
ENSG00000008086	X	ENSMUSG00000031292	X
ENSG00000008118	1	ENSMUSG00000016179	1
ENSG00000008130	1	ENSMUSG00000029063	4
ENSG00000008196	6	ENSMUSG00000025927	1
ENSG00000008197	6	ENSMUSG00000042596	1
ENSG00000008226	3	ENSMUSG00000038060	9
ENSG00000008256	7	ENSMUSG00000018001	5
ENSG00000008277	7	ENSMUSG00000040537	5
ENSG00000008282	7	ENSMUSG00000020570	12
ENSG00000008283	17	ENSMUSG00000019590	11
ENSG00000008294	17	ENSMUSG00000020859	11
ENSG00000008300	3	ENSMUSG00000023473	9
ENSG00000008311	7	ENSMUSG00000029695	6
ENSG00000008323	12	ENSMUSG00000038167	6
ENSG00000008324	3	ENSMUSG00000032526	9
ENSG00000008382	19	ENSMUSG00000003199	17
ENSG00000008394	12	ENSMUSG00000008540	6
ENSG00000008405	12	ENSMUSG00000020038	10
ENSG00000008438	19	ENSMUSG00000030413	7
ENSG00000008441	19	ENSMUSG00000001911	8
ENSG00000008513	8	ENSMUSG00000013846	15
ENSG00000008516	16	ENSMUSG00000023903	17
ENSG00000008710	16	ENSMUSG00000032855	17
ENSG00000008735	22	ENSMUSG00000022619	15
ENSG00000008838	17	ENSMUSG00000017210	11
ENSG00000008853	8	ENSMUSG00000022075	14
ENSG00000008869	2	ENSMUSG00000039414	17
ENSG00000008952	3	ENSMUSG00000027706	3
ENSG00000008988	8	ENSMUSG00000028234	4
ENSG00000009307	1	ENSMUSG00000068823	3
ENSG00000009335	7	ENSMUSG00000039000	5
ENSG00000009413	6	ENSMUSG00000019841	10
ENSG00000009694	X	ENSMUSG00000016150	X
ENSG00000009709	1	ENSMUSG00000028736	4
ENSG00000009724	1	ENSMUSG00000028979	4
ENSG00000009765	6	ENSMUSG00000019762	10
ENSG00000009780	1	ENSMUSG00000028878	4
ENSG00000009790	1	ENSMUSG00000037318	1
ENSG00000009830	14	ENSMUSG00000034126	12
ENSG00000009844	6	ENSMUSG00000019868	10
ENSG00000009950	7	ENSMUSG00000005373	5
ENSG00000009954	7	ENSMUSG00000002748	5
ENSG00000010017	6	ENSMUSG00000038546	13
ENSG00000010072	1	ENSMUSG00000031986	8
ENSG00000010165	1	ENSMUSG00000026694	1
ENSG00000010219	12	ENSMUSG00000030345	6
ENSG00000010244	17	ENSMUSG00000017421	11
ENSG00000010256	3	ENSMUSG00000025651	9
ENSG00000010270	7	ENSMUSG00000003062	13
ENSG00000010278	12	ENSMUSG00000030342	6
ENSG00000010282	3	ENSMUSG00000032523	9
ENSG00000010292	12	ENSMUSG00000038252	6
ENSG00000010295	12	ENSMUSG00000038271	6
ENSG00000010310	19	ENSMUSG00000030406	7
ENSG00000010318	3	ENSMUSG00000021902	14
ENSG00000010319	3	ENSMUSG00000021904	14
ENSG00000010322	3	ENSMUSG00000021910	14
ENSG00000010327	3	ENSMUSG00000042286	14
ENSG00000010361	19	ENSMUSG00000011658	7
ENSG00000010379	12	ENSMUSG00000030108	6
ENSG00000010610	12	ENSMUSG00000023274	6
ENSG00000010626	12	ENSMUSG00000030125	6
ENSG00000010671	X	ENSMUSG00000031264	X
ENSG00000010704	6	ENSMUSG00000006611	13
ENSG00000010803	1	ENSMUSG00000000085	4
ENSG00000010810	6	ENSMUSG00000019843	10
ENSG00000010818	6	ENSMUSG00000015501	10
ENSG00000010932	1	ENSMUSG00000040181	1
ENSG00000011007	1	ENSMUSG00000028668	4
ENSG00000011009	1	ENSMUSG00000028670	4
ENSG00000011021	1	ENSMUSG00000029016	4
ENSG00000011028	17	ENSMUSG00000020695	11
ENSG00000011083	5	ENSMUSG00000052026	18
ENSG00000011105	12	ENSMUSG00000030352	6
ENSG00000011114	14	ENSMUSG00000041702	12
ENSG00000011132	19	ENSMUSG00000004931	10
ENSG00000011143	17	ENSMUSG00000034121	11
ENSG00000011198	3	ENSMUSG00000032540	9
ENSG00000011243	19	ENSMUSG00000002625	17
ENSG00000011258	17	ENSMUSG00000059474	11
ENSG00000011260	17	ENSMUSG00000054079	11
ENSG00000011275	7	ENSMUSG00000045078	5
ENSG00000011295	17	ENSMUSG00000042298	11
ENSG00000011304	19	ENSMUSG00000006498	10
ENSG00000011332	19	ENSMUSG00000030584	7
ENSG00000011347	11	ENSMUSG00000024743	19
ENSG00000011376	3	ENSMUSG00000035202	9
ENSG00000011405	11	ENSMUSG00000030660	7
ENSG00000011422	19	ENSMUSG00000046223	7
ENSG00000011426	7	ENSMUSG00000036777	9
ENSG00000011451	19	ENSMUSG00000024050	17
ENSG00000011454	9	ENSMUSG00000035437	2
ENSG00000011465	12	ENSMUSG00000019929	10
ENSG00000011478	19	ENSMUSG00000030407	7
ENSG00000011485	19	ENSMUSG00000003099	7
ENSG00000011523	2	ENSMUSG00000044066	11
ENSG00000011566	2	ENSMUSG00000024242	17
ENSG00000011590	19	ENSMUSG00000006310	7
ENSG00000011600	19	ENSMUSG00000030579	7
ENSG00000011638	16	ENSMUSG00000030917	7
ENSG00000011677	X	ENSMUSG00000031343	X
ENSG00000012048	17	ENSMUSG00000017146	11
ENSG00000012061	19	ENSMUSG00000003549	7
ENSG00000012124	19	ENSMUSG00000030577	7
ENSG00000012171	3	ENSMUSG00000057969	9
ENSG00000012174	X	ENSMUSG00000046873	X
ENSG00000012211	X	ENSMUSG00000031145	X
ENSG00000012223	3	ENSMUSG00000032496	9
ENSG00000012232	8	ENSMUSG00000021978	14
ENSG00000012504	12	ENSMUSG00000047638	10
ENSG00000012660	6	ENSMUSG00000032349	9
ENSG00000012779	10	ENSMUSG00000025701	6
ENSG00000012817	Y	ENSMUSG00000056673	Y
ENSG00000012822	12	ENSMUSG00000023055	15
ENSG00000012963	14	ENSMUSG00000041712	12
ENSG00000012983	14	ENSMUSG00000034761	12
ENSG00000013016	2	ENSMUSG00000024065	17
ENSG00000013275	19	ENSMUSG00000030603	7
ENSG00000013288	4	ENSMUSG00000029119	5
ENSG00000013293	3	ENSMUSG00000069072	3
ENSG00000013297	3	ENSMUSG00000037625	3
ENSG00000013306	17	ENSMUSG00000018677	11
ENSG00000013364	16	ENSMUSG00000030681	7
ENSG00000013374	7	ENSMUSG00000028954	5
ENSG00000013375	6	ENSMUSG00000056131	9
ENSG00000013392	6	ENSMUSG00000032417	9
ENSG00000013441	2	ENSMUSG00000026034	1
ENSG00000013503	12	ENSMUSG00000034453	10
ENSG00000013523	14	ENSMUSG00000021257	12
ENSG00000013561	5	ENSMUSG00000060450	18
ENSG00000013563	X	ENSMUSG00000019088	X
ENSG00000013573	12	ENSMUSG00000035842	17
ENSG00000013583	12	ENSMUSG00000042770	6
ENSG00000013588	12	ENSMUSG00000046733	6
ENSG00000013619	X	ENSMUSG00000059401	X
ENSG00000013725	11	ENSMUSG00000024670	19
ENSG00000013810	4	ENSMUSG00000037313	5
ENSG00000014123	6	ENSMUSG00000040359	4
ENSG00000014138	11	ENSMUSG00000024833	19
ENSG00000014164	8	ENSMUSG00000075600	15
ENSG00000014216	11	ENSMUSG00000024942	19
ENSG00000014257	3	ENSMUSG00000032561	9
ENSG00000014641	2	ENSMUSG00000020321	11
ENSG00000014824	4	ENSMUSG00000029221	5
ENSG00000014914	1	ENSMUSG00000045934	3
ENSG00000014919	10	ENSMUSG00000040018	19
ENSG00000015133	14	ENSMUSG00000021182	12
ENSG00000015153	12	ENSMUSG00000022634	15
ENSG00000015171	10	ENSMUSG00000021156	13
ENSG00000015285	X	ENSMUSG00000031165	X
ENSG00000015413	16	ENSMUSG00000019278	8
ENSG00000015475	22	ENSMUSG00000004446	6
ENSG00000015520	7	ENSMUSG00000020447	11
ENSG00000015532	17	ENSMUSG00000020868	11
ENSG00000015592	8	ENSMUSG00000022044	14
ENSG00000015676	7	ENSMUSG00000053838	11
ENSG00000016082	5	ENSMUSG00000042258	13
ENSG00000016391	3	ENSMUSG00000015970	14
ENSG00000016402	6	ENSMUSG00000020007	10
ENSG00000016490	1	ENSMUSG00000028255	3
ENSG00000016864	3	ENSMUSG00000021916	14
ENSG00000017260	3	ENSMUSG00000032570	9
ENSG00000017427	12	ENSMUSG00000020053	10
ENSG00000017483	X	ENSMUSG00000031170	X
ENSG00000017797	18	ENSMUSG00000024096	17
ENSG00000018189	4	ENSMUSG00000029291	5
ENSG00000018236	12	ENSMUSG00000055022	15
ENSG00000018280	2	ENSMUSG00000026177	1
ENSG00000018408	3	ENSMUSG00000027803	3
ENSG00000018510	2	ENSMUSG00000042410	2
ENSG00000018610	X	ENSMUSG00000006423	X
ENSG00000018625	1	ENSMUSG00000007097	1
ENSG00000018699	2	ENSMUSG00000024078	17
ENSG00000018869	19	ENSMUSG00000109398	7
ENSG00000019102	11	ENSMUSG00000001943	9
ENSG00000019144	11	ENSMUSG00000048537	9
ENSG00000019169	2	ENSMUSG00000026390	1
ENSG00000019186	20	ENSMUSG00000038567	2
ENSG00000019485	11	ENSMUSG00000075028	2
ENSG00000019505	11	ENSMUSG00000027220	2
ENSG00000019549	8	ENSMUSG00000022676	16
ENSG00000019582	5	ENSMUSG00000024610	18
ENSG00000019991	7	ENSMUSG00000028864	5
ENSG00000019995	10	ENSMUSG00000030967	7
ENSG00000020129	1	ENSMUSG00000028833	4
ENSG00000020181	8	ENSMUSG00000031486	8
ENSG00000020256	20	ENSMUSG00000027551	2
ENSG00000020426	14	ENSMUSG00000021103	12
ENSG00000020577	14	ENSMUSG00000021838	14
ENSG00000020633	1	ENSMUSG00000070691	4
ENSG00000020922	11	ENSMUSG00000031928	9
ENSG00000021300	11	ENSMUSG00000030701	7
ENSG00000021488	19	ENSMUSG00000030492	7
ENSG00000021574	2	ENSMUSG00000024068	17
ENSG00000021645	14	ENSMUSG00000066392	12
ENSG00000021762	11	ENSMUSG00000037606	7
ENSG00000021776	15	ENSMUSG00000040383	2
ENSG00000021826	2	ENSMUSG00000025991	1
ENSG00000021852	1	ENSMUSG00000029656	4
ENSG00000022267	X	ENSMUSG00000023092	X
ENSG00000022277	20	ENSMUSG00000027502	2
ENSG00000022355	5	ENSMUSG00000010803	11
ENSG00000022567	8	ENSMUSG00000079020	15
ENSG00000022840	12	ENSMUSG00000041740	5
ENSG00000022976	14	ENSMUSG00000021271	12
ENSG00000023041	10	ENSMUSG00000024982	19
ENSG00000023171	11	ENSMUSG00000040111	9
ENSG00000023191	11	ENSMUSG00000038650	7
ENSG00000023228	2	ENSMUSG00000025968	1
ENSG00000023287	8	ENSMUSG00000025907	1
ENSG00000023318	9	ENSMUSG00000028343	4
ENSG00000023330	3	ENSMUSG00000032786	9
ENSG00000023445	11	ENSMUSG00000032000	9
ENSG00000023516	13	ENSMUSG00000022016	14
ENSG00000023572	1	ENSMUSG00000018196	1
ENSG00000023608	14	ENSMUSG00000021113	12
ENSG00000023697	12	ENSMUSG00000030225	6
ENSG00000023734	12	ENSMUSG00000030224	6
ENSG00000023839	10	ENSMUSG00000025194	19
ENSG00000023892	6	ENSMUSG00000002257	17
ENSG00000023902	1	ENSMUSG00000015745	3
ENSG00000023909	1	ENSMUSG00000028124	3
ENSG00000024048	6	ENSMUSG00000023977	17
ENSG00000024422	19	ENSMUSG00000074364	7
ENSG00000024526	1	ENSMUSG00000028175	3
ENSG00000024862	6	ENSMUSG00000059554	10
ENSG00000025039	6	ENSMUSG00000028278	4
ENSG00000025156	6	ENSMUSG00000019878	10
ENSG00000025293	20	ENSMUSG00000038116	2
ENSG00000025423	12	ENSMUSG00000025396	10
ENSG00000025434	11	ENSMUSG00000002108	2
ENSG00000025708	22	ENSMUSG00000022615	15
ENSG00000025772	20	ENSMUSG00000018322	2
ENSG00000025796	6	ENSMUSG00000019802	10
ENSG00000025800	1	ENSMUSG00000003731	4
ENSG00000026025	10	ENSMUSG00000026728	2
ENSG00000026103	10	ENSMUSG00000024778	19
ENSG00000026508	11	ENSMUSG00000005087	2
ENSG00000026559	20	ENSMUSG00000074575	2
ENSG00000026652	6	ENSMUSG00000023827	17
ENSG00000026751	1	ENSMUSG00000038179	1
ENSG00000027001	13	ENSMUSG00000021993	14
ENSG00000027075	14	ENSMUSG00000021108	12
ENSG00000027644	1	ENSMUSG00000005640	3
ENSG00000027697	6	ENSMUSG00000020009	10
ENSG00000027847	5	ENSMUSG00000021504	13
ENSG00000027869	1	ENSMUSG00000028071	3
ENSG00000028116	2	ENSMUSG00000064090	11
ENSG00000028137	1	ENSMUSG00000028599	4
ENSG00000028203	12	ENSMUSG00000036099	10
ENSG00000028277	19	ENSMUSG00000008496	7
ENSG00000028310	5	ENSMUSG00000057649	13
ENSG00000028528	15	ENSMUSG00000032382	9
ENSG00000028839	6	ENSMUSG00000071359	10
ENSG00000029153	12	ENSMUSG00000040187	6
ENSG00000029363	6	ENSMUSG00000037608	10
ENSG00000029364	14	ENSMUSG00000048833	12
ENSG00000029534	8	ENSMUSG00000031543	8
ENSG00000029559	4	ENSMUSG00000029306	5
ENSG00000029639	6	ENSMUSG00000036983	17
ENSG00000029725	17	ENSMUSG00000020817	11
ENSG00000030066	11	ENSMUSG00000051329	2
ENSG00000030110	6	ENSMUSG00000057789	17
ENSG00000030304	9	ENSMUSG00000057280	4
ENSG00000030419	2	ENSMUSG00000025997	1
ENSG00000030582	17	ENSMUSG00000034708	11
ENSG00000031003	5	ENSMUSG00000036501	18
ENSG00000031081	3	ENSMUSG00000022799	16
ENSG00000031691	6	ENSMUSG00000023919	17
ENSG00000031698	1	ENSMUSG00000068739	3
ENSG00000031823	19	ENSMUSG00000002372	17
ENSG00000032219	14	ENSMUSG00000048118	12
ENSG00000032389	2	ENSMUSG00000036613	12
ENSG00000032444	19	ENSMUSG00000004565	8
ENSG00000032742	13	ENSMUSG00000040040	14
ENSG00000033030	12	ENSMUSG00000029427	5
ENSG00000033050	7	ENSMUSG00000028953	5
ENSG00000033100	7	ENSMUSG00000038181	5
ENSG00000033122	1	ENSMUSG00000028176	3
ENSG00000033170	14	ENSMUSG00000021065	12
ENSG00000033178	4	ENSMUSG00000035898	5
ENSG00000033627	17	ENSMUSG00000019302	11
ENSG00000033800	15	ENSMUSG00000032405	9
ENSG00000033867	3	ENSMUSG00000021733	14
ENSG00000034053	15	ENSMUSG00000030519	7
ENSG00000034239	8	ENSMUSG00000068617	16
ENSG00000034533	3	ENSMUSG00000032567	9
ENSG00000034677	8	ENSMUSG00000022280	15
ENSG00000034693	6	ENSMUSG00000019809	10
ENSG00000034713	16	ENSMUSG00000031950	8
ENSG00000034971	1	ENSMUSG00000026697	1
ENSG00000035115	2	ENSMUSG00000020669	12
ENSG00000035403	10	ENSMUSG00000021823	14
ENSG00000035499	5	ENSMUSG00000021697	13
ENSG00000035664	15	ENSMUSG00000032380	9
ENSG00000035681	8	ENSMUSG00000028245	4
ENSG00000035687	1	ENSMUSG00000015961	1
ENSG00000035720	4	ENSMUSG00000029254	5
ENSG00000035862	17	ENSMUSG00000017466	11
ENSG00000035928	4	ENSMUSG00000029191	5
ENSG00000036054	3	ENSMUSG00000022749	16
ENSG00000036257	2	ENSMUSG00000004364	1
ENSG00000036448	8	ENSMUSG00000031461	8
ENSG00000036473	X	ENSMUSG00000031173	X
ENSG00000036530	14	ENSMUSG00000021259	12
ENSG00000036549	1	ENSMUSG00000039068	3
ENSG00000036565	8	ENSMUSG00000036330	8
ENSG00000036672	11	ENSMUSG00000032010	9
ENSG00000037042	17	ENSMUSG00000045007	11
ENSG00000037280	5	ENSMUSG00000020357	11
ENSG00000037474	5	ENSMUSG00000021595	13
ENSG00000037637	1	ENSMUSG00000028920	4
ENSG00000037749	5	ENSMUSG00000020522	11
ENSG00000037757	19	ENSMUSG00000004996	8
ENSG00000037897	12	ENSMUSG00000006732	10
ENSG00000037965	12	ENSMUSG00000001657	15
ENSG00000038002	4	ENSMUSG00000031521	8
ENSG00000038219	4	ENSMUSG00000061755	5
ENSG00000038274	5	ENSMUSG00000042032	11
ENSG00000038295	4	ENSMUSG00000053626	8
ENSG00000038358	16	ENSMUSG00000036270	8
ENSG00000038382	5	ENSMUSG00000022263	15
ENSG00000038427	5	ENSMUSG00000021614	13
ENSG00000038532	16	ENSMUSG00000068663	16
ENSG00000038945	8	ENSMUSG00000025044	8
ENSG00000039068	16	ENSMUSG00000000303	8
ENSG00000039123	5	ENSMUSG00000016018	13
ENSG00000039139	5	ENSMUSG00000022262	15
ENSG00000039319	5	ENSMUSG00000021706	13
ENSG00000039537	5	ENSMUSG00000022181	15
ENSG00000039560	5	ENSMUSG00000022246	15
ENSG00000039600	5	ENSMUSG00000040489	11
ENSG00000039650	19	ENSMUSG00000002963	7
ENSG00000039987	19	ENSMUSG00000052819	8
ENSG00000040199	16	ENSMUSG00000031732	8
ENSG00000040275	5	ENSMUSG00000069910	11
ENSG00000040341	8	ENSMUSG00000025920	1
ENSG00000040487	1	ENSMUSG00000028744	4
ENSG00000040531	17	ENSMUSG00000005949	11
ENSG00000040608	22	ENSMUSG00000043811	16
ENSG00000040633	17	ENSMUSG00000018572	11
ENSG00000040731	5	ENSMUSG00000022321	15
ENSG00000040933	2	ENSMUSG00000026113	1
ENSG00000041353	18	ENSMUSG00000024511	18
ENSG00000041357	15	ENSMUSG00000032301	9
ENSG00000041515	13	ENSMUSG00000039057	8
ENSG00000041802	3	ENSMUSG00000022538	16
ENSG00000041880	3	ENSMUSG00000023249	9
ENSG00000041982	9	ENSMUSG00000028364	4
ENSG00000041988	1	ENSMUSG00000039759	4
ENSG00000042062	20	ENSMUSG00000074577	2
ENSG00000042088	14	ENSMUSG00000021177	12
ENSG00000042286	10	ENSMUSG00000020085	10
ENSG00000042317	14	ENSMUSG00000021007	12
ENSG00000042429	11	ENSMUSG00000031935	9
ENSG00000042445	2	ENSMUSG00000056666	6
ENSG00000042493	2	ENSMUSG00000056737	6
ENSG00000042753	19	ENSMUSG00000008036	7
ENSG00000042781	1	ENSMUSG00000026609	1
ENSG00000042813	7	ENSMUSG00000020193	11
ENSG00000042832	8	ENSMUSG00000053469	15
ENSG00000042980	8	ENSMUSG00000014725	14
ENSG00000043039	11	ENSMUSG00000032033	9
ENSG00000043093	3	ENSMUSG00000027708	3
ENSG00000043143	5	ENSMUSG00000020387	11
ENSG00000043355	13	ENSMUSG00000061524	14
ENSG00000043462	5	ENSMUSG00000002699	11
ENSG00000043514	1	ENSMUSG00000028653	4
ENSG00000043591	10	ENSMUSG00000035283	19
ENSG00000044012	1	ENSMUSG00000032978	4
ENSG00000044090	6	ENSMUSG00000038545	17
ENSG00000044115	5	ENSMUSG00000037815	18
ENSG00000044446	X	ENSMUSG00000031295	X
ENSG00000044459	9	ENSMUSG00000038070	4
