Platypus	ChrPlatypus	Chicken	ChrChicken
ENSOANG00000000277	Ultra699	ENSGALG00000034812	13
ENSOANG00000000278	4	ENSGALG00000036941	2
ENSOANG00000000279	4	ENSGALG00000043399	2
ENSOANG00000000281	4	ENSGALG00000037246	2
ENSOANG00000000282	4	ENSGALG00000013102	2
ENSOANG00000000283	4	ENSGALG00000013100	2
ENSOANG00000000284	4	ENSGALG00000013094	2
ENSOANG00000000286	4	ENSGALG00000013086	2
ENSOANG00000000287	4	ENSGALG00000013083	2
ENSOANG00000000288	4	ENSGALG00000013084	2
ENSOANG00000000294	Contig19160	ENSGALG00000035465	10
ENSOANG00000000295	Contig19160	ENSGALG00000030858	10
ENSOANG00000000303	7	ENSGALG00000002847	7
ENSOANG00000000305	Contig6844	ENSGALG00000010638	4
ENSOANG00000000308	Contig3641	ENSGALG00000009364	9
ENSOANG00000000310	Contig901	ENSGALG00000005087	14
ENSOANG00000000311	Contig901	ENSGALG00000005094	14
ENSOANG00000000312	Contig10930	ENSGALG00000029282	9
ENSOANG00000000316	Contig24673	ENSGALG00000011347	7
ENSOANG00000000318	Contig10612	ENSGALG00000038885	24
ENSOANG00000000320	Ultra97	ENSGALG00000005299	6
ENSOANG00000000321	Contig11441	ENSGALG00000030378	23
ENSOANG00000000322	Ultra97	ENSGALG00000005243	6
ENSOANG00000000323	Contig11586	ENSGALG00000025800	21
ENSOANG00000000324	Ultra149	ENSGALG00000006712	15
ENSOANG00000000325	Ultra149	ENSGALG00000006710	15
ENSOANG00000000328	Contig10108	ENSGALG00000001153	19
ENSOANG00000000329	Contig2991	ENSGALG00000014248	4
ENSOANG00000000334	Contig26927	ENSGALG00000008530	3
ENSOANG00000000336	X5	ENSGALG00000001869	Z
ENSOANG00000000337	X5	ENSGALG00000001864	Z
ENSOANG00000000338	X5	ENSGALG00000001856	Z
ENSOANG00000000339	Contig4731	ENSGALG00000030563	21
ENSOANG00000000341	Ultra251	ENSGALG00000014824	Z
ENSOANG00000000346	Contig23170	ENSGALG00000041634	22
ENSOANG00000000353	Contig54257	ENSGALG00000009071	4
ENSOANG00000000369	Contig8545	ENSGALG00000027501	10
ENSOANG00000000371	Ultra251	ENSGALG00000014840	Z
ENSOANG00000000373	Contig1816	ENSGALG00000004849	15
ENSOANG00000000375	Contig166943	ENSGALG00000039822	5
ENSOANG00000000378	Contig21609	ENSGALG00000010502	8
ENSOANG00000000380	Contig5923	ENSGALG00000037018	18
ENSOANG00000000381	Contig21420	ENSGALG00000011697	7
ENSOANG00000000382	Ultra134	ENSGALG00000001118	17
ENSOANG00000000384	Contig6302	ENSGALG00000005979	2
ENSOANG00000000385	Ultra681	ENSGALG00000012338	4
ENSOANG00000000390	Contig20272	ENSGALG00000032740	27
ENSOANG00000000392	Contig20454	ENSGALG00000001618	18
ENSOANG00000000394	Contig11096	ENSGALG00000004852	17
ENSOANG00000000396	18	ENSGALG00000011058	8
ENSOANG00000000399	18	ENSGALG00000011094	8
ENSOANG00000000401	Ultra272	ENSGALG00000009182	6
ENSOANG00000000403	10	ENSGALG00000008740	1
ENSOANG00000000405	10	ENSGALG00000031527	1
ENSOANG00000000406	Contig4160	ENSGALG00000000962	24
ENSOANG00000000407	10	ENSGALG00000008761	1
ENSOANG00000000410	10	ENSGALG00000008776	1
ENSOANG00000000412	Contig18532	ENSGALG00000007848	24
ENSOANG00000000414	Ultra734	ENSGALG00000041863	2
ENSOANG00000000415	Contig11480	ENSGALG00000007511	7
ENSOANG00000000416	Contig18894	ENSGALG00000012975	1
ENSOANG00000000420	Contig2756	ENSGALG00000001067	23
ENSOANG00000000423	Contig2045	ENSGALG00000037492	14
ENSOANG00000000424	4	ENSGALG00000002207	8
ENSOANG00000000425	Ultra287	ENSGALG00000030964	6
ENSOANG00000000429	Contig11929	ENSGALG00000008525	3
ENSOANG00000000430	Contig14296	ENSGALG00000040666	1
ENSOANG00000000432	Ultra138	ENSGALG00000014615	2
ENSOANG00000000433	Ultra414	ENSGALG00000002764	9
ENSOANG00000000434	Ultra414	ENSGALG00000025759	9
ENSOANG00000000436	Ultra138	ENSGALG00000014758	2
ENSOANG00000000437	Contig8533	ENSGALG00000036543	9
ENSOANG00000000438	Contig4799	ENSGALG00000016034	4
ENSOANG00000000443	Ultra378	ENSGALG00000010842	5
ENSOANG00000000447	Contig8677	ENSGALG00000035950	27
ENSOANG00000000448	Contig2841	ENSGALG00000037546	26
ENSOANG00000000449	Ultra106	ENSGALG00000007045	6
ENSOANG00000000455	Contig4962	ENSGALG00000006882	10
ENSOANG00000000456	Contig24576	ENSGALG00000026722	15
ENSOANG00000000457	1	ENSGALG00000038512	9
ENSOANG00000000458	Contig20271	ENSGALG00000003128	20
ENSOANG00000000461	Contig7686	ENSGALG00000030401	19
ENSOANG00000000465	Ultra12	ENSGALG00000028250	6
ENSOANG00000000470	Contig6869	ENSGALG00000005848	Z
ENSOANG00000000473	Contig3186	ENSGALG00000004760	15
ENSOANG00000000482	Ultra166	ENSGALG00000015412	1
ENSOANG00000000483	Ultra166	ENSGALG00000015413	1
ENSOANG00000000484	Ultra166	ENSGALG00000015409	1
ENSOANG00000000485	Ultra166	ENSGALG00000015403	1
ENSOANG00000000486	X1	ENSGALG00000037791	12
ENSOANG00000000487	X1	ENSGALG00000018946	12
ENSOANG00000000488	X1	ENSGALG00000038904	12
ENSOANG00000000489	X1	ENSGALG00000013410	12
ENSOANG00000000490	Ultra166	ENSGALG00000015402	1
ENSOANG00000000493	Ultra166	ENSGALG00000015494	1
ENSOANG00000000494	Ultra166	ENSGALG00000015495	1
ENSOANG00000000495	X1	ENSGALG00000013408	12
ENSOANG00000000496	Ultra166	ENSGALG00000015496	1
ENSOANG00000000498	X1	ENSGALG00000013406	12
ENSOANG00000000499	Ultra478	ENSGALG00000000275	22
ENSOANG00000000500	Contig17430	ENSGALG00000005617	14
ENSOANG00000000502	Contig14268	ENSGALG00000035242	5
ENSOANG00000000505	Contig17567	ENSGALG00000032730	AADN04000623.1
ENSOANG00000000511	Ultra179	ENSGALG00000038639	3
ENSOANG00000000512	Contig7744	ENSGALG00000033950	2
ENSOANG00000000513	Ultra179	ENSGALG00000031726	3
ENSOANG00000000516	Ultra179	ENSGALG00000037735	16
ENSOANG00000000517	Ultra179	ENSGALG00000025971	3
ENSOANG00000000519	Ultra179	ENSGALG00000045407	3
ENSOANG00000000520	Ultra179	ENSGALG00000016577	3
ENSOANG00000000521	Ultra322	ENSGALG00000045403	6
ENSOANG00000000523	Ultra179	ENSGALG00000016560	3
ENSOANG00000000525	Contig9886	ENSGALG00000041844	19
ENSOANG00000000526	Contig9886	ENSGALG00000001632	19
ENSOANG00000000527	Ultra483	ENSGALG00000015775	3
ENSOANG00000000528	Ultra483	ENSGALG00000015776	3
ENSOANG00000000530	Ultra483	ENSGALG00000015778	3
ENSOANG00000000531	Ultra483	ENSGALG00000015779	3
ENSOANG00000000533	Ultra483	ENSGALG00000015787	3
ENSOANG00000000534	Ultra483	ENSGALG00000037511	3
ENSOANG00000000535	Ultra483	ENSGALG00000043839	3
ENSOANG00000000536	Ultra483	ENSGALG00000015791	3
ENSOANG00000000537	Ultra483	ENSGALG00000015800	3
ENSOANG00000000538	Contig23257	ENSGALG00000008713	3
ENSOANG00000000539	Contig23257	ENSGALG00000027822	18
ENSOANG00000000540	Ultra483	ENSGALG00000015806	3
ENSOANG00000000542	Ultra483	ENSGALG00000015808	3
ENSOANG00000000544	Ultra483	ENSGALG00000015810	3
ENSOANG00000000547	Ultra483	ENSGALG00000015812	3
ENSOANG00000000548	Ultra483	ENSGALG00000035472	3
ENSOANG00000000551	Ultra483	ENSGALG00000015824	3
ENSOANG00000000552	Ultra483	ENSGALG00000015831	3
ENSOANG00000000555	Ultra483	ENSGALG00000028566	3
ENSOANG00000000556	Ultra483	ENSGALG00000032789	3
ENSOANG00000000561	Ultra516	ENSGALG00000004621	20
ENSOANG00000000566	3	ENSGALG00000007948	5
ENSOANG00000000569	Contig23648	ENSGALG00000034016	KQ759539.1
ENSOANG00000000570	Ultra380	ENSGALG00000001167	24
ENSOANG00000000571	Ultra380	ENSGALG00000001181	24
ENSOANG00000000572	Ultra380	ENSGALG00000043511	24
ENSOANG00000000574	Ultra380	ENSGALG00000001203	24
ENSOANG00000000575	Contig32018	ENSGALG00000011371	7
ENSOANG00000000576	Ultra380	ENSGALG00000001306	24
ENSOANG00000000578	Ultra553	ENSGALG00000034988	KQ759484.1
ENSOANG00000000579	Ultra380	ENSGALG00000004009	19
ENSOANG00000000580	Ultra380	ENSGALG00000035793	AADN04006913.1
ENSOANG00000000581	Ultra380	ENSGALG00000001331	24
ENSOANG00000000582	Ultra380	ENSGALG00000003907	11
ENSOANG00000000583	Ultra380	ENSGALG00000042664	11
ENSOANG00000000584	Ultra380	ENSGALG00000003891	11
ENSOANG00000000585	Ultra743	ENSGALG00000005001	12
ENSOANG00000000588	Ultra380	ENSGALG00000041613	11
ENSOANG00000000589	Ultra380	ENSGALG00000031851	11
ENSOANG00000000590	Ultra380	ENSGALG00000003837	11
ENSOANG00000000596	Contig19368	ENSGALG00000026367	21
ENSOANG00000000597	Contig24341	ENSGALG00000001258	1
ENSOANG00000000599	Contig2888	ENSGALG00000037538	AADN04001118.1
ENSOANG00000000603	2	ENSGALG00000002579	15
ENSOANG00000000604	Contig11973	ENSGALG00000035879	AADN04000737.1
ENSOANG00000000607	Contig31578	ENSGALG00000004729	11
ENSOANG00000000610	Contig8132	ENSGALG00000016813	1
ENSOANG00000000612	Contig20861	ENSGALG00000009738	6
ENSOANG00000000615	Ultra25	ENSGALG00000007111	12
ENSOANG00000000616	Ultra454	ENSGALG00000011953	1
ENSOANG00000000617	Contig17626	ENSGALG00000034218	33
ENSOANG00000000624	Contig9015	ENSGALG00000032702	27
ENSOANG00000000625	Contig20130	ENSGALG00000013968	4
ENSOANG00000000627	Contig13615	ENSGALG00000031062	5
ENSOANG00000000632	Contig2156	ENSGALG00000011661	3
ENSOANG00000000633	Contig5357	ENSGALG00000028149	Z
ENSOANG00000000634	Contig5357	ENSGALG00000037603	23
ENSOANG00000000636	Ultra330	ENSGALG00000015040	3
ENSOANG00000000638	Ultra330	ENSGALG00000015035	3
ENSOANG00000000641	Contig40589	ENSGALG00000002488	13
ENSOANG00000000642	Contig4774	ENSGALG00000001374	21
ENSOANG00000000644	Contig19161	ENSGALG00000001392	21
ENSOANG00000000645	Contig19161	ENSGALG00000001382	21
ENSOANG00000000646	Contig12490	ENSGALG00000007181	18
ENSOANG00000000653	Ultra489	ENSGALG00000005675	9
ENSOANG00000000654	Contig29411	ENSGALG00000000812	28
ENSOANG00000000655	Contig3734	ENSGALG00000008646	9
ENSOANG00000000657	Contig4520	ENSGALG00000041346	6
ENSOANG00000000659	Ultra171	ENSGALG00000008548	7
ENSOANG00000000660	Ultra171	ENSGALG00000008582	7
ENSOANG00000000663	Ultra164	ENSGALG00000038143	5
ENSOANG00000000667	Contig6735	ENSGALG00000038311	7
ENSOANG00000000668	Contig6735	ENSGALG00000030511	7
ENSOANG00000000674	Contig11101	ENSGALG00000008346	7
ENSOANG00000000680	Contig8637	ENSGALG00000007689	24
ENSOANG00000000681	Contig8637	ENSGALG00000007699	24
ENSOANG00000000682	Contig8637	ENSGALG00000007707	24
ENSOANG00000000683	Contig8637	ENSGALG00000029536	24
ENSOANG00000000687	Ultra403	ENSGALG00000035015	AADN04018578.1
ENSOANG00000000690	5	ENSGALG00000037437	AADN04000931.1
ENSOANG00000000691	Ultra403	ENSGALG00000032385	AADN04000849.1
ENSOANG00000000692	5	ENSGALG00000015397	Z
ENSOANG00000000693	5	ENSGALG00000015390	Z
ENSOANG00000000694	6	ENSGALG00000037129	4
ENSOANG00000000695	Ultra403	ENSGALG00000044851	AADN04000849.1
ENSOANG00000000697	5	ENSGALG00000040828	AADN04001368.1
ENSOANG00000000698	5	ENSGALG00000015386	Z
ENSOANG00000000699	5	ENSGALG00000015385	Z
ENSOANG00000000700	Ultra403	ENSGALG00000040565	AADN04000849.1
ENSOANG00000000701	5	ENSGALG00000015382	Z
ENSOANG00000000702	5	ENSGALG00000015384	Z
ENSOANG00000000704	5	ENSGALG00000029508	4
ENSOANG00000000705	5	ENSGALG00000038336	4
ENSOANG00000000711	5	ENSGALG00000031832	22
ENSOANG00000000713	5	ENSGALG00000003709	22
ENSOANG00000000715	5	ENSGALG00000038155	22
ENSOANG00000000717	5	ENSGALG00000018503	22
ENSOANG00000000718	5	ENSGALG00000003641	22
ENSOANG00000000721	5	ENSGALG00000003518	22
ENSOANG00000000724	Contig5018	ENSGALG00000009356	9
ENSOANG00000000731	Contig23908	ENSGALG00000015786	4
ENSOANG00000000732	Ultra121	ENSGALG00000038710	1
ENSOANG00000000733	Ultra121	ENSGALG00000040393	1
ENSOANG00000000735	Ultra121	ENSGALG00000037030	1
ENSOANG00000000737	Ultra517	ENSGALG00000004489	11
ENSOANG00000000740	Contig34646	ENSGALG00000035350	33
ENSOANG00000000745	Ultra12	ENSGALG00000006431	6
ENSOANG00000000751	Contig4137	ENSGALG00000012974	1
ENSOANG00000000753	Contig9401	ENSGALG00000005997	4
ENSOANG00000000754	Contig24865	ENSGALG00000007151	4
ENSOANG00000000755	6	ENSGALG00000001921	17
ENSOANG00000000756	6	ENSGALG00000008076	4
ENSOANG00000000758	Contig24475	ENSGALG00000017274	1
ENSOANG00000000760	Contig15341	ENSGALG00000010798	8
ENSOANG00000000762	Contig1657	ENSGALG00000003458	14
ENSOANG00000000763	Contig1657	ENSGALG00000003462	14
ENSOANG00000000764	Contig1657	ENSGALG00000021286	14
ENSOANG00000000766	Ultra339	ENSGALG00000015289	3
ENSOANG00000000767	1	ENSGALG00000011464	5
ENSOANG00000000768	Ultra339	ENSGALG00000015297	3
ENSOANG00000000769	Ultra339	ENSGALG00000015303	3
ENSOANG00000000770	Ultra95	ENSGALG00000010526	4
ENSOANG00000000772	Ultra339	ENSGALG00000015304	3
ENSOANG00000000773	1	ENSGALG00000011505	5
ENSOANG00000000774	Contig18299	ENSGALG00000031243	KQ759368.1
ENSOANG00000000775	Ultra339	ENSGALG00000015305	3
ENSOANG00000000776	Ultra339	ENSGALG00000015306	3
ENSOANG00000000777	Ultra339	ENSGALG00000015308	3
ENSOANG00000000780	1	ENSGALG00000044519	5
ENSOANG00000000783	Ultra339	ENSGALG00000015313	3
ENSOANG00000000784	Ultra339	ENSGALG00000015316	3
ENSOANG00000000785	1	ENSGALG00000011522	5
ENSOANG00000000786	1	ENSGALG00000011528	5
ENSOANG00000000788	Contig8989	ENSGALG00000013223	11
ENSOANG00000000789	Ultra434	ENSGALG00000003217	14
ENSOANG00000000792	1	ENSGALG00000011533	5
ENSOANG00000000793	1	ENSGALG00000011548	5
ENSOANG00000000795	1	ENSGALG00000027643	5
ENSOANG00000000797	1	ENSGALG00000011565	5
ENSOANG00000000798	1	ENSGALG00000011572	5
ENSOANG00000000799	1	ENSGALG00000001779	11
ENSOANG00000000801	Contig20113	ENSGALG00000005475	4
ENSOANG00000000802	Ultra721	ENSGALG00000009540	1
ENSOANG00000000808	Contig4605	ENSGALG00000010576	5
ENSOANG00000000809	Contig3798	ENSGALG00000026111	5
ENSOANG00000000812	Contig5782	ENSGALG00000035031	2
ENSOANG00000000813	Contig30764	ENSGALG00000042282	AADN04018566.1
ENSOANG00000000818	10	ENSGALG00000039403	1
ENSOANG00000000821	10	ENSGALG00000043476	1
ENSOANG00000000822	10	ENSGALG00000033149	1
ENSOANG00000000823	10	ENSGALG00000033997	1
ENSOANG00000000824	Contig7819	ENSGALG00000003226	26
ENSOANG00000000825	Contig7819	ENSGALG00000003228	26
ENSOANG00000000829	Contig14108	ENSGALG00000017299	1
ENSOANG00000000831	Contig8392	ENSGALG00000000838	1
ENSOANG00000000833	Contig20555	ENSGALG00000032418	14
ENSOANG00000000836	Contig43351	ENSGALG00000009492	1
ENSOANG00000000838	Contig2367	ENSGALG00000030836	13
ENSOANG00000000841	Contig36874	ENSGALG00000037091	28
ENSOANG00000000842	Contig5172	ENSGALG00000014081	4
ENSOANG00000000845	Ultra84	ENSGALG00000020528	Z
ENSOANG00000000846	Ultra84	ENSGALG00000015660	Z
ENSOANG00000000847	Ultra84	ENSGALG00000027345	Z
ENSOANG00000000848	Ultra84	ENSGALG00000015656	Z
ENSOANG00000000849	Ultra84	ENSGALG00000015655	Z
ENSOANG00000000850	Ultra84	ENSGALG00000000220	Z
ENSOANG00000000854	Ultra341	ENSGALG00000039376	1
ENSOANG00000000855	Ultra341	ENSGALG00000015233	1
ENSOANG00000000856	Ultra341	ENSGALG00000015230	1
ENSOANG00000000859	Contig12130	ENSGALG00000029402	14
ENSOANG00000000860	Ultra341	ENSGALG00000015225	1
ENSOANG00000000861	7	ENSGALG00000006361	9
ENSOANG00000000862	Ultra341	ENSGALG00000015221	1
ENSOANG00000000864	Ultra341	ENSGALG00000015218	1
ENSOANG00000000866	Ultra341	ENSGALG00000029298	1
ENSOANG00000000867	Contig13055	ENSGALG00000005626	15
ENSOANG00000000869	7	ENSGALG00000007419	9
ENSOANG00000000871	7	ENSGALG00000007361	9
ENSOANG00000000872	7	ENSGALG00000007357	9
ENSOANG00000000873	Ultra341	ENSGALG00000002643	8
ENSOANG00000000877	Contig3440	ENSGALG00000023395	10
ENSOANG00000000880	Contig3440	ENSGALG00000006611	10
ENSOANG00000000881	Ultra341	ENSGALG00000036264	8
ENSOANG00000000883	X5	ENSGALG00000005390	Z
ENSOANG00000000884	Ultra341	ENSGALG00000021047	8
ENSOANG00000000886	X5	ENSGALG00000002426	6
ENSOANG00000000887	X5	ENSGALG00000029118	Z
ENSOANG00000000888	Ultra341	ENSGALG00000003334	8
ENSOANG00000000890	Ultra341	ENSGALG00000003324	8
ENSOANG00000000891	Ultra341	ENSGALG00000003329	8
ENSOANG00000000893	Ultra479	ENSGALG00000043437	1
ENSOANG00000000895	Ultra341	ENSGALG00000040573	8
ENSOANG00000000899	Ultra341	ENSGALG00000040292	8
ENSOANG00000000901	Ultra341	ENSGALG00000021074	8
ENSOANG00000000902	Ultra341	ENSGALG00000031381	8
ENSOANG00000000903	Contig19463	ENSGALG00000030907	27
ENSOANG00000000904	Ultra341	ENSGALG00000003250	8
ENSOANG00000000905	Ultra341	ENSGALG00000003206	8
ENSOANG00000000907	Contig28839	ENSGALG00000010322	5
ENSOANG00000000908	Ultra341	ENSGALG00000027608	8
ENSOANG00000000909	Ultra341	ENSGALG00000003081	8
ENSOANG00000000910	Ultra341	ENSGALG00000003076	8
ENSOANG00000000913	Contig4711	ENSGALG00000003836	7
ENSOANG00000000916	Ultra341	ENSGALG00000003053	8
ENSOANG00000000918	Ultra341	ENSGALG00000036931	8
ENSOANG00000000919	Contig13746	ENSGALG00000006095	6
ENSOANG00000000920	Ultra341	ENSGALG00000038411	8
ENSOANG00000000922	Ultra341	ENSGALG00000004597	8
ENSOANG00000000923	Ultra341	ENSGALG00000004591	8
ENSOANG00000000924	Ultra341	ENSGALG00000004587	8
ENSOANG00000000925	Ultra341	ENSGALG00000004578	8
ENSOANG00000000926	Ultra483	ENSGALG00000015231	3
ENSOANG00000000927	Ultra483	ENSGALG00000015224	3
ENSOANG00000000930	Ultra341	ENSGALG00000004554	8
ENSOANG00000000931	Ultra341	ENSGALG00000030028	8
ENSOANG00000000932	Ultra483	ENSGALG00000015070	3
ENSOANG00000000933	Ultra341	ENSGALG00000004538	8
ENSOANG00000000934	Contig8076	ENSGALG00000000396	27
ENSOANG00000000936	Ultra341	ENSGALG00000004526	8
ENSOANG00000000937	Ultra483	ENSGALG00000015066	3
ENSOANG00000000939	Ultra483	ENSGALG00000015061	3
ENSOANG00000000940	Ultra483	ENSGALG00000041120	3
ENSOANG00000000942	Ultra341	ENSGALG00000004500	8
ENSOANG00000000943	Ultra483	ENSGALG00000015898	3
ENSOANG00000000944	Ultra341	ENSGALG00000040432	8
ENSOANG00000000945	Ultra483	ENSGALG00000015897	3
ENSOANG00000000946	Ultra483	ENSGALG00000015892	3
ENSOANG00000000947	Ultra341	ENSGALG00000004472	8
ENSOANG00000000949	Ultra341	ENSGALG00000004448	8
ENSOANG00000000950	Ultra341	ENSGALG00000004424	8
ENSOANG00000000952	Ultra341	ENSGALG00000004341	8
ENSOANG00000000953	Ultra341	ENSGALG00000004323	8
ENSOANG00000000954	Ultra341	ENSGALG00000004273	8
ENSOANG00000000955	Ultra341	ENSGALG00000004290	8
ENSOANG00000000956	Ultra341	ENSGALG00000004227	8
ENSOANG00000000959	Ultra32	ENSGALG00000005999	12
ENSOANG00000000960	Ultra341	ENSGALG00000004205	8
ENSOANG00000000961	Ultra341	ENSGALG00000004173	8
ENSOANG00000000962	Ultra341	ENSGALG00000004163	8
ENSOANG00000000964	Ultra341	ENSGALG00000033634	8
ENSOANG00000000965	Ultra341	ENSGALG00000020984	8
ENSOANG00000000966	Ultra341	ENSGALG00000031119	8
ENSOANG00000000967	Ultra341	ENSGALG00000029238	8
ENSOANG00000000968	Ultra341	ENSGALG00000003955	8
ENSOANG00000000969	Ultra341	ENSGALG00000036587	8
ENSOANG00000000970	Ultra341	ENSGALG00000003924	8
ENSOANG00000000971	Ultra341	ENSGALG00000003893	8
ENSOANG00000000972	Ultra341	ENSGALG00000003880	8
ENSOANG00000000973	Contig12896	ENSGALG00000006506	13
ENSOANG00000000975	Ultra341	ENSGALG00000003833	8
ENSOANG00000000976	Contig12132	ENSGALG00000008623	17
ENSOANG00000000977	Contig24834	ENSGALG00000031440	23
ENSOANG00000000979	Ultra341	ENSGALG00000043754	8
ENSOANG00000000982	Ultra341	ENSGALG00000042986	8
ENSOANG00000000983	X1	ENSGALG00000004930	12
ENSOANG00000000984	Ultra341	ENSGALG00000033535	8
ENSOANG00000000985	Ultra341	ENSGALG00000026263	8
ENSOANG00000000987	Ultra341	ENSGALG00000004614	8
ENSOANG00000000988	Contig30223	ENSGALG00000028876	14
ENSOANG00000000991	Ultra341	ENSGALG00000004620	8
ENSOANG00000000993	Ultra341	ENSGALG00000004642	8
ENSOANG00000000994	Ultra341	ENSGALG00000004667	8
ENSOANG00000000996	Ultra320	ENSGALG00000014262	4
ENSOANG00000000997	Ultra341	ENSGALG00000004700	8
ENSOANG00000000999	Ultra341	ENSGALG00000020927	8
ENSOANG00000001003	Ultra341	ENSGALG00000004782	8
ENSOANG00000001004	Ultra341	ENSGALG00000038320	8
ENSOANG00000001005	Ultra341	ENSGALG00000020922	8
ENSOANG00000001006	Ultra341	ENSGALG00000004806	8
ENSOANG00000001007	Ultra341	ENSGALG00000004812	8
ENSOANG00000001008	Ultra341	ENSGALG00000037219	8
ENSOANG00000001009	Ultra321	ENSGALG00000001774	10
ENSOANG00000001010	Ultra341	ENSGALG00000033077	8
ENSOANG00000001011	Ultra321	ENSGALG00000044207	10
ENSOANG00000001012	Ultra321	ENSGALG00000001741	10
ENSOANG00000001013	Ultra341	ENSGALG00000034230	8
ENSOANG00000001016	Ultra341	ENSGALG00000031129	8
ENSOANG00000001024	Ultra341	ENSGALG00000005080	8
ENSOANG00000001025	Ultra341	ENSGALG00000030417	8
ENSOANG00000001026	Ultra341	ENSGALG00000033635	8
ENSOANG00000001027	Ultra341	ENSGALG00000005065	8
ENSOANG00000001028	Contig454	ENSGALG00000002557	15
ENSOANG00000001029	Contig4586	ENSGALG00000037361	4
ENSOANG00000001030	Contig7018	ENSGALG00000002621	28
ENSOANG00000001031	Contig2652	ENSGALG00000013741	3
ENSOANG00000001032	Contig2652	ENSGALG00000013742	3
ENSOANG00000001037	4	ENSGALG00000012710	17
ENSOANG00000001038	Contig12200	ENSGALG00000014331	1
ENSOANG00000001042	4	ENSGALG00000003941	17
ENSOANG00000001043	4	ENSGALG00000003895	17
ENSOANG00000001044	4	ENSGALG00000040373	17
ENSOANG00000001046	4	ENSGALG00000003875	17
ENSOANG00000001048	4	ENSGALG00000003866	17
ENSOANG00000001053	Contig11243	ENSGALG00000033278	14
ENSOANG00000001054	Contig867	ENSGALG00000035105	5
ENSOANG00000001056	Contig867	ENSGALG00000009332	5
ENSOANG00000001057	Contig25573	ENSGALG00000008496	5
ENSOANG00000001059	Contig6370	ENSGALG00000027897	15
ENSOANG00000001060	Contig6285	ENSGALG00000013603	3
ENSOANG00000001062	3	ENSGALG00000012356	3
ENSOANG00000001063	3	ENSGALG00000012364	3
ENSOANG00000001064	3	ENSGALG00000012370	3
ENSOANG00000001065	3	ENSGALG00000012378	3
ENSOANG00000001066	3	ENSGALG00000012388	3
ENSOANG00000001068	3	ENSGALG00000012387	3
ENSOANG00000001069	3	ENSGALG00000019987	3
ENSOANG00000001070	3	ENSGALG00000012392	3
ENSOANG00000001071	Contig23676	ENSGALG00000002372	12
