Mouse	ChrMouse	Chicken	ChrChicken
ENSMUSG00000000296	10	ENSGALG00000014843	3
ENSMUSG00000000301	11	ENSGALG00000004875	14
ENSMUSG00000000303	8	ENSGALG00000000608	11
ENSMUSG00000000305	2	ENSGALG00000005102	20
ENSMUSG00000000308	2	ENSGALG00000008352	10
ENSMUSG00000000325	16	ENSGALG00000043373	15
ENSMUSG00000000326	16	ENSGALG00000002024	15
ENSMUSG00000000340	3	ENSGALG00000005280	8
ENSMUSG00000000359	2	ENSGALG00000045602	20
ENSMUSG00000000365	14	ENSGALG00000045414	1
ENSMUSG00000000378	11	ENSGALG00000005612	2
ENSMUSG00000000384	11	ENSGALG00000038102	2
ENSMUSG00000000385	16	ENSGALG00000016144	1
ENSMUSG00000000392	2	ENSGALG00000011099	7
ENSMUSG00000000394	2	ENSGALG00000011104	7
ENSMUSG00000000399	6	ENSGALG00000017282	1
ENSMUSG00000000402	X	ENSGALG00000016584	1
ENSMUSG00000000409	4	ENSGALG00000000466	23
ENSMUSG00000000416	6	ENSGALG00000009134	1
ENSMUSG00000000420	18	ENSGALG00000013135	2
ENSMUSG00000000435	10	ENSGALG00000028091	1
ENSMUSG00000000439	6	ENSGALG00000004991	12
ENSMUSG00000000440	6	ENSGALG00000004974	12
ENSMUSG00000000441	6	ENSGALG00000004998	12
ENSMUSG00000000489	15	ENSGALG00000012178	1
ENSMUSG00000000530	15	ENSGALG00000035635	33
ENSMUSG00000000532	15	ENSGALG00000029599	33
ENSMUSG00000000538	11	ENSGALG00000004902	14
ENSMUSG00000000544	1	ENSGALG00000044138	1
ENSMUSG00000000555	15	ENSGALG00000042807	AADN04004088.1
ENSMUSG00000000560	5	ENSGALG00000014206	4
ENSMUSG00000000561	3	ENSGALG00000040864	26
ENSMUSG00000000562	3	ENSGALG00000001462	26
ENSMUSG00000000563	3	ENSGALG00000001452	26
ENSMUSG00000000567	11	ENSGALG00000004386	18
ENSMUSG00000000568	5	ENSGALG00000011184	4
ENSMUSG00000000581	11	ENSGALG00000008765	3
ENSMUSG00000000594	11	ENSGALG00000027534	13
ENSMUSG00000000605	7	ENSGALG00000016607	1
ENSMUSG00000000628	6	ENSGALG00000034855	KQ759567.1
ENSMUSG00000000631	11	ENSGALG00000003741	19
ENSMUSG00000000632	11	ENSGALG00000026431	19
ENSMUSG00000000673	17	ENSGALG00000009926	3
ENSMUSG00000000690	11	ENSGALG00000037619	27
ENSMUSG00000000693	6	ENSGALG00000036142	KQ759405.1
ENSMUSG00000000708	17	ENSGALG00000011278	2
ENSMUSG00000000711	10	ENSGALG00000042482	33
ENSMUSG00000000724	11	ENSGALG00000004035	19
ENSMUSG00000000732	10	ENSGALG00000031637	1
ENSMUSG00000000738	8	ENSGALG00000028363	11
ENSMUSG00000000739	8	ENSGALG00000023472	11
ENSMUSG00000000743	8	ENSGALG00000006161	11
ENSMUSG00000000751	11	ENSGALG00000003072	19
ENSMUSG00000000753	11	ENSGALG00000003015	19
ENSMUSG00000000759	8	ENSGALG00000016836	1
ENSMUSG00000000766	10	ENSGALG00000013616	3
ENSMUSG00000000782	11	ENSGALG00000006480	13
ENSMUSG00000000791	8	ENSGALG00000035825	28
ENSMUSG00000000792	8	ENSGALG00000041932	28
ENSMUSG00000000794	3	ENSGALG00000030554	25
ENSMUSG00000000804	11	ENSGALG00000005350	19
ENSMUSG00000000805	11	ENSGALG00000005360	19
ENSMUSG00000000811	6	ENSGALG00000039363	12
ENSMUSG00000000817	1	ENSGALG00000003076	8
ENSMUSG00000000823	2	ENSGALG00000006013	20
ENSMUSG00000000826	2	ENSGALG00000035378	20
ENSMUSG00000000838	X	ENSGALG00000009177	4
ENSMUSG00000000861	11	ENSGALG00000034048	3
ENSMUSG00000000876	2	ENSGALG00000003042	20
ENSMUSG00000000881	X	ENSGALG00000041900	4
ENSMUSG00000000884	16	ENSGALG00000001925	15
ENSMUSG00000000889	2	ENSGALG00000040045	17
ENSMUSG00000000901	10	ENSGALG00000005968	15
ENSMUSG00000000902	10	ENSGALG00000005983	15
ENSMUSG00000000903	10	ENSGALG00000021136	15
ENSMUSG00000000915	5	ENSGALG00000031511	15
ENSMUSG00000000916	5	ENSGALG00000000891	19
ENSMUSG00000000934	15	ENSGALG00000029572	2
ENSMUSG00000000938	6	ENSGALG00000026631	2
ENSMUSG00000000942	6	ENSGALG00000022622	2
ENSMUSG00000000976	11	ENSGALG00000005516	19
ENSMUSG00000001016	3	ENSGALG00000011570	25
ENSMUSG00000001017	3	ENSGALG00000042129	25
ENSMUSG00000001018	3	ENSGALG00000026796	25
ENSMUSG00000001025	3	ENSGALG00000041826	25
ENSMUSG00000001027	11	ENSGALG00000034427	27
ENSMUSG00000001036	11	ENSGALG00000035919	14
ENSMUSG00000001039	11	ENSGALG00000005096	14
ENSMUSG00000001052	3	ENSGALG00000035482	4
ENSMUSG00000001053	11	ENSGALG00000041754	13
ENSMUSG00000001056	11	ENSGALG00000033666	13
ENSMUSG00000001062	8	ENSGALG00000023468	11
ENSMUSG00000001065	8	ENSGALG00000000513	11
ENSMUSG00000001076	15	ENSGALG00000043798	AADN04000737.1
ENSMUSG00000001082	5	ENSGALG00000015652	4
ENSMUSG00000001089	4	ENSGALG00000025858	23
ENSMUSG00000001095	11	ENSGALG00000003647	19
ENSMUSG00000001098	5	ENSGALG00000005138	15
ENSMUSG00000001100	11	ENSGALG00000003211	19
ENSMUSG00000001103	11	ENSGALG00000032393	19
ENSMUSG00000001105	11	ENSGALG00000005707	19
ENSMUSG00000001119	10	ENSGALG00000005974	7
ENSMUSG00000001120	10	ENSGALG00000004394	7
ENSMUSG00000001143	1	ENSGALG00000041177	KQ759471.1
ENSMUSG00000001150	10	ENSGALG00000004363	7
ENSMUSG00000001151	10	ENSGALG00000007021	7
ENSMUSG00000001155	10	ENSGALG00000006131	7
ENSMUSG00000001156	6	ENSGALG00000013882	22
ENSMUSG00000001158	6	ENSGALG00000013883	22
ENSMUSG00000001173	X	ENSGALG00000003920	4
ENSMUSG00000001211	10	ENSGALG00000031932	1
ENSMUSG00000001225	12	ENSGALG00000007959	1
ENSMUSG00000001227	17	ENSGALG00000001171	28
ENSMUSG00000001228	17	ENSGALG00000034271	28
ENSMUSG00000001229	17	ENSGALG00000004200	28
ENSMUSG00000001240	11	ENSGALG00000024449	27
ENSMUSG00000001260	5	ENSGALG00000020143	4
ENSMUSG00000001270	12	ENSGALG00000011511	5
ENSMUSG00000001280	15	ENSGALG00000035487	33
ENSMUSG00000001285	15	ENSGALG00000037688	AADN04000776.1
ENSMUSG00000001288	15	ENSGALG00000033404	AADN04022860.1
ENSMUSG00000001289	15	ENSGALG00000041924	AADN04000745.1
ENSMUSG00000001300	8	ENSGALG00000029175	1
ENSMUSG00000001305	1	ENSGALG00000009615	3
ENSMUSG00000001313	11	ENSGALG00000002804	27
ENSMUSG00000001323	11	ENSGALG00000003155	19
ENSMUSG00000001333	4	ENSGALG00000003529	23
ENSMUSG00000001334	4	ENSGALG00000003567	23
ENSMUSG00000001348	9	ENSGALG00000032854	AADN04001212.1
ENSMUSG00000001349	9	ENSGALG00000041266	AADN04001212.1
ENSMUSG00000001366	9	ENSGALG00000016320	3
ENSMUSG00000001376	6	ENSGALG00000009500	2
ENSMUSG00000001383	18	ENSGALG00000041746	13
ENSMUSG00000001415	3	ENSGALG00000029918	25
ENSMUSG00000001416	3	ENSGALG00000039205	25
ENSMUSG00000001418	3	ENSGALG00000045611	25
ENSMUSG00000001419	3	ENSGALG00000037787	25
ENSMUSG00000001420	3	ENSGALG00000039643	25
ENSMUSG00000001435	10	ENSGALG00000038311	7
ENSMUSG00000001436	10	ENSGALG00000030511	7
ENSMUSG00000001440	11	ENSGALG00000036962	27
ENSMUSG00000001441	11	ENSGALG00000031332	27
ENSMUSG00000001445	11	ENSGALG00000014387	27
ENSMUSG00000001467	5	ENSGALG00000009365	2
ENSMUSG00000001472	8	ENSGALG00000000129	11
ENSMUSG00000001473	18	ENSGALG00000031275	2
ENSMUSG00000001482	8	ENSGALG00000025712	11
ENSMUSG00000001493	11	ENSGALG00000001191	27
ENSMUSG00000001494	11	ENSGALG00000009929	27
ENSMUSG00000001496	12	ENSGALG00000037632	5
ENSMUSG00000001497	12	ENSGALG00000010114	5
ENSMUSG00000001504	13	ENSGALG00000013193	2
ENSMUSG00000001506	11	ENSGALG00000041555	AADN04001035.1
ENSMUSG00000001507	11	ENSGALG00000032702	27
ENSMUSG00000001508	11	ENSGALG00000029917	AADN04002558.1
ENSMUSG00000001518	6	ENSGALG00000014335	1
ENSMUSG00000001521	6	ENSGALG00000013424	1
ENSMUSG00000001525	17	ENSGALG00000041471	KQ759552.1
ENSMUSG00000001542	13	ENSGALG00000014678	Z
ENSMUSG00000001552	11	ENSGALG00000017414	27
ENSMUSG00000001555	11	ENSGALG00000025764	27
ENSMUSG00000001558	11	ENSGALG00000003624	27
ENSMUSG00000001566	5	ENSGALG00000041154	2
ENSMUSG00000001569	5	ENSGALG00000006437	2
ENSMUSG00000001576	17	ENSGALG00000002863	13
ENSMUSG00000001588	11	ENSGALG00000040351	AADN04000710.1
ENSMUSG00000001604	4	ENSGALG00000038170	AADN04024479.1
ENSMUSG00000001627	12	ENSGALG00000009448	1
ENSMUSG00000001630	6	ENSGALG00000014094	1
ENSMUSG00000001632	6	ENSGALG00000033529	12
ENSMUSG00000001657	15	ENSGALG00000037262	33
ENSMUSG00000001661	15	ENSGALG00000039051	33
ENSMUSG00000001666	10	ENSGALG00000006350	15
ENSMUSG00000001670	8	ENSGALG00000000893	11
ENSMUSG00000001672	8	ENSGALG00000012886	2
ENSMUSG00000001674	1	ENSGALG00000012147	7
ENSMUSG00000001687	5	ENSGALG00000017084	1
ENSMUSG00000001700	18	ENSGALG00000008237	Z
ENSMUSG00000001707	13	ENSGALG00000012781	2
ENSMUSG00000001729	12	ENSGALG00000011620	5
ENSMUSG00000001741	7	ENSGALG00000006388	10
ENSMUSG00000001750	19	ENSGALG00000036069	5
ENSMUSG00000001751	11	ENSGALG00000032610	27
ENSMUSG00000001755	11	ENSGALG00000028866	27
ENSMUSG00000001761	6	ENSGALG00000036114	1
ENSMUSG00000001767	2	ENSGALG00000008429	3
ENSMUSG00000001768	2	ENSGALG00000008457	3
ENSMUSG00000001773	7	ENSGALG00000017234	1
ENSMUSG00000001774	9	ENSGALG00000035461	1
ENSMUSG00000001783	10	ENSGALG00000012611	1
ENSMUSG00000001785	10	ENSGALG00000012631	1
ENSMUSG00000001786	10	ENSGALG00000012569	1
ENSMUSG00000001802	7	ENSGALG00000004853	11
ENSMUSG00000001815	2	ENSGALG00000020768	7
ENSMUSG00000001819	2	ENSGALG00000032039	7
ENSMUSG00000001823	2	ENSGALG00000009274	7
ENSMUSG00000001829	7	ENSGALG00000041552	KQ759555.1
ENSMUSG00000001833	9	ENSGALG00000032830	2
ENSMUSG00000001844	5	ENSGALG00000005905	14
ENSMUSG00000001847	5	ENSGALG00000007130	14
ENSMUSG00000001855	2	ENSGALG00000041111	17
ENSMUSG00000001864	2	ENSGALG00000029834	17
ENSMUSG00000001870	17	ENSGALG00000010448	3
ENSMUSG00000001891	11	ENSGALG00000008855	3
ENSMUSG00000001911	8	ENSGALG00000041630	AADN04001212.1
ENSMUSG00000001930	6	ENSGALG00000017272	1
ENSMUSG00000001946	9	ENSGALG00000032943	24
ENSMUSG00000001985	4	ENSGALG00000002098	23
ENSMUSG00000001986	X	ENSGALG00000034109	4
ENSMUSG00000001995	8	ENSGALG00000037506	3
ENSMUSG00000001999	2	ENSGALG00000031786	2
ENSMUSG00000002014	X	ENSGALG00000032485	AADN04002404.1
ENSMUSG00000002017	17	ENSGALG00000010428	3
ENSMUSG00000002020	12	ENSGALG00000010258	5
ENSMUSG00000002028	9	ENSGALG00000006818	24
ENSMUSG00000002031	9	ENSGALG00000007438	24
ENSMUSG00000002052	11	ENSGALG00000000146	19
ENSMUSG00000002057	11	ENSGALG00000043868	19
ENSMUSG00000002058	11	ENSGALG00000003657	19
ENSMUSG00000002059	11	ENSGALG00000026315	19
ENSMUSG00000002064	11	ENSGALG00000037709	19
ENSMUSG00000002068	7	ENSGALG00000004494	11
ENSMUSG00000002076	17	ENSGALG00000016202	1
ENSMUSG00000002100	2	ENSGALG00000008148	5
ENSMUSG00000002102	2	ENSGALG00000008108	5
ENSMUSG00000002103	2	ENSGALG00000008211	5
ENSMUSG00000002104	2	ENSGALG00000008100	5
ENSMUSG00000002105	2	ENSGALG00000008122	5
ENSMUSG00000002107	2	ENSGALG00000034590	1
ENSMUSG00000002108	2	ENSGALG00000038059	5
ENSMUSG00000002109	2	ENSGALG00000008218	5
ENSMUSG00000002111	2	ENSGALG00000008127	5
ENSMUSG00000002129	11	ENSGALG00000007937	15
ENSMUSG00000002147	10	ENSGALG00000029530	AADN04013549.1
ENSMUSG00000002190	8	ENSGALG00000009826	4
ENSMUSG00000002205	7	ENSGALG00000035029	14
ENSMUSG00000002221	5	ENSGALG00000036064	2
ENSMUSG00000002222	6	ENSGALG00000015815	4
ENSMUSG00000002227	3	ENSGALG00000001558	26
ENSMUSG00000002228	3	ENSGALG00000001605	26
ENSMUSG00000002233	3	ENSGALG00000001569	26
ENSMUSG00000002249	17	ENSGALG00000043513	26
ENSMUSG00000002250	17	ENSGALG00000002588	26
ENSMUSG00000002257	17	ENSGALG00000002615	26
ENSMUSG00000002274	17	ENSGALG00000035634	14
ENSMUSG00000002279	17	ENSGALG00000044187	14
ENSMUSG00000002280	17	ENSGALG00000005365	14
ENSMUSG00000002289	17	ENSGALG00000000619	28
ENSMUSG00000002297	5	ENSGALG00000008963	2
ENSMUSG00000002319	14	ENSGALG00000039071	AADN04003083.1
ENSMUSG00000002341	8	ENSGALG00000036484	28
ENSMUSG00000002342	8	ENSGALG00000025809	28
ENSMUSG00000002343	8	ENSGALG00000003024	28
ENSMUSG00000002346	8	ENSGALG00000002621	28
ENSMUSG00000002365	17	ENSGALG00000013710	3
ENSMUSG00000002372	17	ENSGALG00000000577	28
ENSMUSG00000002379	17	ENSGALG00000021692	28
ENSMUSG00000002393	8	ENSGALG00000043010	28
ENSMUSG00000002395	8	ENSGALG00000003703	28
ENSMUSG00000002396	8	ENSGALG00000031490	28
ENSMUSG00000002409	7	ENSGALG00000029753	AADN04012296.1
ENSMUSG00000002413	6	ENSGALG00000012865	1
ENSMUSG00000002416	6	ENSGALG00000032595	1
ENSMUSG00000002455	2	ENSGALG00000006001	20
ENSMUSG00000002458	2	ENSGALG00000021079	20
ENSMUSG00000002459	1	ENSGALG00000025941	2
ENSMUSG00000002475	18	ENSGALG00000014938	2
ENSMUSG00000002477	18	ENSGALG00000041334	2
ENSMUSG00000002486	5	ENSGALG00000035049	15
ENSMUSG00000002489	16	ENSGALG00000015842	1
ENSMUSG00000002496	17	ENSGALG00000005646	14
ENSMUSG00000002500	17	ENSGALG00000005458	14
ENSMUSG00000002504	17	ENSGALG00000005608	14
ENSMUSG00000002524	15	ENSGALG00000039901	2
ENSMUSG00000002546	2	ENSGALG00000004881	17
ENSMUSG00000002550	2	ENSGALG00000003732	17
ENSMUSG00000002565	12	ENSGALG00000010770	2
ENSMUSG00000002578	10	ENSGALG00000035734	33
ENSMUSG00000002580	11	ENSGALG00000026328	27
ENSMUSG00000002603	7	ENSGALG00000031325	AADN04001188.1
ENSMUSG00000002608	7	ENSGALG00000032223	AADN04001188.1
ENSMUSG00000002625	17	ENSGALG00000039974	KQ759480.1
ENSMUSG00000002633	5	ENSGALG00000006379	2
ENSMUSG00000002660	17	ENSGALG00000029438	AADN04012782.1
ENSMUSG00000002679	12	ENSGALG00000029743	5
ENSMUSG00000002688	12	ENSGALG00000009900	5
ENSMUSG00000002699	11	ENSGALG00000002113	13
ENSMUSG00000002718	2	ENSGALG00000004707	20
ENSMUSG00000002728	2	ENSGALG00000012587	7
ENSMUSG00000002732	2	ENSGALG00000009149	7
ENSMUSG00000002733	2	ENSGALG00000009135	7
ENSMUSG00000002748	5	ENSGALG00000029408	19
ENSMUSG00000002763	17	ENSGALG00000045514	3
ENSMUSG00000002767	17	ENSGALG00000008597	3
ENSMUSG00000002768	17	ENSGALG00000033894	3
ENSMUSG00000002769	17	ENSGALG00000043290	3
ENSMUSG00000002797	6	ENSGALG00000030552	2
ENSMUSG00000002799	12	ENSGALG00000011696	5
ENSMUSG00000002803	12	ENSGALG00000033813	5
ENSMUSG00000002804	12	ENSGALG00000028940	5
ENSMUSG00000002808	13	ENSGALG00000042063	2
ENSMUSG00000002812	11	ENSGALG00000004997	14
ENSMUSG00000002814	11	ENSGALG00000005028	14
ENSMUSG00000002820	9	ENSGALG00000036957	AADN04020544.1
ENSMUSG00000002833	17	ENSGALG00000027068	28
ENSMUSG00000002835	17	ENSGALG00000001126	28
ENSMUSG00000002844	16	ENSGALG00000015473	1
ENSMUSG00000002845	16	ENSGALG00000015073	1
ENSMUSG00000002846	16	ENSGALG00000024480	1
ENSMUSG00000002847	16	ENSGALG00000014997	1
ENSMUSG00000002870	6	ENSGALG00000006037	12
ENSMUSG00000002871	6	ENSGALG00000006047	12
ENSMUSG00000002881	1	ENSGALG00000037778	7
ENSMUSG00000002897	6	ENSGALG00000033887	1
ENSMUSG00000002900	12	ENSGALG00000007905	1
ENSMUSG00000002908	8	ENSGALG00000031411	28
ENSMUSG00000002910	8	ENSGALG00000003527	28
ENSMUSG00000002930	6	ENSGALG00000036390	2
ENSMUSG00000002949	8	ENSGALG00000000352	28
ENSMUSG00000002957	7	ENSGALG00000006799	5
ENSMUSG00000002996	12	ENSGALG00000008050	1
ENSMUSG00000002997	12	ENSGALG00000008060	1
ENSMUSG00000003031	6	ENSGALG00000022980	1
ENSMUSG00000003032	4	ENSGALG00000026928	Z
ENSMUSG00000003033	8	ENSGALG00000003959	28
ENSMUSG00000003037	8	ENSGALG00000028851	28
ENSMUSG00000003039	8	ENSGALG00000036474	28
ENSMUSG00000003051	1	ENSGALG00000000616	26
ENSMUSG00000003062	13	ENSGALG00000033038	2
ENSMUSG00000003068	10	ENSGALG00000040008	28
ENSMUSG00000003070	10	ENSGALG00000038629	28
ENSMUSG00000003072	10	ENSGALG00000032875	28
ENSMUSG00000003119	11	ENSGALG00000001731	27
ENSMUSG00000003134	1	ENSGALG00000016776	1
ENSMUSG00000003153	6	ENSGALG00000014324	1
ENSMUSG00000003154	6	ENSGALG00000014329	1
ENSMUSG00000003161	5	ENSGALG00000008985	2
ENSMUSG00000003199	17	ENSGALG00000034087	28
ENSMUSG00000003200	17	ENSGALG00000001121	28
ENSMUSG00000003208	17	ENSGALG00000041520	28
ENSMUSG00000003226	10	ENSGALG00000016808	1
ENSMUSG00000003227	10	ENSGALG00000016809	1
ENSMUSG00000003228	19	ENSGALG00000009403	6
ENSMUSG00000003233	16	ENSGALG00000008414	9
ENSMUSG00000003234	16	ENSGALG00000008480	9
ENSMUSG00000003235	16	ENSGALG00000008376	9
ENSMUSG00000003279	17	ENSGALG00000014793	2
ENSMUSG00000003282	4	ENSGALG00000015407	2
ENSMUSG00000003283	2	ENSGALG00000006522	20
ENSMUSG00000003299	9	ENSGALG00000034194	AADN04006518.1
ENSMUSG00000003308	9	ENSGALG00000033123	KQ759610.1
ENSMUSG00000003309	9	ENSGALG00000045820	AADN04020256.1
ENSMUSG00000003316	8	ENSGALG00000039818	11
ENSMUSG00000003341	10	ENSGALG00000001084	28
ENSMUSG00000003344	10	ENSGALG00000001019	28
ENSMUSG00000003345	10	ENSGALG00000027540	28
ENSMUSG00000003346	10	ENSGALG00000041163	28
ENSMUSG00000003348	10	ENSGALG00000031729	28
ENSMUSG00000003354	15	ENSGALG00000030917	KQ759553.1
ENSMUSG00000003355	15	ENSGALG00000035060	KQ759553.1
ENSMUSG00000003360	15	ENSGALG00000032307	KQ759553.1
ENSMUSG00000003382	3	ENSGALG00000000669	25
ENSMUSG00000003418	2	ENSGALG00000008671	2
ENSMUSG00000003429	7	ENSGALG00000017299	1
ENSMUSG00000003435	7	ENSGALG00000039160	32
ENSMUSG00000003437	7	ENSGALG00000037879	32
ENSMUSG00000003444	7	ENSGALG00000029330	32
ENSMUSG00000003452	6	ENSGALG00000032522	1
ENSMUSG00000003458	1	ENSGALG00000009147	25
ENSMUSG00000003476	6	ENSGALG00000005657	2
ENSMUSG00000003518	11	ENSGALG00000035369	27
ENSMUSG00000003526	16	ENSGALG00000007728	15
ENSMUSG00000003527	16	ENSGALG00000005885	15
ENSMUSG00000003531	16	ENSGALG00000027369	15
ENSMUSG00000003545	7	ENSGALG00000041280	KQ759568.1
ENSMUSG00000003555	19	ENSGALG00000008121	6
ENSMUSG00000003559	19	ENSGALG00000008133	6
ENSMUSG00000003573	8	ENSGALG00000003074	28
ENSMUSG00000003575	8	ENSGALG00000003304	28
ENSMUSG00000003581	11	ENSGALG00000040925	15
ENSMUSG00000003604	2	ENSGALG00000009642	5
ENSMUSG00000003617	3	ENSGALG00000030773	9
ENSMUSG00000003623	5	ENSGALG00000008813	2
ENSMUSG00000003644	4	ENSGALG00000037136	23
ENSMUSG00000003657	8	ENSGALG00000026903	11
ENSMUSG00000003660	2	ENSGALG00000031298	AADN04000952.1
ENSMUSG00000003662	2	ENSGALG00000035817	AADN04000952.1
ENSMUSG00000003721	1	ENSGALG00000028046	7
ENSMUSG00000003731	4	ENSGALG00000003383	23
ENSMUSG00000003746	10	ENSGALG00000014878	3
ENSMUSG00000003778	18	ENSGALG00000037646	13
ENSMUSG00000003779	18	ENSGALG00000035030	13
ENSMUSG00000003808	8	ENSGALG00000040258	30
ENSMUSG00000003809	8	ENSGALG00000034917	30
ENSMUSG00000003810	4	ENSGALG00000010313	8
ENSMUSG00000003813	8	ENSGALG00000033532	30
ENSMUSG00000003814	8	ENSGALG00000040368	30
ENSMUSG00000003847	8	ENSGALG00000039300	11
ENSMUSG00000003848	8	ENSGALG00000000693	11
ENSMUSG00000003849	8	ENSGALG00000023437	11
ENSMUSG00000003868	7	ENSGALG00000036359	KQ759715.1
ENSMUSG00000003872	7	ENSGALG00000030321	AADN04010111.1
ENSMUSG00000003882	15	ENSGALG00000013372	Z
ENSMUSG00000003923	10	ENSGALG00000002703	6
ENSMUSG00000003948	11	ENSGALG00000003078	18
ENSMUSG00000003949	11	ENSGALG00000003059	18
ENSMUSG00000003955	16	ENSGALG00000007378	1
ENSMUSG00000003970	15	ENSGALG00000016232	1
ENSMUSG00000003974	5	ENSGALG00000006576	1
ENSMUSG00000003992	13	ENSGALG00000023089	Z
ENSMUSG00000004018	11	ENSGALG00000030022	3
ENSMUSG00000004031	1	ENSGALG00000004448	8
ENSMUSG00000004040	11	ENSGALG00000003267	27
ENSMUSG00000004044	11	ENSGALG00000003261	27
ENSMUSG00000004056	7	ENSGALG00000037736	AADN04006090.1
ENSMUSG00000004069	16	ENSGALG00000007821	14
ENSMUSG00000004070	16	ENSGALG00000007638	14
ENSMUSG00000004071	16	ENSGALG00000036502	14
ENSMUSG00000004085	2	ENSGALG00000035237	7
ENSMUSG00000004096	9	ENSGALG00000017207	1
ENSMUSG00000004099	9	ENSGALG00000038018	KQ759557.1
ENSMUSG00000004105	2	ENSGALG00000000927	17
ENSMUSG00000004110	1	ENSGALG00000003833	8
ENSMUSG00000004113	2	ENSGALG00000008456	17
ENSMUSG00000004127	3	ENSGALG00000012264	4
ENSMUSG00000004151	12	ENSGALG00000035504	2
ENSMUSG00000004231	19	ENSGALG00000005689	6
ENSMUSG00000004233	3	ENSGALG00000014772	1
ENSMUSG00000004264	6	ENSGALG00000014567	1
ENSMUSG00000004266	6	ENSGALG00000014561	1
ENSMUSG00000004267	6	ENSGALG00000014528	1
ENSMUSG00000004268	6	ENSGALG00000014568	1
ENSMUSG00000004270	6	ENSGALG00000014570	1
ENSMUSG00000004296	11	ENSGALG00000001409	13
ENSMUSG00000004317	X	ENSGALG00000007234	4
ENSMUSG00000004319	8	ENSGALG00000009674	4
ENSMUSG00000004328	7	ENSGALG00000039681	KQ759568.1
ENSMUSG00000004347	6	ENSGALG00000039935	2
ENSMUSG00000004356	10	ENSGALG00000011643	1
ENSMUSG00000004359	10	ENSGALG00000027209	1
ENSMUSG00000004360	10	ENSGALG00000030211	3
ENSMUSG00000004364	1	ENSGALG00000005108	9
ENSMUSG00000004366	16	ENSGALG00000007361	9
ENSMUSG00000004383	8	ENSGALG00000012559	1
ENSMUSG00000004415	5	ENSGALG00000043223	19
ENSMUSG00000004446	6	ENSGALG00000013039	1
ENSMUSG00000004451	1	ENSGALG00000026493	7
ENSMUSG00000004455	5	ENSGALG00000004571	15
ENSMUSG00000004460	16	ENSGALG00000006564	9
ENSMUSG00000004462	16	ENSGALG00000006566	9
ENSMUSG00000004530	5	ENSGALG00000004901	15
ENSMUSG00000004535	6	ENSGALG00000042822	2
ENSMUSG00000004552	1	ENSGALG00000000786	26
ENSMUSG00000004565	8	ENSGALG00000039408	KQ759549.1
ENSMUSG00000004567	8	ENSGALG00000034328	KQ759549.1
ENSMUSG00000004568	8	ENSGALG00000003572	28
ENSMUSG00000004591	3	ENSGALG00000006237	8
ENSMUSG00000004631	6	ENSGALG00000009670	2
ENSMUSG00000004633	6	ENSGALG00000011164	2
ENSMUSG00000004637	8	ENSGALG00000005377	11
ENSMUSG00000004642	5	ENSGALG00000015712	4
ENSMUSG00000004651	7	ENSGALG00000017237	1
ENSMUSG00000004654	6	ENSGALG00000005212	2
ENSMUSG00000004655	6	ENSGALG00000005209	2
ENSMUSG00000004661	9	ENSGALG00000001376	10
