Human	ChrHuman	Platypus	ChrPlatypus
ENSG00000004766	7	ENSOANG00000002556	Contig11600
ENSG00000004777	19	ENSOANG00000012266	Contig38191
ENSG00000004779	16	ENSOANG00000020196	2
ENSG00000004799	7	ENSOANG00000014566	Contig5885
ENSG00000004809	6	ENSOANG00000029859	Contig28253
ENSG00000004838	3	ENSOANG00000014319	Contig13431
ENSG00000004848	X	ENSOANG00000031800	Contig43681
ENSG00000004866	7	ENSOANG00000008765	Ultra479
ENSG00000004939	17	ENSOANG00000002629	Contig30638
ENSG00000004961	X	ENSOANG00000012100	Contig4370
ENSG00000004975	17	ENSOANG00000008233	Contig20649
ENSG00000005001	16	ENSOANG00000003896	Contig10377
ENSG00000005007	19	ENSOANG00000004568	Ultra49
ENSG00000005020	7	ENSOANG00000009162	Ultra231
ENSG00000005022	X	ENSOANG00000012943	Ultra15
ENSG00000005059	4	ENSOANG00000003662	Ultra445
ENSG00000005073	7	ENSOANG00000009172	Ultra231
ENSG00000005108	7	ENSOANG00000006331	Ultra80
ENSG00000005156	17	ENSOANG00000032003	Contig46273
ENSG00000005175	12	ENSOANG00000021025	Contig8901
ENSG00000005189	16	ENSOANG00000014291	2
ENSG00000005206	19	ENSOANG00000009197	Ultra266
ENSG00000005249	7	ENSOANG00000003166	Ultra5
ENSG00000005302	X	ENSOANG00000002623	Ultra462
ENSG00000005339	16	ENSOANG00000005845	Contig596
ENSG00000005379	17	ENSOANG00000004747	Contig12356
ENSG00000005381	17	ENSOANG00000013085	Contig19406
ENSG00000005436	2	ENSOANG00000009856	Ultra508
ENSG00000005448	2	ENSOANG00000032117	Contig32677
ENSG00000005469	7	ENSOANG00000004424	15
ENSG00000005483	7	ENSOANG00000015039	Ultra5
ENSG00000005486	7	ENSOANG00000021499	Contig65817
ENSG00000005700	6	ENSOANG00000001284	Ultra483
ENSG00000005810	13	ENSOANG00000029278	Contig41577
ENSG00000005812	13	ENSOANG00000012185	Ultra16
ENSG00000005844	16	ENSOANG00000013667	Contig24455
ENSG00000005882	17	ENSOANG00000008198	Contig34161
ENSG00000005884	17	ENSOANG00000000624	Contig9015
ENSG00000005893	X	ENSOANG00000002580	Ultra390
ENSG00000006007	16	ENSOANG00000003218	2
ENSG00000006016	19	ENSOANG00000011428	Contig47536
ENSG00000006025	17	ENSOANG00000006796	Contig13892
ENSG00000006042	17	ENSOANG00000031265	Contig29100
ENSG00000006062	17	ENSOANG00000006853	Contig21793
ENSG00000006071	11	ENSOANG00000007680	Ultra270
ENSG00000006116	16	ENSOANG00000015224	2
ENSG00000006118	11	ENSOANG00000014337	Ultra475
ENSG00000006128	7	ENSOANG00000020331	Contig23277
ENSG00000006194	16	ENSOANG00000019814	Contig3682
ENSG00000006210	16	ENSOANG00000013742	Ultra517
ENSG00000006283	17	ENSOANG00000012911	Contig1137
ENSG00000006327	16	ENSOANG00000002457	Contig91665
ENSG00000006377	7	ENSOANG00000001698	Contig11855
ENSG00000006432	14	ENSOANG00000019900	Contig60902
ENSG00000006451	7	ENSOANG00000009445	Ultra398
ENSG00000006453	7	ENSOANG00000001935	2
ENSG00000006459	7	ENSOANG00000003792	Ultra121
ENSG00000006468	7	ENSOANG00000005765	Ultra80
ENSG00000006530	7	ENSOANG00000001364	Contig3378
ENSG00000006576	7	ENSOANG00000015067	Ultra5
ENSG00000006607	2	ENSOANG00000011757	7
ENSG00000006611	11	ENSOANG00000007679	Ultra270
ENSG00000006638	19	ENSOANG00000013517	Contig12797
ENSG00000006695	17	ENSOANG00000009654	Ultra151
ENSG00000006704	7	ENSOANG00000006511	Contig18996
ENSG00000006712	19	ENSOANG00000031832	Contig60965
ENSG00000006740	17	ENSOANG00000009395	Contig7919
ENSG00000006744	17	ENSOANG00000029080	Contig59246
ENSG00000006747	7	ENSOANG00000005761	Ultra80
ENSG00000006788	17	ENSOANG00000014584	Contig765
ENSG00000006831	12	ENSOANG00000008857	Contig2988
ENSG00000006837	5	ENSOANG00000000233	Ultra364
ENSG00000007062	4	ENSOANG00000013966	4
ENSG00000007080	19	ENSOANG00000014737	Contig11940
ENSG00000007168	17	ENSOANG00000015076	Ultra382
ENSG00000007171	17	ENSOANG00000005664	Ultra17
ENSG00000007202	17	ENSOANG00000014176	Ultra17
ENSG00000007216	17	ENSOANG00000013420	Ultra17
ENSG00000007255	19	ENSOANG00000013001	Contig11829
ENSG00000007264	19	ENSOANG00000010674	Contig8323
ENSG00000007312	17	ENSOANG00000020012	Contig20265
ENSG00000007314	17	ENSOANG00000009384	Contig5546
ENSG00000007372	11	ENSOANG00000015149	3
ENSG00000007376	16	ENSOANG00000030625	Contig43748
ENSG00000007384	16	ENSOANG00000010977	Contig20346
ENSG00000007392	16	ENSOANG00000008741	Contig17931
ENSG00000007516	16	ENSOANG00000020781	Contig19744
ENSG00000007520	16	ENSOANG00000013594	Contig27965
ENSG00000007541	16	ENSOANG00000013502	Contig3959
ENSG00000007545	16	ENSOANG00000002915	Contig1369
ENSG00000007866	6	ENSOANG00000014121	Contig11966
ENSG00000007908	1	ENSOANG00000000876	Ultra341
ENSG00000007933	1	ENSOANG00000000895	Ultra341
ENSG00000007944	6	ENSOANG00000003448	Contig7378
ENSG00000008018	6	ENSOANG00000001704	Contig27815
ENSG00000008056	X	ENSOANG00000030207	Contig20209
ENSG00000008083	6	ENSOANG00000011869	Ultra144
ENSG00000008086	X	ENSOANG00000004037	Ultra462
ENSG00000008118	1	ENSOANG00000013758	7
ENSG00000008130	1	ENSOANG00000006377	Ultra468
ENSG00000008196	6	ENSOANG00000003130	X1
ENSG00000008197	6	ENSOANG00000003129	X1
ENSG00000008256	7	ENSOANG00000003277	Ultra371
ENSG00000008277	7	ENSOANG00000005171	15
ENSG00000008294	17	ENSOANG00000010297	Contig4033
ENSG00000008300	3	ENSOANG00000001847	Ultra32
ENSG00000008311	7	ENSOANG00000004822	10
ENSG00000008324	3	ENSOANG00000009580	Ultra517
ENSG00000008382	19	ENSOANG00000031404	Contig143635
ENSG00000008405	12	ENSOANG00000005530	Ultra443
ENSG00000008438	19	ENSOANG00000030126	Contig17172
ENSG00000008441	19	ENSOANG00000030883	Ultra326
ENSG00000008513	8	ENSOANG00000010057	Contig510
ENSG00000008516	16	ENSOANG00000007228	Contig22653
ENSG00000008710	16	ENSOANG00000032292	Contig35712
ENSG00000008735	22	ENSOANG00000014688	Contig13589
ENSG00000008853	8	ENSOANG00000013874	5
ENSG00000008869	2	ENSOANG00000008081	X1
ENSG00000008952	3	ENSOANG00000007659	Contig3183
ENSG00000008988	8	ENSOANG00000005502	7
ENSG00000009307	1	ENSOANG00000003346	Contig3911
ENSG00000009335	7	ENSOANG00000006137	Ultra274
ENSG00000009694	X	ENSOANG00000002856	Contig92839
ENSG00000009724	1	ENSOANG00000013321	Ultra490
ENSG00000009765	6	ENSOANG00000001070	3
ENSG00000009780	1	ENSOANG00000009599	Contig6564
ENSG00000009790	1	ENSOANG00000022477	Contig32622
ENSG00000009830	14	ENSOANG00000010598	Contig409
ENSG00000009844	6	ENSOANG00000005284	2
ENSG00000009950	7	ENSOANG00000022370	Contig20778
ENSG00000009954	7	ENSOANG00000013571	Contig19190
ENSG00000010017	6	ENSOANG00000006975	Ultra474
ENSG00000010030	6	ENSOANG00000006900	Contig7422
ENSG00000010072	1	ENSOANG00000013723	Contig696
ENSG00000010165	1	ENSOANG00000000905	Ultra341
ENSG00000010244	17	ENSOANG00000011104	Ultra151
ENSG00000010256	3	ENSOANG00000001852	Ultra32
ENSG00000010270	7	ENSOANG00000015122	Ultra117
ENSG00000010278	12	ENSOANG00000000758	Contig24475
ENSG00000010282	3	ENSOANG00000004353	Contig39312
ENSG00000010292	12	ENSOANG00000003013	Contig20610
ENSG00000010295	12	ENSOANG00000001990	Ultra429
ENSG00000010318	3	ENSOANG00000021002	Contig13999
ENSG00000010322	3	ENSOANG00000001501	Ultra529
ENSG00000010327	3	ENSOANG00000001499	Ultra529
ENSG00000010361	19	ENSOANG00000021664	Contig34083
ENSG00000010379	12	ENSOANG00000010939	Ultra114
ENSG00000010610	12	ENSOANG00000006564	Contig12790
ENSG00000010626	12	ENSOANG00000003356	Contig13294
ENSG00000010671	X	ENSOANG00000004224	Ultra519
ENSG00000010704	6	ENSOANG00000003581	Ultra117
ENSG00000010803	1	ENSOANG00000002846	Contig21882
ENSG00000010810	6	ENSOANG00000012162	Ultra330
ENSG00000010818	6	ENSOANG00000007666	2
ENSG00000010932	1	ENSOANG00000000898	Ultra341
ENSG00000011009	1	ENSOANG00000004173	Contig17924
ENSG00000011021	1	ENSOANG00000002741	Contig2094
ENSG00000011028	17	ENSOANG00000029390	Contig55592
ENSG00000011083	5	ENSOANG00000002296	X1
ENSG00000011105	12	ENSOANG00000021934	Contig23904
ENSG00000011114	14	ENSOANG00000000444	Ultra378
ENSG00000011132	19	ENSOANG00000006293	Ultra355
ENSG00000011143	17	ENSOANG00000007356	Contig16732
ENSG00000011198	3	ENSOANG00000010081	Ultra51
ENSG00000011201	X	ENSOANG00000009692	Ultra462
ENSG00000011243	19	ENSOANG00000020789	Contig28698
ENSG00000011258	17	ENSOANG00000003190	Contig3720
ENSG00000011260	17	ENSOANG00000003189	Contig3720
ENSG00000011275	7	ENSOANG00000007717	2
ENSG00000011295	17	ENSOANG00000012683	Ultra69
ENSG00000011304	19	ENSOANG00000009191	Ultra266
ENSG00000011347	11	ENSOANG00000005810	Contig26551
ENSG00000011405	11	ENSOANG00000007685	Ultra270
ENSG00000011451	19	ENSOANG00000001542	Contig16204
ENSG00000011465	12	ENSOANG00000006630	Ultra443
ENSG00000011478	19	ENSOANG00000014943	Contig22793
ENSG00000011485	19	ENSOANG00000011946	Contig18600
ENSG00000011523	2	ENSOANG00000012437	Ultra56
ENSG00000011566	2	ENSOANG00000014972	1
ENSG00000011638	16	ENSOANG00000014286	2
ENSG00000011677	X	ENSOANG00000008728	Ultra519
ENSG00000012048	17	ENSOANG00000029258	Contig32358
ENSG00000012061	19	ENSOANG00000004536	Contig14162
ENSG00000012124	19	ENSOANG00000014495	Contig21033
ENSG00000012211	X	ENSOANG00000013579	Ultra295
ENSG00000012504	12	ENSOANG00000005583	Ultra443
ENSG00000012660	6	ENSOANG00000011799	Contig2492
ENSG00000012779	10	ENSOANG00000031131	Contig17238
ENSG00000012822	12	ENSOANG00000029163	Contig47293
ENSG00000013016	2	ENSOANG00000008249	Ultra2
ENSG00000013275	19	ENSOANG00000004174	Contig21483
ENSG00000013288	4	ENSOANG00000003982	Contig4744
ENSG00000013293	3	ENSOANG00000008030	Contig6325
ENSG00000013364	16	ENSOANG00000007170	Contig5306
ENSG00000013374	7	ENSOANG00000006176	Ultra274
ENSG00000013375	6	ENSOANG00000001277	Ultra483
ENSG00000013441	2	ENSOANG00000012539	Contig11597
ENSG00000013503	12	ENSOANG00000005536	Ultra443
ENSG00000013523	14	ENSOANG00000010589	Contig409
ENSG00000013561	5	ENSOANG00000007432	Ultra459
ENSG00000013563	X	ENSOANG00000031824	Contig7533
ENSG00000013573	12	ENSOANG00000000749	Contig4137
ENSG00000013583	12	ENSOANG00000002880	Contig6688
ENSG00000013588	12	ENSOANG00000001651	Contig11521
ENSG00000013619	X	ENSOANG00000011632	6
ENSG00000013725	11	ENSOANG00000013867	Contig24771
ENSG00000013810	4	ENSOANG00000029731	Ultra728
ENSG00000014138	11	ENSOANG00000029319	Contig100323
ENSG00000014164	8	ENSOANG00000003534	Contig341
ENSG00000014257	3	ENSOANG00000006774	Ultra117
ENSG00000014641	2	ENSOANG00000012426	Ultra56
ENSG00000014824	4	ENSOANG00000000330	Contig2991
ENSG00000014919	10	ENSOANG00000010125	Contig16967
ENSG00000015133	14	ENSOANG00000003810	Contig252
ENSG00000015153	12	ENSOANG00000000802	Ultra721
ENSG00000015171	10	ENSOANG00000006111	Ultra274
ENSG00000015285	X	ENSOANG00000015230	Contig8645
ENSG00000015413	16	ENSOANG00000004832	11
ENSG00000015475	22	ENSOANG00000011113	Contig19121
ENSG00000015520	7	ENSOANG00000006322	Contig6876
ENSG00000015532	17	ENSOANG00000030358	Contig37720
ENSG00000015592	8	ENSOANG00000011270	Contig18410
ENSG00000015676	7	ENSOANG00000015733	Contig25943
ENSG00000016082	5	ENSOANG00000010771	1
ENSG00000016391	3	ENSOANG00000014369	X1
ENSG00000016402	6	ENSOANG00000005257	2
ENSG00000016864	3	ENSOANG00000013435	Contig1718
ENSG00000017260	3	ENSOANG00000006763	Ultra117
ENSG00000017427	12	ENSOANG00000005566	Ultra443
ENSG00000017483	X	ENSOANG00000015229	Contig8645
ENSG00000017797	18	ENSOANG00000022556	Ultra495
ENSG00000018189	4	ENSOANG00000013695	Ultra362
ENSG00000018280	2	ENSOANG00000007050	Contig20536
ENSG00000018408	3	ENSOANG00000029245	Contig32869
ENSG00000018510	2	ENSOANG00000008624	Ultra514
ENSG00000018610	X	ENSOANG00000001808	Ultra15
ENSG00000018699	2	ENSOANG00000002333	1
ENSG00000019144	11	ENSOANG00000003754	Contig1194
ENSG00000019169	2	ENSOANG00000028572	Contig25009
ENSG00000019186	20	ENSOANG00000019907	Ultra516
ENSG00000019485	11	ENSOANG00000009486	Contig6170
ENSG00000019505	11	ENSOANG00000011928	Contig3228
ENSG00000019549	8	ENSOANG00000007267	7
ENSG00000019582	5	ENSOANG00000002309	X1
ENSG00000019991	7	ENSOANG00000003484	Ultra5
ENSG00000019995	10	ENSOANG00000020851	Contig9278
ENSG00000020129	1	ENSOANG00000013428	Ultra299
ENSG00000020181	8	ENSOANG00000030994	Contig16693
ENSG00000020256	20	ENSOANG00000003137	Ultra516
ENSG00000020426	14	ENSOANG00000009088	Contig283
ENSG00000020922	11	ENSOANG00000010399	Ultra29
ENSG00000021488	19	ENSOANG00000012726	Ultra517
ENSG00000021574	2	ENSOANG00000003943	X1
ENSG00000021776	15	ENSOANG00000002565	Contig7051
ENSG00000021826	2	ENSOANG00000030136	Contig15934
ENSG00000021852	1	ENSOANG00000020647	Contig13092
ENSG00000022267	X	ENSOANG00000011679	6
ENSG00000022277	20	ENSOANG00000009249	Ultra516
ENSG00000022567	8	ENSOANG00000009761	4
ENSG00000022976	14	ENSOANG00000005738	Ultra378
ENSG00000023041	10	ENSOANG00000001582	Ultra272
ENSG00000023171	11	ENSOANG00000015188	Ultra303
ENSG00000023191	11	ENSOANG00000011740	Ultra190
ENSG00000023287	8	ENSOANG00000007278	7
ENSG00000023318	9	ENSOANG00000002120	Contig308
ENSG00000023330	3	ENSOANG00000014853	14
ENSG00000023516	13	ENSOANG00000004640	20
ENSG00000023608	14	ENSOANG00000009093	Contig283
ENSG00000023697	12	ENSOANG00000029703	Contig9874
ENSG00000023839	10	ENSOANG00000005819	Contig1917
ENSG00000023892	6	ENSOANG00000015275	Contig25369
ENSG00000023909	1	ENSOANG00000005984	Contig9541
ENSG00000024048	6	ENSOANG00000008465	Ultra67
ENSG00000024422	19	ENSOANG00000031082	Contig29581
ENSG00000024526	1	ENSOANG00000006658	18
ENSG00000024862	6	ENSOANG00000014803	2
ENSG00000025039	6	ENSOANG00000004170	Contig3692
ENSG00000025156	6	ENSOANG00000014662	2
ENSG00000025293	20	ENSOANG00000007340	Contig7461
ENSG00000025434	11	ENSOANG00000006250	Contig4565
ENSG00000025708	22	ENSOANG00000028714	Contig22962
ENSG00000025770	22	ENSOANG00000029261	Contig81344
ENSG00000025796	6	ENSOANG00000000777	Ultra339
ENSG00000026025	10	ENSOANG00000002860	Contig18480
ENSG00000026103	10	ENSOANG00000028548	Contig26745
ENSG00000026508	11	ENSOANG00000007392	3
ENSG00000026559	20	ENSOANG00000008672	Ultra516
ENSG00000026652	6	ENSOANG00000030873	Contig33264
ENSG00000027001	13	ENSOANG00000009042	Contig59
ENSG00000027075	14	ENSOANG00000009091	Contig283
ENSG00000027697	6	ENSOANG00000005255	2
ENSG00000027847	5	ENSOANG00000004996	Contig1619
ENSG00000028116	2	ENSOANG00000011175	Ultra56
ENSG00000028137	1	ENSOANG00000022066	Contig17347
ENSG00000028203	12	ENSOANG00000006615	Ultra443
ENSG00000028277	19	ENSOANG00000009376	Contig33601
ENSG00000028310	5	ENSOANG00000006284	Contig3845
ENSG00000028528	15	ENSOANG00000020925	Contig3433
ENSG00000028839	6	ENSOANG00000013097	Ultra520
ENSG00000029363	6	ENSOANG00000009444	Ultra92
ENSG00000029364	14	ENSOANG00000012625	1
ENSG00000029534	8	ENSOANG00000000720	5
ENSG00000029559	4	ENSOANG00000013629	Contig263
ENSG00000029639	6	ENSOANG00000029761	Contig22690
ENSG00000029993	X	ENSOANG00000011637	6
ENSG00000030304	9	ENSOANG00000006972	X5
ENSG00000030419	2	ENSOANG00000009330	Ultra338
ENSG00000030582	17	ENSOANG00000004584	Contig20591
ENSG00000031691	6	ENSOANG00000008259	Ultra2
ENSG00000031698	1	ENSOANG00000009192	Contig10988
ENSG00000031823	19	ENSOANG00000004948	Ultra497
ENSG00000032219	14	ENSOANG00000011836	Contig214
ENSG00000032389	2	ENSOANG00000014791	Contig1941
ENSG00000032444	19	ENSOANG00000008685	Contig15241
ENSG00000032742	13	ENSOANG00000009025	Contig59
ENSG00000033030	12	ENSOANG00000006199	Ultra196
ENSG00000033050	7	ENSOANG00000006180	Ultra274
ENSG00000033100	7	ENSOANG00000006179	Ultra274
ENSG00000033122	1	ENSOANG00000015522	Ultra168
ENSG00000033170	14	ENSOANG00000028933	Contig7554
ENSG00000033178	4	ENSOANG00000003969	Ultra328
ENSG00000033627	17	ENSOANG00000031204	Contig34751
ENSG00000033800	15	ENSOANG00000013547	Contig102
ENSG00000033867	3	ENSOANG00000002769	Ultra51
ENSG00000034053	15	ENSOANG00000010369	5
ENSG00000034239	8	ENSOANG00000012123	Contig1087
ENSG00000034533	3	ENSOANG00000006766	Ultra117
ENSG00000034677	8	ENSOANG00000011988	Contig25816
ENSG00000034693	6	ENSOANG00000007664	2
ENSG00000034713	16	ENSOANG00000008177	11
ENSG00000034971	1	ENSOANG00000000901	Ultra341
ENSG00000035141	2	ENSOANG00000010216	Contig259748
ENSG00000035403	10	ENSOANG00000013816	Contig15429
ENSG00000035499	5	ENSOANG00000015126	Contig21116
ENSG00000035664	15	ENSOANG00000011145	Contig362
ENSG00000035681	8	ENSOANG00000005036	7
ENSG00000035687	1	ENSOANG00000010254	Ultra67
ENSG00000035720	4	ENSOANG00000003968	Ultra328
ENSG00000035928	4	ENSOANG00000010330	Ultra544
ENSG00000036054	3	ENSOANG00000007527	Contig14
ENSG00000036257	2	ENSOANG00000012372	Contig2127
ENSG00000036473	X	ENSOANG00000007118	Ultra222
ENSG00000036530	14	ENSOANG00000007692	Ultra378
ENSG00000036549	1	ENSOANG00000015757	Ultra486
ENSG00000036565	8	ENSOANG00000010571	5
ENSG00000036672	11	ENSOANG00000004771	Contig28344
ENSG00000037042	17	ENSOANG00000010449	Contig27132
ENSG00000037241	5	ENSOANG00000009354	Contig14806
ENSG00000037280	5	ENSOANG00000001739	Contig2228
ENSG00000037637	1	ENSOANG00000013366	Contig5238
ENSG00000037757	19	ENSOANG00000012399	Contig18971
ENSG00000037897	12	ENSOANG00000014393	Contig26312
ENSG00000037965	12	ENSOANG00000014218	Contig22942
ENSG00000038002	4	ENSOANG00000005290	Ultra105
ENSG00000038219	4	ENSOANG00000003426	Contig22109
ENSG00000038274	5	ENSOANG00000004634	Ultra701
ENSG00000038295	4	ENSOANG00000014482	12
ENSG00000038358	16	ENSOANG00000012299	Contig10617
ENSG00000038382	5	ENSOANG00000003032	Contig17673
ENSG00000038427	5	ENSOANG00000014761	1
ENSG00000038532	16	ENSOANG00000000742	Ultra434
ENSG00000038945	8	ENSOANG00000015004	Ultra442
ENSG00000039068	16	ENSOANG00000002356	11
ENSG00000039139	5	ENSOANG00000011603	Contig22
ENSG00000039319	5	ENSOANG00000001613	1
ENSG00000039537	5	ENSOANG00000000371	Ultra251
ENSG00000039560	5	ENSOANG00000010883	Contig4472
ENSG00000039600	5	ENSOANG00000021410	X1
ENSG00000039650	19	ENSOANG00000029273	Contig29571
ENSG00000040199	16	ENSOANG00000008185	11
ENSG00000040341	8	ENSOANG00000031011	Contig20651
ENSG00000040487	1	ENSOANG00000015344	Contig642
ENSG00000040531	17	ENSOANG00000012696	Ultra69
ENSG00000040633	17	ENSOANG00000031224	Contig63386
ENSG00000040731	5	ENSOANG00000002504	X2
ENSG00000041353	18	ENSOANG00000002261	3
ENSG00000041357	15	ENSOANG00000013220	Ultra209
ENSG00000041515	13	ENSOANG00000015599	Ultra336
ENSG00000041802	3	ENSOANG00000012742	7
ENSG00000041880	3	ENSOANG00000029689	Contig23182
ENSG00000041982	9	ENSOANG00000010612	4
ENSG00000041988	1	ENSOANG00000029971	Contig29184
ENSG00000042088	14	ENSOANG00000032066	Contig10461
ENSG00000042286	10	ENSOANG00000012147	Ultra287
ENSG00000042317	14	ENSOANG00000022310	Contig10986
ENSG00000042445	2	ENSOANG00000012616	Contig23265
ENSG00000042493	2	ENSOANG00000001114	Contig13682
ENSG00000042781	1	ENSOANG00000008536	Ultra67
ENSG00000042813	7	ENSOANG00000000287	4
ENSG00000042832	8	ENSOANG00000010064	Contig510
ENSG00000042980	8	ENSOANG00000008025	5
ENSG00000043093	3	ENSOANG00000011254	Ultra499
ENSG00000043143	5	ENSOANG00000010024	Contig7090
ENSG00000043462	5	ENSOANG00000007802	X1
ENSG00000043514	1	ENSOANG00000002779	Contig9012
ENSG00000043591	10	ENSOANG00000001567	Ultra272
ENSG00000044012	1	ENSOANG00000009729	Ultra412
ENSG00000044115	5	ENSOANG00000003516	Contig1802
ENSG00000044446	X	ENSOANG00000004031	Ultra462
ENSG00000044524	3	ENSOANG00000000485	Ultra166
ENSG00000044574	9	ENSOANG00000013291	Ultra39
ENSG00000046647	X	ENSOANG00000002604	Ultra462
ENSG00000046651	X	ENSOANG00000002606	Ultra462
ENSG00000046653	X	ENSOANG00000002605	Ultra462
ENSG00000046889	8	ENSOANG00000013504	7
ENSG00000047056	10	ENSOANG00000006090	Ultra274
ENSG00000047188	5	ENSOANG00000011143	Ultra309
ENSG00000047230	X	ENSOANG00000002568	Ultra462
ENSG00000047249	8	ENSOANG00000007281	7
ENSG00000047346	15	ENSOANG00000002613	Ultra462
ENSG00000047365	4	ENSOANG00000010310	Ultra544
ENSG00000047578	16	ENSOANG00000012486	Ultra302
ENSG00000047579	6	ENSOANG00000011868	Ultra144
ENSG00000047617	12	ENSOANG00000013498	Contig10532
ENSG00000047621	12	ENSOANG00000011974	Contig15434
ENSG00000047644	X	ENSOANG00000000752	Contig32482
ENSG00000047648	X	ENSOANG00000002625	Ultra462
ENSG00000047662	4	ENSOANG00000006663	18
ENSG00000047936	6	ENSOANG00000012474	Contig784
ENSG00000048028	11	ENSOANG00000003096	Contig7310
ENSG00000048052	7	ENSOANG00000009613	Ultra65
ENSG00000048140	5	ENSOANG00000021444	Contig17432
ENSG00000048162	5	ENSOANG00000030288	Contig182430
ENSG00000048392	8	ENSOANG00000001870	Ultra432
ENSG00000048405	7	ENSOANG00000000823	10
ENSG00000048462	16	ENSOANG00000013810	Ultra102
ENSG00000048471	16	ENSOANG00000028467	Ultra102
ENSG00000048544	6	ENSOANG00000008468	Ultra67
ENSG00000048545	6	ENSOANG00000002015	Ultra269
ENSG00000048707	1	ENSOANG00000006103	Contig459
ENSG00000048740	10	ENSOANG00000015432	Contig13
ENSG00000048828	9	ENSOANG00000021486	Contig6909
ENSG00000048991	2	ENSOANG00000007987	Ultra387
ENSG00000049089	1	ENSOANG00000012370	Ultra467
ENSG00000049130	12	ENSOANG00000006639	Ultra443
ENSG00000049167	5	ENSOANG00000020447	Contig27213
ENSG00000049192	5	ENSOANG00000004726	Contig854
ENSG00000049247	1	ENSOANG00000021112	Ultra107
ENSG00000049249	1	ENSOANG00000004034	Ultra107
ENSG00000049283	17	ENSOANG00000005900	Contig4518
ENSG00000049323	2	ENSOANG00000002334	1
ENSG00000049449	11	ENSOANG00000015148	3
ENSG00000049540	7	ENSOANG00000029241	Ultra42
ENSG00000049541	7	ENSOANG00000007330	Contig15690
ENSG00000049618	6	ENSOANG00000030519	X1
ENSG00000049656	5	ENSOANG00000014453	Ultra43
ENSG00000049759	18	ENSOANG00000014105	3
ENSG00000049768	X	ENSOANG00000013584	Ultra295
ENSG00000049769	X	ENSOANG00000013585	Ultra295
ENSG00000049860	5	ENSOANG00000015777	1
ENSG00000049883	5	ENSOANG00000014502	Contig28357
ENSG00000050130	14	ENSOANG00000011847	Contig214
ENSG00000050165	11	ENSOANG00000004733	Ultra152
ENSG00000050327	7	ENSOANG00000007775	Contig29016
ENSG00000050344	7	ENSOANG00000009158	Ultra231
ENSG00000050393	6	ENSOANG00000001412	Ultra144
ENSG00000050405	12	ENSOANG00000008669	Contig9967
ENSG00000050426	12	ENSOANG00000020670	Contig20331
ENSG00000050438	12	ENSOANG00000004862	Contig4972
ENSG00000050555	9	ENSOANG00000001050	4
ENSG00000050730	4	ENSOANG00000015111	12
ENSG00000050748	5	ENSOANG00000010228	14
ENSG00000050767	5	ENSOANG00000005000	Contig1619
ENSG00000050820	16	ENSOANG00000007657	Contig27907
ENSG00000051009	11	ENSOANG00000015717	Contig23765
