Human	ChrHuman	Chicken	ChrChicken
ENSG00000007402	3	ENSGALG00000038242	12
ENSG00000007520	16	ENSGALG00000006434	14
ENSG00000007541	16	ENSGALG00000001985	14
ENSG00000007866	6	ENSGALG00000043513	26
ENSG00000007923	1	ENSGALG00000000627	21
ENSG00000007933	1	ENSGALG00000040573	8
ENSG00000007944	6	ENSGALG00000012704	2
ENSG00000007952	X	ENSGALG00000006707	4
ENSG00000008018	6	ENSGALG00000011174	3
ENSG00000008083	6	ENSGALG00000012702	2
ENSG00000008086	X	ENSGALG00000016529	1
ENSG00000008118	1	ENSGALG00000001319	26
ENSG00000008130	1	ENSGALG00000032413	21
ENSG00000008196	6	ENSGALG00000016680	3
ENSG00000008197	6	ENSGALG00000019842	3
ENSG00000008226	3	ENSGALG00000005826	2
ENSG00000008256	7	ENSGALG00000007149	14
ENSG00000008277	7	ENSGALG00000008976	2
ENSG00000008282	7	ENSGALG00000029006	1
ENSG00000008283	17	ENSGALG00000024031	27
ENSG00000008294	17	ENSGALG00000034001	18
ENSG00000008300	3	ENSGALG00000036763	12
ENSG00000008311	7	ENSGALG00000008953	1
ENSG00000008324	3	ENSGALG00000004943	11
ENSG00000008382	19	ENSGALG00000034087	28
ENSG00000008394	12	ENSGALG00000013098	1
ENSG00000008405	12	ENSGALG00000012638	1
ENSG00000008441	19	ENSGALG00000041630	AADN04001212.1
ENSG00000008513	8	ENSGALG00000037773	2
ENSG00000008710	16	ENSGALG00000005714	14
ENSG00000008735	22	ENSGALG00000035559	AADN04011452.1
ENSG00000008838	17	ENSGALG00000013506	27
ENSG00000008853	8	ENSGALG00000034020	22
ENSG00000008869	2	ENSGALG00000010571	3
ENSG00000008952	3	ENSGALG00000009379	9
ENSG00000008988	8	ENSGALG00000014432	2
ENSG00000009307	1	ENSGALG00000002139	26
ENSG00000009335	7	ENSGALG00000006461	2
ENSG00000009413	6	ENSGALG00000015033	3
ENSG00000009694	X	ENSGALG00000008442	4
ENSG00000009709	1	ENSGALG00000043204	21
ENSG00000009724	1	ENSGALG00000003016	21
ENSG00000009765	6	ENSGALG00000012392	3
ENSG00000009780	1	ENSGALG00000040986	23
ENSG00000009790	1	ENSGALG00000001373	26
ENSG00000009844	6	ENSGALG00000013810	3
ENSG00000009950	7	ENSGALG00000034960	19
ENSG00000009954	7	ENSGALG00000029408	19
ENSG00000010017	6	ENSGALG00000012696	2
ENSG00000010030	6	ENSGALG00000000504	26
ENSG00000010072	1	ENSGALG00000011065	3
ENSG00000010165	1	ENSGALG00000003206	8
ENSG00000010244	17	ENSGALG00000003454	18
ENSG00000010256	3	ENSGALG00000005789	12
ENSG00000010270	7	ENSGALG00000033038	2
ENSG00000010278	12	ENSGALG00000017274	1
ENSG00000010282	3	ENSGALG00000005297	2
ENSG00000010292	12	ENSGALG00000039448	1
ENSG00000010295	12	ENSGALG00000014443	1
ENSG00000010319	3	ENSGALG00000004476	12
ENSG00000010322	3	ENSGALG00000043825	12
ENSG00000010361	19	ENSGALG00000039850	AADN04017088.1
ENSG00000010379	12	ENSGALG00000012985	1
ENSG00000010610	12	ENSGALG00000014477	1
ENSG00000010626	12	ENSGALG00000043468	1
ENSG00000010671	X	ENSGALG00000004958	4
ENSG00000010803	1	ENSGALG00000000672	23
ENSG00000010810	6	ENSGALG00000015022	3
ENSG00000010818	6	ENSGALG00000013795	3
ENSG00000011009	1	ENSGALG00000004002	23
ENSG00000011021	1	ENSGALG00000004590	21
ENSG00000011028	17	ENSGALG00000000461	27
ENSG00000011083	5	ENSGALG00000005672	13
ENSG00000011105	12	ENSGALG00000014346	1
ENSG00000011132	19	ENSGALG00000000740	28
ENSG00000011143	17	ENSGALG00000030979	19
ENSG00000011198	3	ENSGALG00000040363	2
ENSG00000011201	X	ENSGALG00000035266	1
ENSG00000011243	19	ENSGALG00000039974	KQ759480.1
ENSG00000011258	17	ENSGALG00000002954	18
ENSG00000011260	17	ENSGALG00000002985	18
ENSG00000011275	7	ENSGALG00000004629	14
ENSG00000011295	17	ENSGALG00000004416	19
ENSG00000011304	19	ENSGALG00000001962	28
ENSG00000011347	11	ENSGALG00000043139	5
ENSG00000011376	3	ENSGALG00000036309	2
ENSG00000011405	11	ENSGALG00000006121	5
ENSG00000011426	7	ENSGALG00000043642	2
ENSG00000011454	9	ENSGALG00000001225	17
ENSG00000011465	12	ENSGALG00000011274	1
ENSG00000011478	19	ENSGALG00000044210	KQ759481.1
ENSG00000011523	2	ENSGALG00000008787	3
ENSG00000011638	16	ENSGALG00000027173	14
ENSG00000011677	X	ENSGALG00000007269	4
ENSG00000012048	17	ENSGALG00000002781	27
ENSG00000012171	3	ENSGALG00000013722	12
ENSG00000012174	X	ENSGALG00000016382	1
ENSG00000012232	8	ENSGALG00000016630	3
ENSG00000012504	12	ENSGALG00000011594	1
ENSG00000012660	6	ENSGALG00000016314	3
ENSG00000012983	14	ENSGALG00000012321	5
ENSG00000013016	2	ENSGALG00000009086	3
ENSG00000013288	4	ENSGALG00000015537	4
ENSG00000013293	3	ENSGALG00000009349	9
ENSG00000013297	3	ENSGALG00000009355	9
ENSG00000013306	17	ENSGALG00000042894	27
ENSG00000013364	16	ENSGALG00000040471	28
ENSG00000013374	7	ENSGALG00000006181	2
ENSG00000013375	6	ENSGALG00000015854	3
ENSG00000013392	6	ENSGALG00000015851	3
ENSG00000013441	2	ENSGALG00000028438	7
ENSG00000013503	12	ENSGALG00000012655	1
ENSG00000013523	14	ENSGALG00000010372	5
ENSG00000013561	5	ENSGALG00000043085	13
ENSG00000013583	12	ENSGALG00000011798	1
ENSG00000013619	X	ENSGALG00000009098	4
ENSG00000013810	4	ENSGALG00000015709	4
ENSG00000014123	6	ENSGALG00000015580	3
ENSG00000014138	11	ENSGALG00000030099	KQ759681.1
ENSG00000014164	8	ENSGALG00000043265	2
ENSG00000014216	11	ENSGALG00000041685	KQ759558.1
ENSG00000014641	2	ENSGALG00000008858	3
ENSG00000014914	1	ENSGALG00000035923	25
ENSG00000014919	10	ENSGALG00000007465	6
ENSG00000015133	14	ENSGALG00000040156	5
ENSG00000015153	12	ENSGALG00000009540	1
ENSG00000015171	10	ENSGALG00000006599	2
ENSG00000015413	16	ENSGALG00000006175	11
ENSG00000015475	22	ENSGALG00000013039	1
ENSG00000015592	8	ENSGALG00000030929	3
ENSG00000015676	7	ENSGALG00000038299	22
ENSG00000016082	5	ENSGALG00000014884	Z
ENSG00000016391	3	ENSGALG00000005363	12
ENSG00000016402	6	ENSGALG00000013869	3
ENSG00000016864	3	ENSGALG00000001642	12
ENSG00000017260	3	ENSGALG00000034340	2
ENSG00000017427	12	ENSGALG00000012755	1
ENSG00000017797	18	ENSGALG00000008405	2
ENSG00000018189	4	ENSGALG00000011564	4
ENSG00000018236	12	ENSGALG00000009523	1
ENSG00000018280	2	ENSGALG00000011434	7
ENSG00000018408	3	ENSGALG00000010412	9
ENSG00000018510	2	ENSGALG00000009236	7
ENSG00000018610	X	ENSGALG00000008652	4
ENSG00000019144	11	ENSGALG00000040030	24
ENSG00000019169	2	ENSGALG00000012119	7
ENSG00000019186	20	ENSGALG00000042279	20
ENSG00000019485	11	ENSGALG00000008053	5
ENSG00000019505	11	ENSGALG00000008055	5
ENSG00000019582	5	ENSGALG00000004594	13
ENSG00000019991	7	ENSGALG00000033974	1
ENSG00000019995	10	ENSGALG00000031474	6
ENSG00000020129	1	ENSGALG00000002408	23
ENSG00000020181	8	ENSGALG00000003118	22
ENSG00000020256	20	ENSGALG00000038858	20
ENSG00000020426	14	ENSGALG00000011910	5
ENSG00000020633	1	ENSGALG00000043372	23
ENSG00000020922	11	ENSGALG00000017211	1
ENSG00000021300	11	ENSGALG00000017321	1
ENSG00000021355	6	ENSGALG00000019555	2
ENSG00000021488	19	ENSGALG00000021158	11
ENSG00000021574	2	ENSGALG00000010620	3
ENSG00000021645	14	ENSGALG00000010518	5
ENSG00000021762	11	ENSGALG00000006401	5
ENSG00000021776	15	ENSGALG00000009838	5
ENSG00000021826	2	ENSGALG00000038362	3
ENSG00000021852	1	ENSGALG00000010853	8
ENSG00000022267	X	ENSGALG00000006190	4
ENSG00000022277	20	ENSGALG00000007709	20
ENSG00000022355	5	ENSGALG00000001698	13
ENSG00000022567	8	ENSGALG00000034971	2
ENSG00000022840	12	ENSGALG00000036417	15
ENSG00000022976	14	ENSGALG00000011368	5
ENSG00000023041	10	ENSGALG00000008870	6
ENSG00000023171	11	ENSGALG00000006494	24
ENSG00000023191	11	ENSGALG00000006904	5
ENSG00000023228	2	ENSGALG00000008606	7
ENSG00000023287	8	ENSGALG00000015259	2
ENSG00000023318	9	ENSGALG00000013452	2
ENSG00000023330	3	ENSGALG00000003948	12
ENSG00000023516	13	ENSGALG00000022739	1
ENSG00000023572	1	ENSGALG00000034850	8
ENSG00000023608	14	ENSGALG00000011868	5
ENSG00000023697	12	ENSGALG00000013095	1
ENSG00000023839	10	ENSGALG00000007395	6
ENSG00000023892	6	ENSGALG00000002615	26
ENSG00000023902	1	ENSGALG00000037540	25
ENSG00000024048	6	ENSGALG00000009906	3
ENSG00000024526	1	ENSGALG00000011275	8
ENSG00000024862	6	ENSGALG00000013834	3
ENSG00000025039	6	ENSGALG00000026971	3
ENSG00000025156	6	ENSGALG00000038420	3
ENSG00000025293	20	ENSGALG00000001522	20
ENSG00000025434	11	ENSGALG00000038059	5
ENSG00000025772	20	ENSGALG00000004110	20
ENSG00000025796	6	ENSGALG00000015308	3
ENSG00000025800	1	ENSGALG00000003383	23
ENSG00000026025	10	ENSGALG00000008677	2
ENSG00000026103	10	ENSGALG00000006351	6
ENSG00000026508	11	ENSGALG00000039080	5
ENSG00000026559	20	ENSGALG00000007980	20
ENSG00000026652	6	ENSGALG00000011571	3
ENSG00000027001	13	ENSGALG00000017118	1
ENSG00000027075	14	ENSGALG00000011889	5
ENSG00000027644	1	ENSGALG00000013253	25
ENSG00000027697	6	ENSGALG00000013865	3
ENSG00000027847	5	ENSGALG00000032145	13
ENSG00000027869	1	ENSGALG00000044505	25
ENSG00000028116	2	ENSGALG00000032770	3
ENSG00000028137	1	ENSGALG00000034213	21
ENSG00000028203	12	ENSGALG00000011357	1
ENSG00000028310	5	ENSGALG00000031260	2
ENSG00000028528	15	ENSGALG00000002189	10
ENSG00000028839	6	ENSGALG00000013981	3
ENSG00000029153	12	ENSGALG00000014096	1
ENSG00000029363	6	ENSGALG00000013935	3
ENSG00000029364	14	ENSGALG00000009438	5
ENSG00000029534	8	ENSGALG00000003594	22
ENSG00000029559	4	ENSGALG00000010928	4
ENSG00000029639	6	ENSGALG00000013647	3
ENSG00000029725	17	ENSGALG00000001737	19
ENSG00000029993	X	ENSGALG00000009071	4
ENSG00000030066	11	ENSGALG00000043074	5
ENSG00000030110	6	ENSGALG00000031493	26
ENSG00000030304	9	ENSGALG00000015728	Z
ENSG00000030419	2	ENSGALG00000003136	7
ENSG00000030582	17	ENSGALG00000033530	27
ENSG00000031003	5	ENSGALG00000041706	13
ENSG00000031081	3	ENSGALG00000015077	1
ENSG00000031691	6	ENSGALG00000016692	3
ENSG00000031698	1	ENSGALG00000026809	26
ENSG00000031823	19	ENSGALG00000000577	28
ENSG00000032219	14	ENSGALG00000012037	5
ENSG00000032389	2	ENSGALG00000016385	3
ENSG00000032444	19	ENSGALG00000039408	KQ759549.1
ENSG00000033030	12	ENSGALG00000004486	15
ENSG00000033050	7	ENSGALG00000034573	2
ENSG00000033122	1	ENSGALG00000011284	8
ENSG00000033170	14	ENSGALG00000036443	5
ENSG00000033178	4	ENSGALG00000011762	4
ENSG00000033627	17	ENSGALG00000003256	27
ENSG00000033800	15	ENSGALG00000007970	10
ENSG00000033867	3	ENSGALG00000011405	2
ENSG00000034053	15	ENSGALG00000003930	10
ENSG00000034239	8	ENSGALG00000009473	2
ENSG00000034677	8	ENSGALG00000038772	2
ENSG00000034693	6	ENSGALG00000013777	3
ENSG00000034713	16	ENSGALG00000003208	11
ENSG00000034971	1	ENSGALG00000021074	8
ENSG00000035115	2	ENSGALG00000016362	3
ENSG00000035499	5	ENSGALG00000014729	Z
ENSG00000035664	15	ENSGALG00000003336	10
ENSG00000035681	8	ENSGALG00000038838	2
ENSG00000035687	1	ENSGALG00000010702	3
ENSG00000035720	4	ENSGALG00000011684	4
ENSG00000035862	17	ENSGALG00000027070	18
ENSG00000035928	4	ENSGALG00000014298	4
ENSG00000036054	3	ENSGALG00000015273	1
ENSG00000036257	2	ENSGALG00000005108	9
ENSG00000036448	8	ENSGALG00000016342	3
ENSG00000036473	X	ENSGALG00000016254	1
ENSG00000036530	14	ENSGALG00000011162	5
ENSG00000036549	1	ENSGALG00000008988	8
ENSG00000036565	8	ENSGALG00000001693	22
ENSG00000036672	11	ENSGALG00000006755	24
ENSG00000037280	5	ENSGALG00000005802	13
ENSG00000037474	5	ENSGALG00000013064	2
ENSG00000037637	1	ENSGALG00000003731	21
ENSG00000037749	5	ENSGALG00000004040	13
ENSG00000037757	19	ENSGALG00000034575	AADN04002442.1
ENSG00000037965	12	ENSGALG00000037262	33
ENSG00000038002	4	ENSGALG00000010716	4
ENSG00000038219	4	ENSGALG00000026470	4
ENSG00000038274	5	ENSGALG00000001750	13
ENSG00000038295	4	ENSGALG00000009567	4
ENSG00000038358	16	ENSGALG00000040875	11
ENSG00000038382	5	ENSGALG00000031495	2
ENSG00000038427	5	ENSGALG00000015624	Z
ENSG00000038532	16	ENSGALG00000007167	14
ENSG00000039068	16	ENSGALG00000000608	11
ENSG00000039123	5	ENSGALG00000014709	Z
ENSG00000039139	5	ENSGALG00000012997	2
ENSG00000039319	5	ENSGALG00000015576	Z
ENSG00000039537	5	ENSGALG00000014840	Z
ENSG00000039560	5	ENSGALG00000003353	Z
ENSG00000039600	5	ENSGALG00000045860	13
ENSG00000040199	16	ENSGALG00000000875	11
ENSG00000040275	5	ENSGALG00000001942	13
ENSG00000040341	8	ENSGALG00000031390	2
ENSG00000040487	1	ENSGALG00000033204	21
ENSG00000040531	17	ENSGALG00000004628	19
ENSG00000040608	22	ENSGALG00000007732	15
ENSG00000040731	5	ENSGALG00000032022	2
ENSG00000040933	2	ENSGALG00000029709	1
ENSG00000041357	15	ENSGALG00000003046	10
ENSG00000041515	13	ENSGALG00000016837	1
ENSG00000041802	3	ENSGALG00000007058	9
ENSG00000041880	3	ENSGALG00000004517	12
ENSG00000041982	9	ENSGALG00000039990	17
ENSG00000042062	20	ENSGALG00000008005	20
ENSG00000042088	14	ENSGALG00000010669	5
ENSG00000042286	10	ENSGALG00000004777	6
ENSG00000042317	14	ENSGALG00000010607	5
ENSG00000042429	11	ENSGALG00000017218	1
ENSG00000042445	2	ENSGALG00000034358	AADN04000662.1
ENSG00000042493	2	ENSGALG00000036175	AADN04001118.1
ENSG00000042753	19	ENSGALG00000042633	AADN04007734.1
ENSG00000042813	7	ENSGALG00000013083	2
ENSG00000042832	8	ENSGALG00000039509	2
ENSG00000043039	11	ENSGALG00000029382	24
ENSG00000043093	3	ENSGALG00000008807	9
ENSG00000043143	5	ENSGALG00000006424	13
ENSG00000043462	5	ENSGALG00000002113	13
ENSG00000043514	1	ENSGALG00000003851	23
ENSG00000043591	10	ENSGALG00000008949	6
ENSG00000044115	5	ENSGALG00000002447	13
ENSG00000044446	X	ENSGALG00000016518	1
ENSG00000044524	3	ENSGALG00000015403	1
ENSG00000046604	18	ENSGALG00000015142	2
ENSG00000046647	X	ENSGALG00000016574	1
ENSG00000046651	X	ENSGALG00000016576	1
ENSG00000046653	X	ENSGALG00000016575	1
ENSG00000046889	8	ENSGALG00000042354	2
ENSG00000047056	10	ENSGALG00000006749	2
ENSG00000047230	X	ENSGALG00000016549	1
ENSG00000047249	8	ENSGALG00000013621	2
ENSG00000047315	4	ENSGALG00000011387	4
ENSG00000047346	15	ENSGALG00000042839	10
ENSG00000047365	4	ENSGALG00000041373	4
ENSG00000047410	1	ENSGALG00000005105	8
ENSG00000047457	3	ENSGALG00000030773	9
ENSG00000047578	16	ENSGALG00000043363	14
ENSG00000047579	6	ENSGALG00000012703	2
ENSG00000047597	X	ENSGALG00000016262	1
ENSG00000047617	12	ENSGALG00000017271	1
ENSG00000047621	12	ENSGALG00000017289	1
ENSG00000047644	X	ENSGALG00000034834	1
ENSG00000047648	X	ENSGALG00000016602	1
ENSG00000047662	4	ENSGALG00000041854	4
ENSG00000047849	3	ENSGALG00000032561	2
ENSG00000047936	6	ENSGALG00000014913	3
ENSG00000048028	11	ENSGALG00000006969	24
ENSG00000048052	7	ENSGALG00000010854	2
ENSG00000048162	5	ENSGALG00000003355	13
ENSG00000048342	4	ENSGALG00000014514	4
ENSG00000048392	8	ENSGALG00000040921	2
ENSG00000048405	7	ENSGALG00000033997	1
ENSG00000048471	16	ENSGALG00000038345	3
ENSG00000048540	12	ENSGALG00000036358	1
ENSG00000048544	6	ENSGALG00000009890	3
ENSG00000048545	6	ENSGALG00000001431	26
ENSG00000048649	11	ENSGALG00000039068	1
ENSG00000048707	1	ENSGALG00000034777	21
ENSG00000048740	10	ENSGALG00000034590	1
ENSG00000048828	9	ENSGALG00000039316	12
ENSG00000048991	2	ENSGALG00000012246	7
ENSG00000049089	1	ENSGALG00000027526	23
ENSG00000049130	12	ENSGALG00000011206	1
ENSG00000049167	5	ENSGALG00000014732	Z
ENSG00000049192	5	ENSGALG00000014751	Z
ENSG00000049239	1	ENSGALG00000002492	21
ENSG00000049245	1	ENSGALG00000000579	21
ENSG00000049246	1	ENSGALG00000000573	21
ENSG00000049283	17	ENSGALG00000023279	18
ENSG00000049323	2	ENSGALG00000010448	3
ENSG00000049449	11	ENSGALG00000012121	5
ENSG00000049540	7	ENSGALG00000043703	19
ENSG00000049541	7	ENSGALG00000029449	19
ENSG00000049618	6	ENSGALG00000013683	3
ENSG00000049656	5	ENSGALG00000013187	2
ENSG00000049860	5	ENSGALG00000014933	Z
ENSG00000049883	5	ENSGALG00000038260	Z
ENSG00000050030	X	ENSGALG00000007755	4
ENSG00000050130	14	ENSGALG00000012009	5
ENSG00000050165	11	ENSGALG00000005551	5
ENSG00000050327	7	ENSGALG00000017276	1
ENSG00000050393	6	ENSGALG00000012699	2
ENSG00000050405	12	ENSGALG00000034742	33
ENSG00000050438	12	ENSGALG00000031274	33
ENSG00000050628	1	ENSGALG00000023142	8
ENSG00000050730	4	ENSGALG00000011961	4
ENSG00000050748	5	ENSGALG00000039099	13
ENSG00000050767	5	ENSGALG00000006708	13
ENSG00000050820	16	ENSGALG00000042895	11
ENSG00000051009	11	ENSGALG00000003416	1
ENSG00000051108	16	ENSGALG00000001220	11
ENSG00000051128	19	ENSGALG00000003074	28
ENSG00000051180	15	ENSGALG00000030313	5
ENSG00000051341	3	ENSGALG00000014924	1
ENSG00000051382	3	ENSGALG00000005505	9
ENSG00000051523	16	ENSGALG00000029367	11
ENSG00000051620	6	ENSGALG00000004607	8
ENSG00000051825	12	ENSGALG00000003419	15
ENSG00000052126	12	ENSGALG00000013134	1
ENSG00000052723	1	ENSGALG00000002147	26
ENSG00000052749	10	ENSGALG00000041331	6
ENSG00000052795	4	ENSGALG00000020251	4
ENSG00000052802	4	ENSGALG00000009560	4
ENSG00000052850	11	ENSGALG00000032584	5
ENSG00000053108	5	ENSGALG00000031487	13
ENSG00000053254	14	ENSGALG00000010665	5
ENSG00000053328	6	ENSGALG00000041120	3
ENSG00000053501	19	ENSGALG00000003703	28
ENSG00000053524	3	ENSGALG00000008744	9
ENSG00000053770	14	ENSGALG00000012101	5
ENSG00000053918	11	ENSGALG00000037138	5
ENSG00000054116	1	ENSGALG00000002284	23
ENSG00000054118	1	ENSGALG00000002144	23
ENSG00000054148	9	ENSGALG00000039061	17
ENSG00000054179	9	ENSGALG00000039696	17
ENSG00000054267	1	ENSGALG00000034003	3
ENSG00000054277	1	ENSGALG00000010762	3
ENSG00000054282	1	ENSGALG00000010713	3
ENSG00000054356	2	ENSGALG00000033811	7
ENSG00000054392	1	ENSGALG00000009881	3
ENSG00000054523	1	ENSGALG00000002726	21
ENSG00000054611	22	ENSGALG00000043058	1
ENSG00000054654	14	ENSGALG00000011811	5
ENSG00000054690	14	ENSGALG00000009507	5
ENSG00000054793	20	ENSGALG00000007912	20
ENSG00000054796	20	ENSGALG00000031768	20
ENSG00000054803	20	ENSGALG00000030821	20
ENSG00000054938	11	ENSGALG00000017308	1
ENSG00000054965	11	ENSGALG00000017323	1
ENSG00000054983	14	ENSGALG00000010593	5
ENSG00000055044	2	ENSGALG00000008454	7
ENSG00000055070	1	ENSGALG00000003734	21
ENSG00000055130	7	ENSGALG00000036941	2
ENSG00000055147	5	ENSGALG00000004068	13
ENSG00000055163	5	ENSGALG00000003818	13
ENSG00000055208	6	ENSGALG00000012356	3
ENSG00000055211	6	ENSGALG00000012370	3
ENSG00000055332	2	ENSGALG00000010560	3
ENSG00000055483	17	ENSGALG00000037018	18
ENSG00000055732	1	ENSGALG00000008709	8
ENSG00000055813	2	ENSGALG00000043080	3
ENSG00000055917	2	ENSGALG00000016481	3
ENSG00000055950	10	ENSGALG00000034352	6
ENSG00000056050	4	ENSGALG00000009668	4
