Human	Opossum	ChrOpossum	ChrHuman
ENSG00000232268	ENSMODG00000023993	4	11
ENSG00000232268	ENSMODG00000008737	4	11
ENSG00000232268	ENSMODG00000023998	4	11
ENSG00000232268	ENSMODG00000023992	4	11
ENSG00000232268	ENSMODG00000008858	4	11
ENSG00000238723	ENSMODG00000026552	5	17
ENSG00000206970	ENSMODG00000027236	3	2
ENSG00000253040	ENSMODG00000027067	1	18
ENSG00000253040	ENSMODG00000026609	3	18
ENSG00000207306	ENSMODG00000025983	2	17
ENSG00000207306	ENSMODG00000027225	6	17
ENSG00000207306	ENSMODG00000027003	1	17
ENSG00000207306	ENSMODG00000021978	3	17
ENSG00000207430	ENSMODG00000022148	3	15
ENSG00000207430	ENSMODG00000026548	6	15
ENSG00000207430	ENSMODG00000026823	7	15
ENSG00000202186	ENSMODG00000026699	4	20
ENSG00000202186	ENSMODG00000026860	5	20
ENSG00000202186	ENSMODG00000026849	2	20
ENSG00000202186	ENSMODG00000026827	2	20
ENSG00000202186	ENSMODG00000027246	1	20
ENSG00000222796	ENSMODG00000022049	2	X
ENSG00000251761	ENSMODG00000027181	8	3
ENSG00000115425	ENSMODG00000015562	7	2
ENSG00000115425	ENSMODG00000015568	7	2
ENSG00000206767	ENSMODG00000022077	4	1
ENSG00000206637	ENSMODG00000026489	X	1
ENSG00000277512	ENSMODG00000026141	2	17
ENSG00000176142	ENSMODG00000018192	4	3
ENSG00000238808	ENSMODG00000027214	5	8
ENSG00000222990	ENSMODG00000026575	3	14
ENSG00000199872	ENSMODG00000022978	8	2
ENSG00000199872	ENSMODG00000022225	4	2
ENSG00000200563	ENSMODG00000021777	6	2
ENSG00000200563	ENSMODG00000022488	3	2
ENSG00000212595	ENSMODG00000027091	1	X
ENSG00000201860	ENSMODG00000026552	5	3
ENSG00000222544	ENSMODG00000021870	2	12
ENSG00000239190	ENSMODG00000027148	8	12
ENSG00000239021	ENSMODG00000026457	1	7
ENSG00000202513	ENSMODG00000022049	2	10
ENSG00000252717	ENSMODG00000026723	5	1
ENSG00000207369	ENSMODG00000025983	2	8
ENSG00000207369	ENSMODG00000027225	6	8
ENSG00000207369	ENSMODG00000027003	1	8
ENSG00000207369	ENSMODG00000021978	3	8
ENSG00000222594	ENSMODG00000026635	8	4
ENSG00000202198	ENSMODG00000021679	2	6
ENSG00000207076	ENSMODG00000026553	1	6
ENSG00000207076	ENSMODG00000022101	2	6
ENSG00000207076	ENSMODG00000021598	4	6
ENSG00000207076	ENSMODG00000027208	1	6
ENSG00000200728	ENSMODG00000022991	6	10
ENSG00000206709	ENSMODG00000025983	2	7
ENSG00000206709	ENSMODG00000027225	6	7
ENSG00000206709	ENSMODG00000027003	1	7
ENSG00000206709	ENSMODG00000021978	3	7
ENSG00000252204	ENSMODG00000021749	4	12
ENSG00000120341	ENSMODG00000005823	2	1
ENSG00000222419	ENSMODG00000026485	4	X
ENSG00000222419	ENSMODG00000027060	2	X
ENSG00000222419	ENSMODG00000026103	6	X
ENSG00000252080	ENSMODG00000027005	Un	16
ENSG00000238390	ENSMODG00000027010	7	21
ENSG00000200774	ENSMODG00000022221	2	10
ENSG00000252368	ENSMODG00000027067	1	1
ENSG00000252368	ENSMODG00000026609	3	1
ENSG00000206834	ENSMODG00000026713	4	11
ENSG00000252594	ENSMODG00000022991	6	8
ENSG00000277004	ENSMODG00000027251	6	16
ENSG00000277004	ENSMODG00000026622	5	16
ENSG00000277004	ENSMODG00000027009	8	16
ENSG00000200656	ENSMODG00000021673	6	7
ENSG00000200656	ENSMODG00000021798	6	7
ENSG00000200656	ENSMODG00000025979	6	7
ENSG00000199929	ENSMODG00000026469	2	16
ENSG00000273544	ENSMODG00000021638	4	1
ENSG00000223224	ENSMODG00000026027	1	16
ENSG00000238387	ENSMODG00000026941	1	11
ENSG00000206911	ENSMODG00000026620	2	11
ENSG00000206911	ENSMODG00000026693	2	11
ENSG00000252833	ENSMODG00000026666	8	5
ENSG00000252143	ENSMODG00000026731	3	22
ENSG00000222416	ENSMODG00000027067	1	8
ENSG00000222416	ENSMODG00000026609	3	8
ENSG00000199858	ENSMODG00000022217	4	3
ENSG00000199858	ENSMODG00000021935	1	3
ENSG00000252558	ENSMODG00000027044	3	8
ENSG00000252558	ENSMODG00000021682	4	8
ENSG00000252558	ENSMODG00000026623	4	8
ENSG00000252026	ENSMODG00000026144	7	16
ENSG00000099338	ENSMODG00000013137	4	19
ENSG00000099338	ENSMODG00000013144	4	19
ENSG00000134294	ENSMODG00000018521	8	12
ENSG00000105258	ENSMODG00000014172	4	19
ENSG00000200112	ENSMODG00000022072	5	12
ENSG00000200376	ENSMODG00000026991	2	11
ENSG00000201527	ENSMODG00000026607	2	20
ENSG00000201527	ENSMODG00000027109	1	20
ENSG00000201527	ENSMODG00000021899	2	20
ENSG00000196323	ENSMODG00000018512	2	11
ENSG00000272237	ENSMODG00000021749	4	2
ENSG00000272393	ENSMODG00000026553	1	7
ENSG00000272393	ENSMODG00000022101	2	7
ENSG00000272393	ENSMODG00000021598	4	7
ENSG00000272393	ENSMODG00000027208	1	7
ENSG00000212608	ENSMODG00000026322	5	3
ENSG00000204963	ENSMODG00000029307	1	5
ENSG00000252824	ENSMODG00000025997	2	7
ENSG00000204962	ENSMODG00000029307	1	5
ENSG00000206853	ENSMODG00000026637	2	8
ENSG00000253023	ENSMODG00000027214	5	5
ENSG00000252544	ENSMODG00000026076	1	4
ENSG00000222317	ENSMODG00000026774	3	2
ENSG00000252590	ENSMODG00000027214	5	7
ENSG00000200287	ENSMODG00000026552	5	2
ENSG00000207002	ENSMODG00000021673	6	3
ENSG00000207002	ENSMODG00000021798	6	3
ENSG00000207002	ENSMODG00000025979	6	3
ENSG00000201796	ENSMODG00000025983	2	7
ENSG00000201796	ENSMODG00000027225	6	7
ENSG00000201796	ENSMODG00000027003	1	7
ENSG00000201796	ENSMODG00000021978	3	7
ENSG00000222976	ENSMODG00000026499	7	17
ENSG00000252995	ENSMODG00000022283	1	15
ENSG00000100583	ENSMODG00000005415	1	14
ENSG00000196365	ENSMODG00000001308	3	19
ENSG00000109458	ENSMODG00000000336	5	4
ENSG00000130147	ENSMODG00000002867	2	2
ENSG00000001036	ENSMODG00000017260	2	6
ENSG00000133466	ENSMODG00000000650	8	22
ENSG00000152969	ENSMODG00000002810	5	4
ENSG00000132823	ENSMODG00000016223	1	20
ENSG00000156795	ENSMODG00000001981	3	8
ENSG00000146386	ENSMODG00000017290	2	6
ENSG00000005194	ENSMODG00000013522	1	16
ENSG00000142453	ENSMODG00000006104	3	19
ENSG00000214189	ENSMODG00000023117	2	19
ENSG00000214189	ENSMODG00000029425	4	19
ENSG00000214189	ENSMODG00000012595	3	19
ENSG00000214189	ENSMODG00000022822	Un	19
ENSG00000214189	ENSMODG00000022741	Un	19
ENSG00000214189	ENSMODG00000023439	3	19
ENSG00000054965	ENSMODG00000007608	4	11
ENSG00000229314	ENSMODG00000003862	1	9
ENSG00000182463	ENSMODG00000016391	1	20
ENSG00000105254	ENSMODG00000014175	4	19
ENSG00000153832	ENSMODG00000021225	7	2
ENSG00000252779	ENSMODG00000026956	8	2
ENSG00000252779	ENSMODG00000026758	4	2
ENSG00000152518	ENSMODG00000000407	1	2
ENSG00000199809	ENSMODG00000022018	4	12
ENSG00000203733	ENSMODG00000017281	2	6
ENSG00000252999	ENSMODG00000027067	1	14
ENSG00000252999	ENSMODG00000026609	3	14
ENSG00000198752	ENSMODG00000013407	1	14
ENSG00000212452	ENSMODG00000025985	6	3
ENSG00000165197	ENSMODG00000017234	7	X
ENSG00000199804	ENSMODG00000023002	4	14
ENSG00000186908	ENSMODG00000020462	8	12
ENSG00000200653	ENSMODG00000026530	1	14
ENSG00000148965	ENSMODG00000007572	5	11
ENSG00000148965	ENSMODG00000007579	5	11
ENSG00000222407	ENSMODG00000026680	1	1
ENSG00000005961	ENSMODG00000011516	2	17
ENSG00000201003	ENSMODG00000026149	2	1
ENSG00000201003	ENSMODG00000026522	4	1
ENSG00000271924	ENSMODG00000027074	4	2
ENSG00000252647	ENSMODG00000027251	6	16
ENSG00000252647	ENSMODG00000026622	5	16
ENSG00000252647	ENSMODG00000027009	8	16
ENSG00000251763	ENSMODG00000026587	6	17
ENSG00000251763	ENSMODG00000022211	2	17
ENSG00000251752	ENSMODG00000026700	4	9
ENSG00000251752	ENSMODG00000022223	4	9
ENSG00000251752	ENSMODG00000027049	2	9
ENSG00000251752	ENSMODG00000026638	2	9
ENSG00000005436	ENSMODG00000007990	1	2
ENSG00000276599	ENSMODG00000027251	6	16
ENSG00000276599	ENSMODG00000026622	5	16
ENSG00000276599	ENSMODG00000027009	8	16
ENSG00000083750	ENSMODG00000011337	X	X
ENSG00000212146	ENSMODG00000026746	Un	3
ENSG00000138767	ENSMODG00000011744	5	4
ENSG00000221740	ENSMODG00000026414	8	7
ENSG00000251807	ENSMODG00000026040	8	X
ENSG00000202216	ENSMODG00000021708	1	2
ENSG00000180210	ENSMODG00000019896	5	11
ENSG00000132911	ENSMODG00000008916	1	5
ENSG00000252292	ENSMODG00000026753	5	10
ENSG00000251719	ENSMODG00000021596	1	18
ENSG00000251719	ENSMODG00000026787	4	18
ENSG00000251719	ENSMODG00000026930	X	18
ENSG00000251719	ENSMODG00000026880	5	18
ENSG00000251719	ENSMODG00000025991	8	18
ENSG00000251719	ENSMODG00000026966	3	18
ENSG00000251719	ENSMODG00000021926	3	18
ENSG00000251719	ENSMODG00000022308	3	18
ENSG00000252290	ENSMODG00000021749	4	1
ENSG00000206909	ENSMODG00000026489	X	5
ENSG00000180878	ENSMODG00000018594	4	11
ENSG00000252923	ENSMODG00000026957	2	2
ENSG00000222604	ENSMODG00000026107	6	14
ENSG00000172348	ENSMODG00000018896	2	6
ENSG00000180611	ENSMODG00000015119	7	3
ENSG00000178719	ENSMODG00000010407	3	8
ENSG00000206658	ENSMODG00000026706	8	9
ENSG00000119431	ENSMODG00000023373	1	9
ENSG00000174567	ENSMODG00000001474	2	1
ENSG00000200354	ENSMODG00000021717	1	20
ENSG00000238754	ENSMODG00000026893	1	1
ENSG00000238754	ENSMODG00000027232	1	1
ENSG00000202183	ENSMODG00000026516	7	X
ENSG00000083635	ENSMODG00000014924	7	13
ENSG00000222663	ENSMODG00000026650	8	11
ENSG00000200463	ENSMODG00000022148	3	17
ENSG00000200463	ENSMODG00000026548	6	17
ENSG00000200463	ENSMODG00000026823	7	17
ENSG00000183798	ENSMODG00000000683	1	20
ENSG00000207227	ENSMODG00000022978	8	22
ENSG00000207227	ENSMODG00000022225	4	22
ENSG00000201176	ENSMODG00000027057	5	4
ENSG00000252236	ENSMODG00000026322	5	1
ENSG00000133687	ENSMODG00000014377	8	12
ENSG00000201815	ENSMODG00000026802	4	8
ENSG00000264549	ENSMODG00000021691	2	5
ENSG00000273748	ENSMODG00000019031	5	GL000219.1
ENSG00000207198	ENSMODG00000022049	2	4
ENSG00000212276	ENSMODG00000027067	1	9
ENSG00000212276	ENSMODG00000026609	3	9
ENSG00000272160	ENSMODG00000026692	3	10
ENSG00000124003	ENSMODG00000021193	7	2
ENSG00000019995	ENSMODG00000010224	1	10
ENSG00000207088	ENSMODG00000026107	6	3
ENSG00000221888	ENSMODG00000007702	1	1
ENSG00000221888	ENSMODG00000007750	1	1
ENSG00000229686	ENSMODG00000022072	5	20
ENSG00000178233	ENSMODG00000018928	2	6
ENSG00000123500	ENSMODG00000017850	2	6
ENSG00000143224	ENSMODG00000005247	2	1
ENSG00000114853	ENSMODG00000013582	6	3
ENSG00000258986	ENSMODG00000013642	1	14
ENSG00000252977	ENSMODG00000026595	6	1
ENSG00000252977	ENSMODG00000026841	4	1
ENSG00000212171	ENSMODG00000026588	4	2
ENSG00000207433	ENSMODG00000022978	8	9
ENSG00000207433	ENSMODG00000022225	4	9
ENSG00000113262	ENSMODG00000010422	X	5
ENSG00000272025	ENSMODG00000027063	1	2
ENSG00000180340	ENSMODG00000011428	2	17
ENSG00000123810	ENSMODG00000008635	4	19
ENSG00000120942	ENSMODG00000011080	4	1
ENSG00000164334	ENSMODG00000008975	1	5
ENSG00000173706	ENSMODG00000018368	4	3
ENSG00000171943	ENSMODG00000001993	2	1
ENSG00000168079	ENSMODG00000015990	1	8
ENSG00000238650	ENSMODG00000026838	3	8
ENSG00000238650	ENSMODG00000026719	1	8
ENSG00000106689	ENSMODG00000019739	1	9
ENSG00000222428	ENSMODG00000026831	4	7
ENSG00000222428	ENSMODG00000026059	1	7
ENSG00000158714	ENSMODG00000010050	2	1
ENSG00000199739	ENSMODG00000022219	3	14
ENSG00000199739	ENSMODG00000021869	4	14
ENSG00000199739	ENSMODG00000022051	4	14
ENSG00000199739	ENSMODG00000026999	6	14
ENSG00000199739	ENSMODG00000027114	5	14
ENSG00000199739	ENSMODG00000021811	X	14
ENSG00000199739	ENSMODG00000022483	3	14
ENSG00000199739	ENSMODG00000026958	7	14
ENSG00000200356	ENSMODG00000026699	4	10
ENSG00000200356	ENSMODG00000026860	5	10
ENSG00000200356	ENSMODG00000026849	2	10
ENSG00000200356	ENSMODG00000026827	2	10
ENSG00000200356	ENSMODG00000027246	1	10
ENSG00000237440	ENSMODG00000019812	1	19
ENSG00000237440	ENSMODG00000022757	Un	19
ENSG00000237440	ENSMODG00000023375	4	19
ENSG00000237440	ENSMODG00000023480	4	19
ENSG00000237440	ENSMODG00000013304	1	19
ENSG00000237440	ENSMODG00000023371	4	19
ENSG00000237440	ENSMODG00000014208	4	19
ENSG00000237440	ENSMODG00000016504	Un	19
ENSG00000200806	ENSMODG00000026595	6	8
ENSG00000200806	ENSMODG00000026841	4	8
ENSG00000206898	ENSMODG00000026637	2	2
ENSG00000277846	ENSMODG00000026829	5	11
ENSG00000173041	ENSMODG00000019812	1	7
ENSG00000173041	ENSMODG00000022757	Un	7
ENSG00000173041	ENSMODG00000023375	4	7
ENSG00000173041	ENSMODG00000023480	4	7
ENSG00000173041	ENSMODG00000013304	1	7
ENSG00000173041	ENSMODG00000023371	4	7
ENSG00000173041	ENSMODG00000014208	4	7
ENSG00000173041	ENSMODG00000016504	Un	7
ENSG00000183808	ENSMODG00000007436	3	8
ENSG00000104827	ENSMODG00000013768	4	19
ENSG00000212359	ENSMODG00000022987	X	4
ENSG00000168876	ENSMODG00000000222	4	11
ENSG00000163576	ENSMODG00000014789	8	3
ENSG00000140265	ENSMODG00000017820	1	15
ENSG00000252922	ENSMODG00000026074	2	11
ENSG00000189320	ENSMODG00000013978	8	7
ENSG00000221611	ENSMODG00000026701	1	12
ENSG00000221611	ENSMODG00000026696	Un	12
ENSG00000221611	ENSMODG00000026431	Un	12
ENSG00000130513	ENSMODG00000023947	3	19
ENSG00000169914	ENSMODG00000015904	4	1
ENSG00000169914	ENSMODG00000022857	3	1
ENSG00000222986	ENSMODG00000026982	1	1
ENSG00000200752	ENSMODG00000026620	2	18
ENSG00000200752	ENSMODG00000026693	2	18
ENSG00000207248	ENSMODG00000021802	1	16
ENSG00000183092	ENSMODG00000013154	1	14
ENSG00000243364	ENSMODG00000017115	2	1
ENSG00000252766	ENSMODG00000027043	8	Y
ENSG00000222960	ENSMODG00000027044	3	5
ENSG00000222960	ENSMODG00000021682	4	5
ENSG00000222960	ENSMODG00000026623	4	5
ENSG00000061676	ENSMODG00000010556	4	2
ENSG00000164916	ENSMODG00000000866	6	7
ENSG00000106245	ENSMODG00000001329	6	7
ENSG00000170835	ENSMODG00000012628	1	9
ENSG00000252074	ENSMODG00000021782	7	16
ENSG00000101162	ENSMODG00000016603	1	20
ENSG00000206723	ENSMODG00000022978	8	X
ENSG00000206723	ENSMODG00000022225	4	X
ENSG00000143954	ENSMODG00000016878	1	2
ENSG00000143954	ENSMODG00000016898	1	2
ENSG00000143954	ENSMODG00000016852	1	2
ENSG00000143954	ENSMODG00000025780	1	2
ENSG00000143954	ENSMODG00000016944	1	2
ENSG00000143954	ENSMODG00000016866	1	2
ENSG00000252705	ENSMODG00000026971	3	2
ENSG00000238759	ENSMODG00000027214	5	17
ENSG00000251726	ENSMODG00000027005	Un	14
ENSG00000173812	ENSMODG00000014651	2	17
ENSG00000207217	ENSMODG00000026055	X	7
ENSG00000238597	ENSMODG00000027256	2	17
ENSG00000202335	ENSMODG00000021854	2	12
ENSG00000169299	ENSMODG00000023258	1	4
ENSG00000169299	ENSMODG00000020527	5	4
ENSG00000066382	ENSMODG00000009548	5	11
ENSG00000201151	ENSMODG00000022072	5	20
ENSG00000252036	ENSMODG00000026997	5	10
ENSG00000132581	ENSMODG00000019289	2	17
ENSG00000166847	ENSMODG00000006663	6	16
ENSG00000187191	ENSMODG00000014730	8	Y
ENSG00000168505	ENSMODG00000007531	2	2
ENSG00000092820	ENSMODG00000007642	2	6
ENSG00000092820	ENSMODG00000005722	1	6
ENSG00000252222	ENSMODG00000027005	Un	1
ENSG00000267060	ENSMODG00000015109	2	17
ENSG00000201742	ENSMODG00000021596	1	20
ENSG00000201742	ENSMODG00000026787	4	20
ENSG00000201742	ENSMODG00000026930	X	20
ENSG00000201742	ENSMODG00000026880	5	20
ENSG00000201742	ENSMODG00000025991	8	20
ENSG00000201742	ENSMODG00000026966	3	20
ENSG00000201742	ENSMODG00000021926	3	20
ENSG00000201742	ENSMODG00000022308	3	20
ENSG00000199370	ENSMODG00000023013	2	7
ENSG00000199370	ENSMODG00000023010	2	7
ENSG00000199370	ENSMODG00000023007	2	7
ENSG00000199370	ENSMODG00000022071	2	7
ENSG00000199370	ENSMODG00000023008	2	7
ENSG00000199370	ENSMODG00000021612	2	7
ENSG00000199370	ENSMODG00000022245	2	7
ENSG00000199370	ENSMODG00000023014	2	7
ENSG00000199370	ENSMODG00000023012	2	7
ENSG00000174799	ENSMODG00000020689	5	4
ENSG00000200706	ENSMODG00000021796	2	6
ENSG00000143951	ENSMODG00000003049	1	2
ENSG00000200745	ENSMODG00000022011	3	2
ENSG00000202269	ENSMODG00000022148	3	5
ENSG00000202269	ENSMODG00000026548	6	5
ENSG00000202269	ENSMODG00000026823	7	5
ENSG00000221420	ENSMODG00000027010	7	3
ENSG00000238782	ENSMODG00000027005	Un	2
ENSG00000252423	ENSMODG00000021613	3	7
ENSG00000200547	ENSMODG00000026552	5	1
ENSG00000252562	ENSMODG00000022182	3	3
ENSG00000223274	ENSMODG00000026532	1	X
ENSG00000253093	ENSMODG00000026595	6	5
ENSG00000253093	ENSMODG00000026841	4	5
ENSG00000140832	ENSMODG00000002281	1	16
ENSG00000172164	ENSMODG00000002274	3	8
ENSG00000201241	ENSMODG00000022219	3	15
ENSG00000201241	ENSMODG00000021869	4	15
ENSG00000201241	ENSMODG00000022051	4	15
ENSG00000201241	ENSMODG00000026999	6	15
ENSG00000201241	ENSMODG00000027114	5	15
ENSG00000201241	ENSMODG00000021811	X	15
ENSG00000201241	ENSMODG00000022483	3	15
ENSG00000201241	ENSMODG00000026958	7	15
ENSG00000222405	ENSMODG00000021648	4	12
ENSG00000212215	ENSMODG00000021613	3	5
ENSG00000137745	ENSMODG00000000794	4	11
ENSG00000197472	ENSMODG00000019812	1	1
ENSG00000197472	ENSMODG00000022757	Un	1
ENSG00000197472	ENSMODG00000023375	4	1
ENSG00000197472	ENSMODG00000023480	4	1
ENSG00000197472	ENSMODG00000013304	1	1
ENSG00000197472	ENSMODG00000023371	4	1
ENSG00000197472	ENSMODG00000014208	4	1
ENSG00000197472	ENSMODG00000016504	Un	1
ENSG00000252798	ENSMODG00000027156	2	16
ENSG00000212260	ENSMODG00000022280	4	5
ENSG00000152784	ENSMODG00000020789	5	4
ENSG00000223004	ENSMODG00000022064	5	5
ENSG00000222244	ENSMODG00000021864	6	16
ENSG00000168490	ENSMODG00000009502	1	8
ENSG00000129128	ENSMODG00000003782	5	4
ENSG00000252696	ENSMODG00000026774	3	13
ENSG00000275154	ENSMODG00000023013	2	14
ENSG00000275154	ENSMODG00000023010	2	14
ENSG00000275154	ENSMODG00000023007	2	14
ENSG00000275154	ENSMODG00000022071	2	14
ENSG00000275154	ENSMODG00000023008	2	14
ENSG00000275154	ENSMODG00000021612	2	14
ENSG00000275154	ENSMODG00000022245	2	14
ENSG00000275154	ENSMODG00000023014	2	14
ENSG00000275154	ENSMODG00000023012	2	14
ENSG00000201368	ENSMODG00000023013	2	5
ENSG00000201368	ENSMODG00000023010	2	5
ENSG00000201368	ENSMODG00000023007	2	5
ENSG00000201368	ENSMODG00000022071	2	5
ENSG00000201368	ENSMODG00000023008	2	5
ENSG00000201368	ENSMODG00000021612	2	5
ENSG00000201368	ENSMODG00000022245	2	5
ENSG00000201368	ENSMODG00000023014	2	5
ENSG00000201368	ENSMODG00000023012	2	5
ENSG00000136541	ENSMODG00000004378	4	2
ENSG00000200534	ENSMODG00000022055	2	6
ENSG00000207496	ENSMODG00000026107	6	3
ENSG00000180116	ENSMODG00000027903	8	12
ENSG00000171425	ENSMODG00000014050	Un	19
ENSG00000206889	ENSMODG00000022049	2	3
ENSG00000199460	ENSMODG00000021599	6	2
ENSG00000164062	ENSMODG00000012954	6	3
ENSG00000212521	ENSMODG00000026765	1	9
ENSG00000212521	ENSMODG00000027163	2	9
ENSG00000212521	ENSMODG00000026033	6	9
ENSG00000212521	ENSMODG00000026511	2	9
ENSG00000212521	ENSMODG00000027230	3	9
ENSG00000119616	ENSMODG00000006179	1	14
ENSG00000252917	ENSMODG00000027052	1	12
ENSG00000238523	ENSMODG00000027214	5	10
ENSG00000170788	ENSMODG00000001532	1	10
ENSG00000252863	ENSMODG00000026914	3	12
ENSG00000072858	ENSMODG00000018157	4	3
ENSG00000116039	ENSMODG00000011243	1	2
ENSG00000243667	ENSMODG00000003598	1	2
ENSG00000104774	ENSMODG00000006759	3	19
ENSG00000200197	ENSMODG00000027008	2	11
ENSG00000200197	ENSMODG00000021915	5	11
ENSG00000201095	ENSMODG00000027296	1	X
ENSG00000180245	ENSMODG00000005889	5	4
ENSG00000124659	ENSMODG00000018987	2	6
ENSG00000201420	ENSMODG00000026595	6	X
ENSG00000201420	ENSMODG00000026841	4	X
ENSG00000223177	ENSMODG00000026485	4	13
ENSG00000223177	ENSMODG00000027060	2	13
ENSG00000223177	ENSMODG00000026103	6	13
ENSG00000238658	ENSMODG00000026035	1	17
ENSG00000212314	ENSMODG00000026089	1	19
ENSG00000091317	ENSMODG00000015198	8	3
ENSG00000252444	ENSMODG00000021753	6	6
ENSG00000252444	ENSMODG00000022256	3	6
ENSG00000202534	ENSMODG00000022978	8	12
ENSG00000202534	ENSMODG00000022225	4	12
ENSG00000172986	ENSMODG00000003929	6	3
ENSG00000278289	ENSMODG00000015168	X	X
ENSG00000200538	ENSMODG00000023013	2	17
ENSG00000200538	ENSMODG00000023010	2	17
ENSG00000200538	ENSMODG00000023007	2	17
ENSG00000200538	ENSMODG00000022071	2	17
ENSG00000200538	ENSMODG00000023008	2	17
ENSG00000200538	ENSMODG00000021612	2	17
ENSG00000200538	ENSMODG00000022245	2	17
ENSG00000200538	ENSMODG00000023014	2	17
ENSG00000200538	ENSMODG00000023012	2	17
ENSG00000103485	ENSMODG00000001456	6	16
ENSG00000214518	ENSMODG00000013813	2	17
ENSG00000214518	ENSMODG00000013819	2	17
ENSG00000200183	ENSMODG00000026101	1	12
ENSG00000188010	ENSMODG00000008750	1	2
ENSG00000253506	ENSMODG00000019856	Un	17
ENSG00000251864	ENSMODG00000026552	5	6
ENSG00000162621	ENSMODG00000000352	2	1
ENSG00000212626	ENSMODG00000025997	2	18
ENSG00000223080	ENSMODG00000021752	8	11
ENSG00000252682	ENSMODG00000022127	Un	1
ENSG00000252422	ENSMODG00000026922	4	20
ENSG00000252422	ENSMODG00000027198	4	20
ENSG00000252117	ENSMODG00000021753	6	15
ENSG00000252117	ENSMODG00000022256	3	15
ENSG00000241119	ENSMODG00000007751	2	2
ENSG00000222909	ENSMODG00000026041	8	10
ENSG00000206708	ENSMODG00000021924	1	3
ENSG00000206708	ENSMODG00000022104	1	3
ENSG00000206708	ENSMODG00000022994	6	3
ENSG00000206708	ENSMODG00000026539	7	3
ENSG00000222552	ENSMODG00000026485	4	1
