Mouse	ChrMouse	Platypus	ChrPlatypus
ENSMUSG00000000399	6	ENSOANG00000015719	Contig30263
ENSMUSG00000000402	X	ENSOANG00000002610	Ultra462
ENSMUSG00000000409	4	ENSOANG00000001195	Ultra533
ENSMUSG00000000416	6	ENSOANG00000008769	Ultra479
ENSMUSG00000000420	18	ENSOANG00000001744	X3
ENSMUSG00000000435	10	ENSOANG00000004853	Ultra119
ENSMUSG00000000439	6	ENSOANG00000014946	Contig18791
ENSMUSG00000000440	6	ENSOANG00000014847	Ultra559
ENSMUSG00000000441	6	ENSOANG00000005684	Contig5168
ENSMUSG00000000486	7	ENSOANG00000005331	Contig4568
ENSMUSG00000000489	15	ENSOANG00000006889	Contig27383
ENSMUSG00000000530	15	ENSOANG00000003970	Contig33786
ENSMUSG00000000532	15	ENSOANG00000011923	Contig1754
ENSMUSG00000000538	11	ENSOANG00000014807	2
ENSMUSG00000000555	15	ENSOANG00000008006	Contig26552
ENSMUSG00000000560	5	ENSOANG00000010534	Contig8487
ENSMUSG00000000561	3	ENSOANG00000002018	Ultra269
ENSMUSG00000000562	3	ENSOANG00000004236	Contig26402
ENSMUSG00000000563	3	ENSOANG00000002019	Ultra269
ENSMUSG00000000567	11	ENSOANG00000005850	Contig190
ENSMUSG00000000568	5	ENSOANG00000001932	Ultra512
ENSMUSG00000000581	11	ENSOANG00000008385	Ultra56
ENSMUSG00000000594	11	ENSOANG00000005117	X1
ENSMUSG00000000600	5	ENSOANG00000021458	Contig14338
ENSMUSG00000000605	7	ENSOANG00000002630	Ultra462
ENSMUSG00000000617	11	ENSOANG00000014586	Contig765
ENSMUSG00000000628	6	ENSOANG00000021065	Contig24059
ENSMUSG00000000631	11	ENSOANG00000011452	Contig9030
ENSMUSG00000000632	11	ENSOANG00000008693	Contig1830
ENSMUSG00000000708	17	ENSOANG00000004987	Ultra239
ENSMUSG00000000724	11	ENSOANG00000012646	Ultra69
ENSMUSG00000000731	10	ENSOANG00000015583	7
ENSMUSG00000000732	10	ENSOANG00000006479	Ultra222
ENSMUSG00000000738	8	ENSOANG00000006730	11
ENSMUSG00000000739	8	ENSOANG00000004831	11
ENSMUSG00000000743	8	ENSOANG00000004833	11
ENSMUSG00000000751	11	ENSOANG00000010880	Ultra43
ENSMUSG00000000753	11	ENSOANG00000010878	Ultra43
ENSMUSG00000000759	8	ENSOANG00000015642	Ultra336
ENSMUSG00000000766	10	ENSOANG00000014619	2
ENSMUSG00000000776	14	ENSOANG00000010776	Contig909
ENSMUSG00000000782	11	ENSOANG00000011198	Ultra364
ENSMUSG00000000791	8	ENSOANG00000001288	Contig1189
ENSMUSG00000000792	8	ENSOANG00000014391	Ultra346
ENSMUSG00000000804	11	ENSOANG00000011519	Ultra9
ENSMUSG00000000805	11	ENSOANG00000004545	Contig21731
ENSMUSG00000000811	6	ENSOANG00000011540	Contig6053
ENSMUSG00000000817	1	ENSOANG00000000910	Ultra341
ENSMUSG00000000823	2	ENSOANG00000004922	Ultra337
ENSMUSG00000000826	2	ENSOANG00000004926	Ultra337
ENSMUSG00000000838	X	ENSOANG00000001097	6
ENSMUSG00000000861	11	ENSOANG00000012402	Ultra56
ENSMUSG00000000876	2	ENSOANG00000004658	Contig10350
ENSMUSG00000000884	16	ENSOANG00000013233	Contig17386
ENSMUSG00000000889	2	ENSOANG00000002842	4
ENSMUSG00000000902	10	ENSOANG00000012181	Contig2621
ENSMUSG00000000915	5	ENSOANG00000006185	Ultra196
ENSMUSG00000000916	5	ENSOANG00000031489	Contig24166
ENSMUSG00000000934	15	ENSOANG00000009984	Contig2065
ENSMUSG00000000938	6	ENSOANG00000009171	Ultra231
ENSMUSG00000000942	6	ENSOANG00000009166	Ultra231
ENSMUSG00000000957	14	ENSOANG00000003915	Contig10298
ENSMUSG00000000958	14	ENSOANG00000010722	Contig588
ENSMUSG00000000959	14	ENSOANG00000010724	Contig588
ENSMUSG00000000976	11	ENSOANG00000007130	Ultra9
ENSMUSG00000001016	3	ENSOANG00000031889	Contig73536
ENSMUSG00000001020	3	ENSOANG00000014144	Contig11856
ENSMUSG00000001025	3	ENSOANG00000014143	Contig11856
ENSMUSG00000001027	11	ENSOANG00000009384	Contig5546
ENSMUSG00000001036	11	ENSOANG00000015814	Contig1161
ENSMUSG00000001039	11	ENSOANG00000015815	Contig1161
ENSMUSG00000001053	11	ENSOANG00000004997	Contig1619
ENSMUSG00000001054	11	ENSOANG00000001203	Contig29409
ENSMUSG00000001056	11	ENSOANG00000001204	Contig29409
ENSMUSG00000001062	8	ENSOANG00000004836	11
ENSMUSG00000001065	8	ENSOANG00000004837	11
ENSMUSG00000001082	5	ENSOANG00000001782	Contig3635
ENSMUSG00000001089	4	ENSOANG00000004001	Contig6202
ENSMUSG00000001095	11	ENSOANG00000013420	Ultra17
ENSMUSG00000001100	11	ENSOANG00000015619	Contig6837
ENSMUSG00000001105	11	ENSOANG00000012207	Contig18101
ENSMUSG00000001119	10	ENSOANG00000006264	Contig848
ENSMUSG00000001120	10	ENSOANG00000006265	Contig848
ENSMUSG00000001123	11	ENSOANG00000009219	Contig22300
ENSMUSG00000001127	X	ENSOANG00000012826	6
ENSMUSG00000001128	X	ENSOANG00000005657	Contig20269
ENSMUSG00000001131	X	ENSOANG00000005238	Contig20209
ENSMUSG00000001134	X	ENSOANG00000032078	Contig21467
ENSMUSG00000001138	1	ENSOANG00000012493	Contig15131
ENSMUSG00000001143	1	ENSOANG00000015450	Ultra230
ENSMUSG00000001151	10	ENSOANG00000020123	Contig273
ENSMUSG00000001155	10	ENSOANG00000013566	Contig273
ENSMUSG00000001156	6	ENSOANG00000003095	Contig19467
ENSMUSG00000001173	X	ENSOANG00000012031	Contig1007
ENSMUSG00000001211	10	ENSOANG00000006473	Ultra222
ENSMUSG00000001228	17	ENSOANG00000005332	Contig5140
ENSMUSG00000001229	17	ENSOANG00000030152	Contig11552
ENSMUSG00000001247	7	ENSOANG00000028509	Contig41972
ENSMUSG00000001260	5	ENSOANG00000010535	Contig8487
ENSMUSG00000001281	15	ENSOANG00000005915	Contig11670
ENSMUSG00000001288	15	ENSOANG00000005914	Contig11670
ENSMUSG00000001289	15	ENSOANG00000010773	Contig226954
ENSMUSG00000001300	8	ENSOANG00000011323	Ultra284
ENSMUSG00000001305	1	ENSOANG00000008552	Ultra67
ENSMUSG00000001323	11	ENSOANG00000008638	Ultra382
ENSMUSG00000001334	4	ENSOANG00000005870	Ultra533
ENSMUSG00000001348	9	ENSOANG00000013181	Ultra377
ENSMUSG00000001349	9	ENSOANG00000010453	Contig16428
ENSMUSG00000001366	9	ENSOANG00000030600	Contig47093
ENSMUSG00000001376	6	ENSOANG00000002556	Contig11600
ENSMUSG00000001380	18	ENSOANG00000003035	Contig27750
ENSMUSG00000001383	18	ENSOANG00000007213	Ultra532
ENSMUSG00000001415	3	ENSOANG00000028676	Contig46688
ENSMUSG00000001416	3	ENSOANG00000003511	Contig19392
ENSMUSG00000001418	3	ENSOANG00000031128	Contig19392
ENSMUSG00000001419	3	ENSOANG00000021952	Contig26280
ENSMUSG00000001420	3	ENSOANG00000009327	Contig24383
ENSMUSG00000001424	6	ENSOANG00000000817	10
ENSMUSG00000001435	10	ENSOANG00000000667	Contig6735
ENSMUSG00000001436	10	ENSOANG00000000668	Contig6735
ENSMUSG00000001440	11	ENSOANG00000000110	Contig20092
ENSMUSG00000001441	11	ENSOANG00000001164	Contig4857
ENSMUSG00000001444	11	ENSOANG00000012287	Contig11606
ENSMUSG00000001445	11	ENSOANG00000006797	Contig13892
ENSMUSG00000001467	5	ENSOANG00000013144	Contig23813
ENSMUSG00000001472	8	ENSOANG00000002345	11
ENSMUSG00000001473	18	ENSOANG00000003049	Contig16623
ENSMUSG00000001497	12	ENSOANG00000014065	4
ENSMUSG00000001504	13	ENSOANG00000029378	Contig31917
ENSMUSG00000001506	11	ENSOANG00000001736	Contig5955
ENSMUSG00000001507	11	ENSOANG00000000624	Contig9015
ENSMUSG00000001508	11	ENSOANG00000009519	Contig8860
ENSMUSG00000001517	6	ENSOANG00000001393	Contig6615
ENSMUSG00000001521	6	ENSOANG00000001390	Contig6615
ENSMUSG00000001524	17	ENSOANG00000010993	Contig17307
ENSMUSG00000001525	17	ENSOANG00000002346	11
ENSMUSG00000001542	13	ENSOANG00000001209	Ultra358
ENSMUSG00000001555	11	ENSOANG00000003836	Contig5023
ENSMUSG00000001558	11	ENSOANG00000012657	Contig26036
ENSMUSG00000001566	5	ENSOANG00000006138	Ultra274
ENSMUSG00000001569	5	ENSOANG00000006139	Ultra274
ENSMUSG00000001576	17	ENSOANG00000003983	Contig740
ENSMUSG00000001588	11	ENSOANG00000014283	Contig24705
ENSMUSG00000001604	4	ENSOANG00000014624	Ultra330
ENSMUSG00000001630	6	ENSOANG00000030510	Contig9730
ENSMUSG00000001632	6	ENSOANG00000012087	Ultra238
ENSMUSG00000001655	15	ENSOANG00000015090	Contig22807
ENSMUSG00000001656	15	ENSOANG00000009522	Contig13135
ENSMUSG00000001657	15	ENSOANG00000014218	Contig22942
ENSMUSG00000001661	15	ENSOANG00000004428	Contig31445
ENSMUSG00000001666	10	ENSOANG00000006930	Contig18073
ENSMUSG00000001670	8	ENSOANG00000031735	Contig82858
ENSMUSG00000001672	8	ENSOANG00000008184	11
ENSMUSG00000001687	5	ENSOANG00000009075	Contig59
ENSMUSG00000001700	18	ENSOANG00000014072	X5
ENSMUSG00000001707	13	ENSOANG00000007180	Ultra474
ENSMUSG00000001729	12	ENSOANG00000031179	Contig36497
ENSMUSG00000001739	5	ENSOANG00000007838	Contig23017
ENSMUSG00000001741	7	ENSOANG00000031400	Contig7734
ENSMUSG00000001755	11	ENSOANG00000032240	Contig33345
ENSMUSG00000001761	6	ENSOANG00000011454	10
ENSMUSG00000001763	6	ENSOANG00000011453	10
ENSMUSG00000001767	2	ENSOANG00000031667	Contig30959
ENSMUSG00000001768	2	ENSOANG00000002281	Contig5650
ENSMUSG00000001773	7	ENSOANG00000004606	Ultra29
ENSMUSG00000001783	10	ENSOANG00000005524	Ultra443
ENSMUSG00000001786	10	ENSOANG00000005522	Ultra443
ENSMUSG00000001794	7	ENSOANG00000002736	Contig116830
ENSMUSG00000001802	7	ENSOANG00000012736	Ultra517
ENSMUSG00000001804	18	ENSOANG00000005621	7
ENSMUSG00000001819	2	ENSOANG00000004742	Contig13670
ENSMUSG00000001823	2	ENSOANG00000004743	Contig13670
ENSMUSG00000001829	7	ENSOANG00000008149	Contig13320
ENSMUSG00000001833	9	ENSOANG00000004441	Ultra648
ENSMUSG00000001844	5	ENSOANG00000001344	2
ENSMUSG00000001847	5	ENSOANG00000003275	Ultra371
ENSMUSG00000001864	2	ENSOANG00000009793	Contig18917
ENSMUSG00000001870	17	ENSOANG00000002334	1
ENSMUSG00000001891	11	ENSOANG00000012427	Ultra56
ENSMUSG00000001909	8	ENSOANG00000029270	Ultra517
ENSMUSG00000001910	8	ENSOANG00000006845	Ultra326
ENSMUSG00000001911	8	ENSOANG00000030883	Ultra326
ENSMUSG00000001918	7	ENSOANG00000003305	Contig123042
ENSMUSG00000001946	9	ENSOANG00000004368	Contig26876
ENSMUSG00000001948	9	ENSOANG00000003468	Contig4871
ENSMUSG00000001962	X	ENSOANG00000004116	Contig17008
ENSMUSG00000001964	X	ENSOANG00000011017	Ultra401
ENSMUSG00000001983	11	ENSOANG00000029720	Contig21251
ENSMUSG00000001985	4	ENSOANG00000002061	Ultra472
ENSMUSG00000001986	X	ENSOANG00000004058	Ultra390
ENSMUSG00000001988	7	ENSOANG00000019748	Contig30183
ENSMUSG00000001995	8	ENSOANG00000004653	Contig24532
ENSMUSG00000001998	2	ENSOANG00000005395	Contig10742
ENSMUSG00000001999	2	ENSOANG00000010688	Contig48
ENSMUSG00000002007	X	ENSOANG00000005184	Ultra403
ENSMUSG00000002010	X	ENSOANG00000005183	Ultra403
ENSMUSG00000002012	X	ENSOANG00000005181	Ultra403
ENSMUSG00000002014	X	ENSOANG00000031499	Contig55916
ENSMUSG00000002015	X	ENSOANG00000010212	Contig8445
ENSMUSG00000002017	17	ENSOANG00000012516	Contig4378
ENSMUSG00000002028	9	ENSOANG00000003760	Contig1194
ENSMUSG00000002031	9	ENSOANG00000003756	Contig1194
ENSMUSG00000002032	9	ENSOANG00000003757	Contig1194
ENSMUSG00000002033	9	ENSOANG00000005340	Contig1426
ENSMUSG00000002043	7	ENSOANG00000013001	Contig11829
ENSMUSG00000002052	11	ENSOANG00000000148	Contig11469
ENSMUSG00000002057	11	ENSOANG00000014185	Ultra17
ENSMUSG00000002058	11	ENSOANG00000014183	Ultra17
ENSMUSG00000002059	11	ENSOANG00000000147	Contig11469
ENSMUSG00000002064	11	ENSOANG00000001444	Contig28354
ENSMUSG00000002068	7	ENSOANG00000014148	Contig18671
ENSMUSG00000002076	17	ENSOANG00000006469	Ultra222
ENSMUSG00000002100	2	ENSOANG00000007889	Ultra163
ENSMUSG00000002102	2	ENSOANG00000010199	Contig40963
ENSMUSG00000002103	2	ENSOANG00000006249	Contig4565
ENSMUSG00000002104	2	ENSOANG00000007894	Ultra163
ENSMUSG00000002105	2	ENSOANG00000007890	Ultra163
ENSMUSG00000002107	2	ENSOANG00000015432	Contig13
ENSMUSG00000002108	2	ENSOANG00000006250	Contig4565
ENSMUSG00000002109	2	ENSOANG00000006247	Contig4565
ENSMUSG00000002111	2	ENSOANG00000009414	Contig15114
ENSMUSG00000002129	11	ENSOANG00000029886	Contig21864
ENSMUSG00000002190	8	ENSOANG00000015291	Ultra33
ENSMUSG00000002204	7	ENSOANG00000012522	Contig23258
ENSMUSG00000002205	7	ENSOANG00000002721	Contig16032
ENSMUSG00000002210	7	ENSOANG00000028605	Contig12147
ENSMUSG00000002221	5	ENSOANG00000006152	Ultra274
ENSMUSG00000002222	6	ENSOANG00000010358	Ultra544
ENSMUSG00000002228	3	ENSOANG00000002615	Ultra269
ENSMUSG00000002249	17	ENSOANG00000014121	Contig11966
ENSMUSG00000002250	17	ENSOANG00000001077	Contig24731
ENSMUSG00000002257	17	ENSOANG00000015275	Contig25369
ENSMUSG00000002274	17	ENSOANG00000001851	Contig46499
ENSMUSG00000002279	17	ENSOANG00000013038	Contig6626
ENSMUSG00000002280	17	ENSOANG00000013720	Contig15437
ENSMUSG00000002289	17	ENSOANG00000014809	Contig21694
ENSMUSG00000002329	14	ENSOANG00000031622	Contig45105
ENSMUSG00000002332	14	ENSOANG00000028651	Contig35235
ENSMUSG00000002341	8	ENSOANG00000032130	Ultra21
ENSMUSG00000002342	8	ENSOANG00000011575	Contig8670
ENSMUSG00000002343	8	ENSOANG00000031855	Contig25650
ENSMUSG00000002346	8	ENSOANG00000001030	Contig7018
ENSMUSG00000002365	17	ENSOANG00000030319	Ultra703
ENSMUSG00000002372	17	ENSOANG00000004948	Ultra497
ENSMUSG00000002379	17	ENSOANG00000004952	Ultra497
ENSMUSG00000002393	8	ENSOANG00000010421	Ultra346
ENSMUSG00000002409	7	ENSOANG00000004146	Contig21466
ENSMUSG00000002413	6	ENSOANG00000013389	Contig831
ENSMUSG00000002428	3	ENSOANG00000000614	1
ENSMUSG00000002455	2	ENSOANG00000004920	Ultra337
ENSMUSG00000002459	1	ENSOANG00000007283	7
ENSMUSG00000002475	18	ENSOANG00000004637	7
ENSMUSG00000002477	18	ENSOANG00000004638	7
ENSMUSG00000002486	5	ENSOANG00000004097	Contig868
ENSMUSG00000002489	16	ENSOANG00000009429	Contig24362
ENSMUSG00000002500	17	ENSOANG00000001892	Contig8526
ENSMUSG00000002524	15	ENSOANG00000006962	Contig3007
ENSMUSG00000002546	2	ENSOANG00000010073	Contig126212
ENSMUSG00000002550	2	ENSOANG00000014782	4
ENSMUSG00000002565	12	ENSOANG00000005761	Ultra80
ENSMUSG00000002608	7	ENSOANG00000032082	Contig33271
ENSMUSG00000002625	17	ENSOANG00000020789	Contig28698
ENSMUSG00000002635	7	ENSOANG00000009573	Ultra517
ENSMUSG00000002658	17	ENSOANG00000006110	Ultra75
ENSMUSG00000002660	17	ENSOANG00000012221	Contig24690
ENSMUSG00000002664	17	ENSOANG00000000620	Contig151772
ENSMUSG00000002668	17	ENSOANG00000008407	Contig22257
ENSMUSG00000002679	12	ENSOANG00000005497	Contig18274
ENSMUSG00000002688	12	ENSOANG00000014018	4
ENSMUSG00000002699	11	ENSOANG00000007802	X1
ENSMUSG00000002718	2	ENSOANG00000006402	Ultra516
ENSMUSG00000002731	2	ENSOANG00000008630	Ultra514
ENSMUSG00000002733	2	ENSOANG00000008635	Ultra514
ENSMUSG00000002741	11	ENSOANG00000003450	Contig11824
ENSMUSG00000002748	5	ENSOANG00000013571	Contig19190
ENSMUSG00000002767	17	ENSOANG00000008451	Ultra67
ENSMUSG00000002768	17	ENSOANG00000008455	Ultra67
ENSMUSG00000002771	7	ENSOANG00000029663	Contig48277
ENSMUSG00000002778	7	ENSOANG00000029922	Contig69287
ENSMUSG00000002781	7	ENSOANG00000014820	Contig29529
ENSMUSG00000002797	6	ENSOANG00000010828	Ultra231
ENSMUSG00000002799	12	ENSOANG00000007869	Contig8124
ENSMUSG00000002803	12	ENSOANG00000011116	Contig1674
ENSMUSG00000002804	12	ENSOANG00000005510	Contig18336
ENSMUSG00000002812	11	ENSOANG00000009871	2
ENSMUSG00000002814	11	ENSOANG00000009873	2
ENSMUSG00000002820	9	ENSOANG00000009372	Contig11131
ENSMUSG00000002833	17	ENSOANG00000031785	Contig17111
ENSMUSG00000002835	17	ENSOANG00000010940	Contig6943
ENSMUSG00000002844	16	ENSOANG00000004534	Contig173148
ENSMUSG00000002847	16	ENSOANG00000029687	Contig97765
ENSMUSG00000002870	6	ENSOANG00000007166	Contig11122
ENSMUSG00000002871	6	ENSOANG00000003056	Contig7117
ENSMUSG00000002885	8	ENSOANG00000010098	Contig23896
ENSMUSG00000002897	6	ENSOANG00000020364	Contig29972
ENSMUSG00000002900	12	ENSOANG00000003187	Ultra5
ENSMUSG00000002908	8	ENSOANG00000015602	Ultra336
ENSMUSG00000002910	8	ENSOANG00000013069	Contig14981
ENSMUSG00000002930	6	ENSOANG00000011607	Contig379
ENSMUSG00000002944	5	ENSOANG00000003487	Ultra5
ENSMUSG00000002949	8	ENSOANG00000010261	Contig3892
ENSMUSG00000002957	7	ENSOANG00000028816	Contig34869
ENSMUSG00000002963	7	ENSOANG00000029273	Contig29571
ENSMUSG00000002980	7	ENSOANG00000008975	Contig10084
ENSMUSG00000002981	7	ENSOANG00000022258	Contig52251
ENSMUSG00000002984	7	ENSOANG00000014472	Contig16525
ENSMUSG00000002985	7	ENSOANG00000014474	Contig16525
ENSMUSG00000002996	12	ENSOANG00000003174	Ultra5
ENSMUSG00000002997	12	ENSOANG00000003166	Ultra5
ENSMUSG00000003031	6	ENSOANG00000022630	Contig17081
ENSMUSG00000003032	4	ENSOANG00000004191	Ultra477
ENSMUSG00000003037	8	ENSOANG00000002825	Contig5927
ENSMUSG00000003039	8	ENSOANG00000031621	Contig83420
ENSMUSG00000003051	1	ENSOANG00000005784	Contig9854
ENSMUSG00000003062	13	ENSOANG00000015122	Ultra117
ENSMUSG00000003068	10	ENSOANG00000015716	Contig5349
ENSMUSG00000003070	10	ENSOANG00000002284	Contig18225
ENSMUSG00000003072	10	ENSOANG00000003661	Contig12779
ENSMUSG00000003099	7	ENSOANG00000011946	Contig18600
ENSMUSG00000003119	11	ENSOANG00000004149	Contig12208
ENSMUSG00000003123	7	ENSOANG00000031986	Contig27611
ENSMUSG00000003131	9	ENSOANG00000004971	Contig13882
ENSMUSG00000003134	1	ENSOANG00000004625	20
ENSMUSG00000003135	1	ENSOANG00000013148	Ultra161
ENSMUSG00000003153	6	ENSOANG00000015730	Contig6405
ENSMUSG00000003154	6	ENSOANG00000003804	Contig28439
ENSMUSG00000003161	5	ENSOANG00000001714	15
ENSMUSG00000003199	17	ENSOANG00000031404	Contig143635
ENSMUSG00000003200	17	ENSOANG00000012873	Contig10817
ENSMUSG00000003206	17	ENSOANG00000028577	Contig23983
ENSMUSG00000003208	17	ENSOANG00000008914	Contig17653
ENSMUSG00000003226	10	ENSOANG00000004894	Contig3828
ENSMUSG00000003227	10	ENSOANG00000001830	Contig5988
ENSMUSG00000003228	19	ENSOANG00000004388	Ultra272
ENSMUSG00000003233	16	ENSOANG00000008082	Contig13718
ENSMUSG00000003234	16	ENSOANG00000019751	Contig18982
ENSMUSG00000003235	16	ENSOANG00000001406	Contig14015
ENSMUSG00000003269	7	ENSOANG00000030150	Contig16343
ENSMUSG00000003271	7	ENSOANG00000012772	Contig19273
ENSMUSG00000003279	17	ENSOANG00000028493	Contig5098
ENSMUSG00000003282	4	ENSOANG00000005503	7
ENSMUSG00000003299	9	ENSOANG00000013891	Contig13878
ENSMUSG00000003308	9	ENSOANG00000009371	Contig11131
ENSMUSG00000003309	9	ENSOANG00000010455	Contig28647
ENSMUSG00000003341	10	ENSOANG00000015718	Contig8370
ENSMUSG00000003345	10	ENSOANG00000009333	Contig10894
ENSMUSG00000003346	10	ENSOANG00000002938	Contig26707
ENSMUSG00000003348	10	ENSOANG00000001084	Contig15516
ENSMUSG00000003352	15	ENSOANG00000012839	Contig18297
ENSMUSG00000003354	15	ENSOANG00000014518	Contig22228
ENSMUSG00000003360	15	ENSOANG00000029690	Contig22050
ENSMUSG00000003363	7	ENSOANG00000004288	Contig5287
ENSMUSG00000003378	7	ENSOANG00000012545	Contig7481
ENSMUSG00000003380	7	ENSOANG00000022764	Contig36050
ENSMUSG00000003402	9	ENSOANG00000015045	Ultra419
ENSMUSG00000003410	9	ENSOANG00000015046	Ultra419
ENSMUSG00000003423	7	ENSOANG00000029776	Contig25497
ENSMUSG00000003429	7	ENSOANG00000000829	Contig14108
ENSMUSG00000003435	7	ENSOANG00000008175	Contig12448
ENSMUSG00000003436	7	ENSOANG00000007301	Contig14984
ENSMUSG00000003437	7	ENSOANG00000031832	Contig60965
ENSMUSG00000003452	6	ENSOANG00000029152	Ultra540
ENSMUSG00000003458	1	ENSOANG00000003388	Contig46654
ENSMUSG00000003464	1	ENSOANG00000002881	Contig30177
ENSMUSG00000003469	14	ENSOANG00000010777	Contig909
ENSMUSG00000003476	6	ENSOANG00000008095	Contig14658
ENSMUSG00000003500	6	ENSOANG00000000814	10
ENSMUSG00000003526	16	ENSOANG00000008974	Contig14527
ENSMUSG00000003528	16	ENSOANG00000001089	Contig32041
ENSMUSG00000003546	17	ENSOANG00000008447	Ultra67
ENSMUSG00000003549	7	ENSOANG00000004536	Contig14162
ENSMUSG00000003559	19	ENSOANG00000001644	Ultra272
ENSMUSG00000003575	8	ENSOANG00000004567	Ultra49
ENSMUSG00000003581	11	ENSOANG00000020334	Contig28863
ENSMUSG00000003604	2	ENSOANG00000022116	Ultra624
ENSMUSG00000003623	5	ENSOANG00000004424	15
ENSMUSG00000003644	4	ENSOANG00000015078	Contig9943
ENSMUSG00000003657	8	ENSOANG00000001170	Ultra55
ENSMUSG00000003660	2	ENSOANG00000030860	Contig51527
ENSMUSG00000003662	2	ENSOANG00000008950	Contig28456
ENSMUSG00000003665	17	ENSOANG00000010144	Contig20140
ENSMUSG00000003746	10	ENSOANG00000008806	Ultra147
ENSMUSG00000003752	7	ENSOANG00000001968	Contig20981
ENSMUSG00000003762	7	ENSOANG00000002235	Contig23308
ENSMUSG00000003778	18	ENSOANG00000029340	Contig21207
ENSMUSG00000003809	8	ENSOANG00000009077	Ultra326
ENSMUSG00000003810	4	ENSOANG00000011786	Ultra131
ENSMUSG00000003812	8	ENSOANG00000007093	Contig20697
ENSMUSG00000003813	8	ENSOANG00000009800	Ultra710
ENSMUSG00000003814	8	ENSOANG00000009799	Ultra710
ENSMUSG00000003824	8	ENSOANG00000009076	Ultra326
ENSMUSG00000003847	8	ENSOANG00000002367	11
ENSMUSG00000003848	8	ENSOANG00000029166	11
ENSMUSG00000003849	8	ENSOANG00000005080	11
ENSMUSG00000003863	7	ENSOANG00000000395	Contig22320
ENSMUSG00000003865	7	ENSOANG00000004219	Contig17658
ENSMUSG00000003868	7	ENSOANG00000028952	Contig54594
ENSMUSG00000003872	7	ENSOANG00000031509	Contig47275
ENSMUSG00000003882	15	ENSOANG00000004142	3
ENSMUSG00000003948	11	ENSOANG00000010289	Contig524
ENSMUSG00000003949	11	ENSOANG00000010288	Contig524
ENSMUSG00000003970	15	ENSOANG00000002646	Ultra304
ENSMUSG00000003974	5	ENSOANG00000015386	Contig13
ENSMUSG00000003992	13	ENSOANG00000031841	1
ENSMUSG00000004018	11	ENSOANG00000011174	Ultra56
ENSMUSG00000004031	1	ENSOANG00000000949	Ultra341
